epoch,loss,mean_absolute_error,mean_absolute_percentage_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error
0,1214945.25,993.39111328125,99.13274383544922,1222610.875,989.1629638671875,98.56881713867188
1,1194492.375,982.7633056640625,98.63414764404297,1212524.875,983.9982299804688,98.82036590576172
2,1185574.5,978.22314453125,98.5931396484375,1204433.125,979.9075317382812,98.7361831665039
3,1177994.0,974.3668823242188,98.47431182861328,1197136.25,976.2080078125,98.67134857177734
4,1170805.5,970.69970703125,98.3785171508789,1190016.625,972.5868530273438,98.61516571044922
5,1163782.125,967.1077880859375,98.26275634765625,1183054.625,969.0348510742188,98.5668716430664
6,1156872.875,963.5607299804688,98.16756439208984,1176130.25,965.4915161132812,98.52578735351562
7,1150028.75,960.0355834960938,98.11478424072266,1169327.875,962.0006103515625,98.4926986694336
8,1143290.125,956.5592041015625,98.02786254882812,1162616.375,958.5482177734375,98.47067260742188
9,1136640.25,953.1140747070312,97.94608306884766,1155976.0,955.1228637695312,98.4549331665039
10,1130053.5,949.6961059570312,97.91411590576172,1149401.5,951.7213134765625,98.44400787353516
11,1123528.625,946.3024291992188,97.86016845703125,1142883.125,948.3399658203125,98.4391860961914
12,1117063.0,942.9279174804688,97.81832885742188,1136420.0,944.9769287109375,98.43746948242188
13,1110626.125,939.561279296875,97.78961181640625,1129950.0,941.5994262695312,98.43827056884766
14,1104203.625,936.1961669921875,97.76748657226562,1123532.0,938.2396240234375,98.4432144165039
15,1097836.5,932.8497314453125,97.74227905273438,1117166.625,934.8963012695312,98.44994354248047
16,1091516.25,929.5183715820312,97.7319107055664,1110847.5,931.5670166015625,98.4591293334961
17,1085247.0,926.2041625976562,97.70104217529297,1104578.75,928.2540893554688,98.47077178955078
18,1079022.375,922.9053344726562,97.69623565673828,1098353.0,924.9570922851562,98.48922729492188
19,1072842.625,919.6182861328125,97.69080352783203,1092160.75,921.6698608398438,98.5124740600586
20,1066694.0,916.3431396484375,97.68391418457031,1086015.875,918.3983764648438,98.5386734008789
21,1060595.125,913.0802612304688,97.69975280761719,1079904.875,915.1351928710938,98.56737518310547
22,1054528.0,909.8291015625,97.68643951416016,1073838.25,911.8861083984375,98.59840393066406
23,1048499.75,906.5896606445312,97.67823028564453,1067808.875,908.6476440429688,98.63191986083984
24,1042514.75,903.3583984375,97.68988037109375,1061812.25,905.4166870117188,98.66720581054688
25,1036557.875,900.135986328125,97.70608520507812,1055852.5,902.1961059570312,98.70471954345703
26,1030636.9375,896.924560546875,97.7151107788086,1049931.5,898.988037109375,98.74506378173828
27,1024761.0,893.72119140625,97.73531341552734,1044041.0625,895.7872924804688,98.78785705566406
28,1018913.6875,890.5264892578125,97.75238037109375,1038190.375,892.5983276367188,98.83236694335938
29,1013101.25,887.3410034179688,97.76152038574219,1032373.25,889.4186401367188,98.8789291381836
30,1007322.625,884.1643676757812,97.76919555664062,1026588.1875,886.2474975585938,98.92774963378906
31,1001577.75,880.99462890625,97.78730773925781,1020835.0625,883.083740234375,98.97785949707031
32,995864.5,877.8339233398438,97.81340026855469,1015118.5,879.9303588867188,99.029296875
33,990183.9375,874.6800537109375,97.83027648925781,1009431.0,876.7828979492188,99.0819320678711
34,984536.375,871.53369140625,97.84352111816406,1003770.875,873.64111328125,99.1361312866211
35,978918.5,868.3924560546875,97.86869812011719,998142.3125,870.5074462890625,99.19182586669922
36,973329.75,865.26171875,97.89207458496094,992554.25,867.38671875,99.24888610839844
37,967782.375,862.1398315429688,97.90679168701172,986995.875,864.2730712890625,99.30725860595703
38,962264.8125,859.0269775390625,97.9359130859375,981474.375,861.1697998046875,99.36650848388672
39,956778.0,855.9221801757812,97.96346282958984,975978.8125,858.071044921875,99.42666625976562
40,951320.1875,852.8242797851562,97.98979187011719,970518.125,854.9820556640625,99.48778533935547
41,945897.625,849.7318725585938,98.02873992919922,965078.75,851.8955078125,99.5501480102539
42,940500.125,846.6471557617188,98.04076385498047,959677.8125,848.8203125,99.61302947998047
43,935137.5625,843.5716552734375,98.07156372070312,954305.5625,845.751953125,99.6771469116211
44,929802.0625,840.5031127929688,98.10700225830078,948964.5625,842.6917724609375,99.74224853515625
45,924498.125,837.4415283203125,98.14680480957031,943647.375,839.6354370117188,99.80838775634766
46,919218.5625,834.3859252929688,98.1903305053711,938363.875,836.5895385742188,99.87576293945312
47,913972.75,831.3388061523438,98.21224212646484,933112.25,833.5527954101562,99.94444274902344
48,908761.9375,828.297607421875,98.25458526611328,927886.0,830.52099609375,100.01414489746094
49,903570.375,825.2676391601562,98.28763580322266,922698.4375,827.50244140625,100.08477020263672
50,898419.1875,822.2433471679688,98.31908416748047,917532.9375,824.4871215820312,100.15637969970703
51,893205.125,819.1737060546875,98.36505126953125,912214.1875,821.3720092773438,100.23152160644531
52,887977.5625,816.0857543945312,98.40055847167969,907024.6875,818.3233642578125,100.30655670166016
53,882828.9375,813.034912109375,98.43611907958984,901879.875,815.2913208007812,100.38232421875
54,877724.75,809.9998779296875,98.47709655761719,896769.25,812.269287109375,100.45874786376953
55,872652.625,806.976806640625,98.51302337646484,891697.6875,809.260986328125,100.53607177734375
56,867623.5,803.9639282226562,98.55970001220703,886657.875,806.26171875,100.61407470703125
57,862622.9375,800.9638671875,98.60149383544922,881657.125,803.2760620117188,100.69297790527344
58,857659.75,797.9697265625,98.6512222290039,876679.625,800.2959594726562,100.77325439453125
59,852718.875,794.9844360351562,98.6872787475586,871735.9375,797.3272705078125,100.85478210449219
60,847813.4375,792.0101318359375,98.73931121826172,866823.0,794.3678588867188,100.93718719482422
61,842936.1875,789.0404052734375,98.7803955078125,861935.0,791.4147338867188,101.02082061767578
