time(sec),main_pump_inlet_P(bar),main_pump_outlet_P(bar),venturi_pump_inlet_P(bar),main_pump_outlet_F(LPM),venturi_pump_outlet_F(LPM)
0.000,-0.123,-0.126,-0.098,-2.903,41.741
0.021,-0.071,-0.126,-0.112,-3.006,41.830
0.071,0.043,-0.126,-0.107,-3.558,42.064
0.121,-0.106,-0.127,-0.112,-3.158,42.516
0.171,0.010,-0.126,-0.106,-3.708,42.395
0.221,0.046,-0.127,-0.106,-2.941,42.493
0.271,-0.066,-0.126,-0.105,-2.910,41.061
0.321,0.039,-0.127,-0.104,-3.416,40.818
0.372,0.020,-0.127,-0.107,-3.017,40.947
0.421,-0.056,-0.126,-0.107,-3.244,41.499
0.471,0.029,-0.127,-0.107,-3.057,41.434
0.521,-0.013,-0.126,-0.104,-2.999,40.690
0.571,0.049,-0.126,-0.109,-3.824,40.147
0.621,0.062,-0.127,-0.105,-2.939,39.083
0.671,0.042,-0.127,-0.106,-3.593,39.772
0.721,-0.031,-0.127,-0.105,-3.893,40.090
0.772,0.120,-0.127,-0.104,-3.011,40.301
0.822,0.104,-0.126,-0.111,-4.122,40.199
0.871,0.067,-0.127,-0.109,-2.911,39.022
0.921,-0.085,-0.127,-0.109,-3.037,38.425
0.971,-0.007,-0.126,-0.104,-3.939,38.945
1.021,-0.110,-0.127,-0.104,-3.059,38.973
1.072,0.023,-0.127,-0.106,-4.038,39.067
1.121,0.034,-0.127,-0.108,-2.958,38.731
1.171,0.040,-0.127,-0.106,-3.557,38.113
1.221,-0.010,-0.127,-0.106,-4.172,37.196
1.271,0.006,-0.127,-0.107,-3.189,37.321
1.321,-0.006,-0.127,-0.104,-3.418,38.343
1.372,-0.016,-0.127,-0.105,-3.043,38.302
1.422,0.065,-0.127,-0.103,-3.431,38.200
1.471,0.033,-0.126,-0.101,-3.980,37.041
1.521,0.001,-0.127,-0.104,-2.952,36.362
1.571,-0.003,-0.127,-0.105,-3.422,36.633
1.621,-0.020,-0.126,-0.104,-3.626,37.146
1.671,0.001,-0.126,-0.107,-3.423,37.461
1.722,-0.088,-0.127,-0.105,-3.650,36.827
