time(sec),main_pump_inlet_P(bar),main_pump_outlet_P(bar),venturi_pump_inlet_P(bar),main_pump_outlet_F(LPM),venturi_pump_outlet_F(LPM)
0.000,-0.008,-0.126,-0.084,-3.663,-4.221
0.045,-0.076,-0.127,-0.087,-3.388,-2.822
0.094,0.025,-0.126,-0.081,-3.532,-4.149
0.144,0.003,-0.126,-0.083,-3.102,-4.482
0.194,0.011,-0.126,-0.085,-3.043,-3.623
0.244,-0.055,-0.127,-0.089,-3.216,-3.448
0.294,-0.050,-0.127,-0.088,-3.183,-3.095
0.344,-0.086,-0.127,-0.092,-4.237,-2.985
0.395,-0.013,-0.126,-0.082,-3.028,-3.216
0.445,-0.050,-0.127,-0.090,-3.798,-3.828
0.495,-0.053,-0.127,-0.090,-3.219,-4.349
0.544,-0.078,-0.128,-0.092,-3.012,-3.163
0.594,-0.067,-0.126,-0.091,-4.048,-2.901
0.644,0.020,-0.127,-0.084,-3.563,-3.287
0.694,0.014,-0.126,-0.076,-3.001,-3.920
0.745,-0.063,-0.128,-0.092,-3.447,-4.042
0.794,-0.071,-0.127,-0.089,-3.069,-3.606
0.844,-0.069,-0.126,-0.092,-3.973,-3.216
0.894,-0.070,-0.127,-0.091,-3.147,-2.856
0.944,-0.059,-0.127,-0.094,-3.236,-3.006
0.994,-0.019,-0.126,-0.080,-4.101,-3.375
1.044,-0.089,-0.127,-0.090,-3.145,-4.144
1.094,-0.056,-0.126,-0.087,-3.843,-4.103
1.145,-0.068,-0.127,-0.090,-3.008,-3.462
1.195,-0.061,-0.126,-0.091,-3.521,-3.355
1.244,-0.069,-0.127,-0.090,-4.087,-3.071
1.295,-0.048,-0.127,-0.086,-2.980,-2.964
1.345,-0.052,-0.127,-0.085,-3.812,-3.992
1.394,-0.044,-0.127,-0.084,-3.364,-4.135
1.445,-0.064,-0.127,-0.087,-3.106,-3.413
1.494,0.011,-0.126,-0.081,-3.371,-3.028
1.544,-0.064,-0.127,-0.088,-3.412,-3.321
1.594,0.009,-0.126,-0.079,-2.862,-4.178
1.644,-0.058,-0.127,-0.088,-3.274,-4.037
1.694,-0.076,-0.127,-0.092,-3.057,-4.193
1.744,-0.059,-0.127,-0.093,-4.239,-3.384
1.795,0.007,-0.126,-0.081,-3.513,-3.058
1.844,-0.069,-0.127,-0.090,-3.222,-2.988
1.894,-0.056,-0.127,-0.088,-3.348,-3.110
1.944,-0.075,-0.127,-0.092,-2.957,-4.351
1.994,-0.012,-0.126,-0.082,-3.488,-4.059
2.045,-0.016,-0.126,-0.082,-3.314,-3.319
2.094,-0.078,-0.127,-0.092,-3.225,-2.902
2.144,-0.058,-0.127,-0.091,-3.893,-2.969
2.194,-0.073,-0.127,-0.087,-3.138,-3.980
2.244,-0.070,-0.127,-0.087,-3.951,-4.052
2.294,-0.041,-0.127,-0.088,-3.392,-3.846
2.345,-0.069,-0.127,-0.089,-3.190,-3.393
2.395,-0.057,-0.127,-0.093,-4.234,-2.859
2.444,-0.056,-0.127,-0.088,-3.066,-3.122
2.494,-0.075,-0.127,-0.088,-3.554,-3.518
2.544,-0.080,-0.127,-0.091,-4.220,-4.103
2.595,-0.054,-0.127,-0.089,-3.283,-4.477
2.644,-0.016,-0.126,-0.079,-3.831,-3.307
2.694,-0.061,-0.128,-0.089,-3.026,-2.943
2.744,-0.062,-0.127,-0.089,-3.382,-2.947
2.795,-0.056,-0.128,-0.086,-3.314,-3.323
2.844,-0.059,-0.128,-0.088,-2.917,-4.323
2.895,-0.064,-0.127,-0.090,-4.210,-4.161
2.944,-0.071,-0.127,-0.087,-3.155,-3.165
2.994,-0.084,-0.128,-0.088,-3.195,-2.790
3.044,-0.069,-0.127,-0.084,-3.864,-2.904
3.094,-0.065,-0.128,-0.090,-2.934,-3.600
3.144,-0.069,-0.127,-0.091,-3.865,-4.317
3.194,-0.017,-0.126,-0.086,-3.641,-3.275
3.244,-0.062,-0.127,-0.085,-3.221,-3.213
3.294,-0.063,-0.127,-0.088,-4.122,-2.872
3.345,-0.072,-0.127,-0.084,-3.002,-2.937
3.394,-0.081,-0.127,-0.085,-3.516,-3.747
3.444,-0.086,-0.127,-0.086,-3.539,-4.339
3.495,-0.007,-0.126,-0.077,-2.878,-4.077
3.544,-0.055,-0.126,-0.090,-4.188,-3.382
3.594,0.012,-0.126,-0.083,-3.254,-2.964
3.644,-0.049,-0.127,-0.088,-3.611,-3.022
3.694,0.006,-0.126,-0.081,-4.282,-3.907
3.745,-0.062,-0.127,-0.089,-3.161,-4.373
3.794,-0.076,-0.127,-0.084,-4.247,-3.720
3.845,-0.048,-0.127,-0.084,-3.009,-3.932
3.894,-0.083,-0.127,-0.086,-3.356,-2.802
3.944,-0.059,-0.127,-0.085,-3.607,-2.876
3.994,0.006,-0.126,-0.081,-3.098,-3.825
4.044,-0.051,-0.128,-0.085,-3.705,-4.114
4.094,0.009,-0.126,-0.083,-3.599,-3.780
4.144,-0.078,-0.127,-0.092,-3.195,-3.037
4.194,-0.015,-0.127,-0.089,-4.149,-2.858
4.245,0.005,-0.125,-0.081,-2.958,-3.189
4.295,0.004,-0.125,-0.081,-3.383,-3.543
4.344,-0.078,-0.126,-0.087,-3.175,-4.287
4.395,-0.053,-0.127,-0.087,-3.082,-4.009
4.445,-0.064,-0.127,-0.087,-3.864,-3.524
4.494,0.018,-0.125,-0.082,-3.185,-3.052
4.544,-0.071,-0.127,-0.090,-3.731,-2.987
4.594,-0.072,-0.127,-0.088,-3.676,-3.624
4.644,0.002,-0.126,-0.083,-3.029,-4.418
4.695,-0.062,-0.127,-0.090,-4.201,-3.694
4.744,-0.058,-0.127,-0.086,-3.272,-2.927
4.794,-0.075,-0.127,-0.088,-3.627,-2.874
4.844,-0.072,-0.128,-0.091,-3.900,-3.336
4.894,0.016,-0.126,-0.081,-3.233,-4.666
4.944,-0.066,-0.127,-0.087,-4.268,-4.344
4.995,-0.057,-0.127,-0.092,-2.986,-4.497
5.044,-0.061,-0.127,-0.087,-3.164,-3.125
5.094,-0.059,-0.127,-0.087,-4.177,-2.836
5.144,-0.052,-0.127,-0.088,-2.998,-3.106
5.195,-0.072,-0.128,-0.091,-3.937,-3.670
5.245,-0.046,-0.127,-0.088,-2.979,-4.100
5.294,-0.012,-0.127,-0.087,-3.051,-3.187
5.344,-0.057,-0.128,-0.085,-4.375,-3.231
5.394,-0.061,-0.127,-0.085,-3.010,-3.105
5.445,-0.077,-0.128,-0.083,-4.037,-3.118
5.494,-0.056,-0.128,-0.085,-3.557,-3.926
5.545,-0.088,-0.127,-0.087,-3.150,-4.469
5.594,-0.034,-0.127,-0.089,-4.113,-3.462
5.644,-0.076,-0.128,-0.088,-3.143,-3.129
5.694,-0.065,-0.127,-0.090,-3.615,-2.956
5.744,-0.068,-0.127,-0.091,-3.736,-3.179
5.794,0.011,-0.126,-0.082,-2.990,-3.999
5.844,-0.051,-0.127,-0.091,-4.303,-4.408
5.894,-0.068,-0.127,-0.092,-3.076,-4.045
5.944,-0.032,-0.127,-0.089,-3.114,-2.928
5.994,-0.076,-0.128,-0.088,-3.691,-2.878
6.044,0.025,-0.127,-0.085,-2.970,-3.421
6.094,-0.063,-0.128,-0.092,-4.011,-3.563
6.144,-0.048,-0.128,-0.090,-3.132,-4.470
6.194,-0.058,-0.127,-0.091,-3.371,-3.766
6.244,-0.004,-0.127,-0.088,-4.197,-2.834
6.294,-0.064,-0.127,-0.086,-2.992,-2.914
6.344,-0.043,-0.126,-0.088,-3.492,-3.197
6.394,-0.027,-0.127,-0.090,-3.490,-3.981
6.444,-0.036,-0.128,-0.090,-2.976,-4.200
6.494,-0.031,-0.128,-0.089,-4.046,-3.386
6.544,-0.012,-0.126,-0.090,-3.097,-2.829
6.594,-0.083,-0.127,-0.089,-3.927,-2.932
6.644,12.902,-0.126,-0.088,-3.774,-3.344
6.695,12.902,-0.127,-0.085,-3.941,-2.833
6.744,12.902,-0.122,-0.103,-3.889,-4.289
6.794,12.902,-0.121,-0.090,-3.955,-2.434
6.844,12.902,-0.126,-0.074,-3.192,-2.431
6.894,12.902,-0.123,-0.083,-3.572,-2.823
6.944,12.902,-0.120,-0.092,-2.795,-1.532
6.994,12.902,-0.123,-0.090,-5.316,-3.829
7.044,12.902,-0.128,-0.075,-2.557,-3.768
7.095,12.902,-0.128,-0.070,-3.892,-4.043
7.145,12.902,-0.127,-0.079,-3.208,-3.040
7.195,12.902,-0.126,-0.083,-2.458,-2.149
7.244,12.902,-0.127,-0.052,-3.707,-2.988
7.294,12.902,-0.126,-0.056,-3.599,-3.438
7.345,12.902,-0.116,-0.111,-3.546,-4.283
7.394,12.902,-0.118,-0.106,-4.068,-3.378
7.444,12.902,-0.117,-0.063,-2.933,-2.898
7.495,12.902,-0.120,-0.057,-4.294,-2.809
7.545,12.902,-0.114,-0.105,-3.214,-2.805
7.595,12.902,-0.115,-0.104,-2.856,-2.532
7.644,12.902,-0.120,-0.094,-4.796,-4.226
7.694,12.902,-0.121,-0.082,-3.518,-4.348
7.744,-1.987,-0.122,-0.085,-3.623,-3.076
7.794,-2.221,-0.122,-0.088,-3.522,-3.062
7.844,-2.191,-0.119,-0.082,-3.101,-3.404
7.894,-2.025,-0.119,-0.085,-4.218,-3.790
7.944,-2.075,-0.121,-0.089,-2.974,-4.246
7.994,12.902,-0.121,-0.072,-2.884,-3.181
8.044,12.902,-0.115,-0.080,-3.520,-3.017
8.094,12.902,-0.116,-0.088,-3.274,-2.411
8.144,12.902,-0.114,-0.115,-4.332,-2.694
8.194,12.902,-0.114,-0.103,-3.476,-2.905
8.244,12.902,-0.117,-0.079,-2.897,-4.298
8.295,12.902,-0.117,-0.090,-3.917,-3.763
8.345,12.902,-0.123,-0.102,-3.447,-3.249
8.394,12.902,-0.122,-0.091,-3.939,-3.088
8.444,12.902,-0.117,-0.069,-4.243,-3.499
8.495,12.902,-0.119,-0.102,-3.018,-4.158
8.544,-2.285,-0.120,-0.098,-4.478,-4.399
8.594,-2.023,-0.120,-0.086,-3.219,-3.057
8.644,-1.734,-0.121,-0.087,-3.362,-3.345
8.694,-2.021,-0.122,-0.099,-3.815,-3.772
8.744,-1.887,-0.119,-0.087,-3.449,-3.496
8.794,12.902,-0.119,-0.082,-3.687,-3.928
8.845,12.902,-0.112,-0.077,-3.784,-4.261
8.894,12.902,-0.114,-0.082,-3.019,-3.019
8.944,12.902,-0.106,-0.090,-3.299,-3.176
8.994,12.902,-0.108,-0.087,-2.569,-2.965
9.044,12.902,-0.104,-0.100,-4.323,-2.176
9.094,12.902,-0.101,-0.097,-3.341,-3.032
9.144,12.902,-0.105,-0.090,-3.229,-3.891
9.194,12.902,-0.107,-0.093,-4.238,-2.832
9.244,12.902,-0.099,-0.091,-3.352,-2.679
9.295,12.902,-0.099,-0.098,-3.993,-2.828
9.345,-1.747,-0.098,-0.091,-4.045,-2.925
9.394,-2.033,-0.097,-0.102,-3.292,-4.226
9.444,-1.738,-0.100,-0.096,-3.403,-4.147
9.494,-1.956,-0.100,-0.106,-3.270,-3.011
9.544,-1.961,-0.099,-0.104,-2.945,-3.074
9.594,-1.982,-0.101,-0.083,-3.338,-2.658
9.644,-2.103,-0.099,-0.081,-3.360,-3.166
9.694,-2.038,-0.099,-0.085,-4.571,-3.976
9.744,-1.998,-0.105,-0.087,-3.281,-4.619
9.794,12.902,-0.103,-0.081,-2.626,-3.590
9.844,12.902,-0.111,-0.081,-3.641,-3.137
9.894,12.902,-0.111,-0.106,-3.364,-2.869
9.944,12.902,-0.116,-0.103,-4.118,-2.889
9.994,12.902,-0.115,-0.090,-2.934,-2.992
10.044,12.902,-0.118,-0.097,-3.552,-3.876
10.095,12.902,-0.120,-0.093,-3.171,-3.150
10.144,12.902,-0.118,-0.090,-3.204,-2.686
10.194,12.902,-0.118,-0.096,-4.268,-2.991
10.244,12.902,-0.116,-0.084,-3.599,-2.648
10.294,12.902,-0.116,-0.082,-2.277,-3.873
10.344,-1.890,-0.109,-0.081,-4.206,-3.569
10.394,-1.898,-0.110,-0.078,-2.901,-2.537
10.444,-1.946,-0.100,-0.072,-3.125,-2.787
10.494,-1.812,-0.102,-0.087,-3.028,-2.198
10.544,-2.059,-0.100,-0.089,-3.278,-3.457
10.595,12.902,-0.099,-0.081,-3.623,-3.684
10.644,12.902,-0.097,-0.073,-3.294,-3.528
10.694,12.902,-0.097,-0.081,-3.737,-3.336
10.745,12.902,-0.103,-0.072,-4.195,-2.496
10.794,12.902,-0.101,-0.083,-2.798,-2.345
10.845,12.902,-0.093,-0.082,-3.865,-2.938
10.895,12.902,-0.095,-0.082,-3.026,-3.035
10.944,12.902,-0.094,-0.073,-3.763,-4.051
10.994,12.902,-0.095,-0.076,-4.272,-3.199
11.044,12.902,-0.096,-0.079,-3.534,-2.714
11.094,12.902,-0.097,-0.087,-3.741,-2.653
11.144,-2.016,-0.094,-0.093,-3.120,-3.131
11.194,-1.974,-0.093,-0.081,-3.256,-3.533
11.244,-1.959,-0.093,-0.082,-3.894,-4.089
11.294,-1.933,-0.094,-0.083,-2.738,-3.168
11.344,-1.808,-0.093,-0.085,-3.838,-3.501
11.394,-1.948,-0.093,-0.085,-3.571,-2.355
11.445,-1.847,-0.096,-0.090,-3.935,-2.642
11.494,-1.946,-0.096,-0.091,-4.365,-3.878
11.544,-1.983,-0.091,-0.083,-3.368,-3.288
11.595,-2.139,-0.093,-0.096,-3.980,-3.694
11.644,-1.975,-0.089,-0.097,-4.029,-2.747
11.694,-1.934,-0.090,-0.086,-2.852,-2.966
11.744,-1.859,-0.086,-0.081,-4.080,-3.067
11.794,-2.008,-0.085,-0.077,-3.155,-3.447
11.844,-1.822,-0.086,-0.072,-3.461,-4.285
11.894,-1.902,-0.086,-0.088,-3.807,-3.292
11.944,-1.903,-0.082,-0.083,-3.385,-3.693
11.994,-1.708,-0.081,-0.088,-3.897,-2.856
12.044,-1.925,-0.082,-0.092,-2.945,-2.553
12.094,-1.955,-0.080,-0.076,-3.799,-4.004
12.144,-1.990,-0.084,-0.077,-4.288,-2.868
12.195,-1.952,-0.083,-0.096,-3.196,-3.446
12.244,-1.750,-0.081,-0.081,-3.424,-3.264
12.294,-1.939,-0.081,-0.079,-3.945,-3.048
12.344,-1.931,-0.080,-0.080,-3.510,-2.839
12.394,-1.802,-0.078,-0.077,-4.025,-4.557
12.445,-1.851,-0.079,-0.083,-3.312,-3.959
12.495,-2.085,-0.079,-0.094,-4.620,-4.082
12.545,-1.900,-0.079,-0.098,-3.355,-3.479
12.594,-1.965,-0.078,-0.085,-2.904,-2.699
12.644,-1.804,-0.078,-0.089,-4.053,-3.473
