time(sec),main_pump_inlet_P(bar),main_pump_outlet_P(bar),venturi_pump_inlet_P(bar),main_pump_outlet_F(LPM),venturi_pump_outlet_F(LPM)
0.000,-0.085,-0.122,-0.091,-3.246,-4.166
0.048,-0.018,-0.121,-0.091,-4.274,-3.454
0.099,-0.066,-0.122,-0.095,-2.954,-3.048
0.149,-0.066,-0.122,-0.093,-4.220,-2.970
0.198,-0.030,-0.122,-0.091,-3.644,-3.175
0.249,-0.049,-0.122,-0.094,-3.139,-3.524
0.298,-0.091,-0.122,-0.094,-4.000,-4.158
0.348,-0.011,-0.122,-0.093,-2.891,-3.671
0.398,-0.020,-0.121,-0.092,-3.302,-3.053
0.448,-0.015,-0.122,-0.092,-3.932,-2.846
0.498,-0.033,-0.122,-0.094,-2.946,-3.114
0.548,0.002,-0.122,-0.088,-3.918,-3.821
0.599,-0.096,-0.123,-0.099,-3.516,-4.402
0.648,-0.019,-0.121,-0.096,-3.290,-3.568
0.698,-0.101,-0.123,-0.095,-4.031,-2.916
0.748,-0.007,-0.122,-0.092,-2.881,-2.665
0.798,-0.001,-0.122,-0.092,-3.712,-3.031
0.848,-0.062,-0.122,-0.091,-3.440,-3.438
0.898,-0.005,-0.122,-0.092,-3.238,-4.239
0.948,-0.029,-0.123,-0.091,-4.138,-3.585
0.998,-0.006,-0.121,-0.092,-3.065,-2.920
1.048,-0.103,-0.123,-0.097,-3.329,-2.868
1.098,-0.076,-0.122,-0.094,-3.430,-2.851
1.148,-0.005,-0.122,-0.091,-3.075,-3.909
1.198,-0.106,-0.122,-0.093,-4.335,-4.234
1.248,-0.103,-0.122,-0.095,-3.067,-3.511
1.298,-0.099,-0.123,-0.093,-3.547,-3.044
1.348,-0.075,-0.122,-0.094,-3.532,-2.694
1.398,-0.085,-0.122,-0.094,-2.987,-2.930
1.448,-0.047,-0.122,-0.088,-4.150,-3.416
1.498,-0.077,-0.123,-0.097,-2.960,-4.223
1.548,-0.042,-0.122,-0.091,-3.015,-3.063
1.598,-0.128,-0.123,-0.097,-4.061,-2.799
1.649,-0.039,-0.122,-0.093,-2.889,-2.730
1.698,-0.025,-0.123,-0.089,-3.734,-3.321
1.749,-0.054,-0.122,-0.095,-3.087,-3.438
1.798,-0.041,-0.122,-0.089,-2.900,-3.908
1.849,-0.011,-0.122,-0.093,-4.120,-3.538
1.898,-0.043,-0.123,-0.091,-2.902,-3.133
1.948,-0.020,-0.122,-0.092,-3.434,-2.850
1.999,-0.032,-0.122,-0.099,-3.112,-2.854
2.048,-0.073,-0.122,-0.095,-3.024,-3.703
2.098,0.014,-0.122,-0.092,-4.093,-4.056
2.149,-0.101,-0.124,-0.096,-3.315,-3.434
2.199,-0.087,-0.123,-0.095,-3.622,-3.076
2.248,-0.049,-0.123,-0.094,-3.560,-2.653
2.298,-0.032,-0.123,-0.094,-2.984,-3.081
2.348,-0.060,-0.123,-0.089,-4.184,-3.615
2.398,-0.060,-0.123,-0.092,-3.137,-4.216
2.449,-0.053,-0.122,-0.092,-3.607,-3.902
2.498,-0.156,-0.123,-0.106,-3.619,-2.749
2.548,-0.095,-0.123,-0.094,-2.987,-2.803
2.598,-0.025,-0.123,-0.096,-3.725,-3.108
2.648,-0.123,-0.123,-0.104,-4.189,-4.225
2.698,-0.040,-0.123,-0.094,-3.300,-4.262
2.749,-0.060,-0.123,-0.099,-4.104,-3.402
2.798,-0.058,-0.123,-0.096,-2.935,-2.992
2.848,-0.028,-0.123,-0.092,-3.405,-2.774
2.899,-0.080,-0.123,-0.096,-3.159,-2.907
2.948,-0.111,-0.124,-0.093,-2.994,-3.637
2.999,-0.079,-0.123,-0.096,-4.148,-4.190
3.048,-0.002,-0.122,-0.095,-3.208,-2.881
3.098,-0.073,-0.124,-0.094,-3.401,-2.843
3.148,-0.078,-0.123,-0.096,-3.570,-2.821
3.198,-0.057,-0.123,-0.093,-2.968,-3.204
3.248,-0.077,-0.123,-0.094,-4.148,-3.686
3.299,-0.037,-0.122,-0.096,-2.967,-4.310
3.348,-0.067,-0.121,-0.095,-3.177,-3.265
3.399,-0.018,-0.122,-0.092,-3.247,-3.224
3.448,-0.055,-0.122,-0.089,-2.941,-2.809
3.498,-0.072,-0.122,-0.093,-4.046,-2.990
3.548,-0.051,-0.122,-0.092,-3.077,-3.585
3.598,-0.054,-0.122,-0.096,-3.221,-4.238
3.648,-0.071,-0.122,-0.090,-4.154,-3.206
3.698,-0.020,-0.122,-0.093,-3.042,-2.673
3.748,-0.061,-0.122,-0.099,-3.500,-2.802
3.798,-0.041,-0.122,-0.090,-3.526,-3.226
3.848,-0.081,-0.122,-0.092,-2.878,-4.065
3.898,-0.012,-0.123,-0.093,-3.973,-3.751
3.948,-0.086,-0.122,-0.092,-2.873,-3.493
3.998,-0.021,-0.123,-0.088,-3.045,-2.706
4.048,-0.045,-0.122,-0.090,-3.416,-2.786
4.098,0.001,-0.122,-0.088,-2.912,-3.455
4.149,-0.048,-0.123,-0.091,-4.177,-3.791
4.198,-0.035,-0.122,-0.085,-3.113,-3.759
4.248,-0.096,-0.123,-0.087,-3.292,-3.302
4.299,-0.061,-0.122,-0.092,-3.578,-2.876
4.348,-0.036,-0.122,-0.091,-2.900,-2.855
4.398,-0.023,-0.123,-0.097,-4.155,-2.990
4.448,-0.069,-0.122,-0.088,-3.084,-3.885
4.498,-0.062,-0.123,-0.088,-3.061,-3.755
4.548,-0.046,-0.123,-0.094,-3.654,-3.505
4.598,-0.058,-0.122,-0.092,-2.891,-2.887
4.648,-0.090,-0.123,-0.093,-3.550,-2.841
4.698,-0.033,-0.123,-0.093,-3.160,-2.972
4.748,-0.085,-0.124,-0.095,-2.890,-4.120
4.798,-0.061,-0.122,-0.093,-4.191,-4.212
4.848,-0.062,-0.122,-0.090,-2.946,-3.193
4.898,0.000,-0.123,-0.098,-3.800,-3.033
4.948,-0.063,-0.122,-0.091,-3.545,-2.768
4.998,-0.059,-0.123,-0.095,-3.009,-3.105
5.048,-0.072,-0.123,-0.090,-3.947,-4.155
5.098,-0.021,-0.122,-0.097,-2.910,-4.354
5.149,0.011,-0.124,-0.095,-3.472,-3.759
5.198,-0.079,-0.123,-0.090,-4.106,-2.703
5.249,-0.007,-0.123,-0.093,-2.989,-2.810
5.299,-0.013,-0.123,-0.092,-4.170,-2.851
5.348,-0.075,-0.122,-0.092,-3.624,-4.234
5.398,-0.071,-0.123,-0.095,-3.206,-4.308
5.448,-0.006,-0.123,-0.094,-3.662,-3.709
5.498,-0.030,-0.122,-0.092,-3.008,-3.015
5.548,-0.012,-0.122,-0.096,-4.141,-2.743
5.599,0.001,-0.123,-0.095,-3.162,-2.806
5.648,-0.057,-0.123,-0.089,-3.089,-4.348
5.698,-0.039,-0.123,-0.096,-4.139,-4.279
5.749,-0.010,-0.123,-0.094,-2.964,-3.611
5.798,-0.015,-0.123,-0.096,-3.900,-3.039
5.848,-0.062,-0.124,-0.102,-4.196,-3.029
5.898,-0.019,-0.123,-0.096,-3.111,-3.006
5.948,-0.006,-0.123,-0.097,-4.137,-3.769
5.998,-0.028,-0.123,-0.097,-2.962,-4.384
6.048,-0.053,-0.123,-0.091,-3.211,-3.104
6.098,-0.083,-0.122,-0.092,-4.171,-2.771
6.148,-0.070,-0.123,-0.091,-2.940,-2.919
6.198,-0.039,-0.123,-0.093,-4.190,-3.119
6.249,0.012,-0.123,-0.091,-2.958,-3.377
6.298,-0.066,-0.123,-0.098,-3.073,-3.790
6.348,0.009,-0.123,-0.101,-3.596,-3.483
6.398,-0.053,-0.123,-0.098,-2.915,-3.021
6.448,-0.041,-0.123,-0.096,-3.978,-2.753
6.498,-0.047,-0.123,-0.098,-4.063,-3.657
6.548,0.035,-0.124,-0.095,-3.406,-3.314
6.598,-0.096,-0.124,-0.097,-3.371,-3.333
6.648,-0.046,-0.124,-0.099,-2.993,-3.405
6.698,-0.007,-0.123,-0.096,-3.707,-2.857
6.749,0.038,-0.123,-0.100,-3.141,-2.596
6.798,-0.042,-0.123,-0.092,-3.034,-3.285
6.848,-0.090,-0.123,-0.096,-3.333,-4.436
6.898,-0.110,-0.123,-0.098,-3.805,-3.469
6.948,-0.059,-0.123,-0.094,-3.303,-3.161
6.998,0.043,-0.123,-0.096,-3.204,-2.968
7.048,0.016,-0.124,-0.092,-3.165,-2.401
7.098,12.902,-0.122,-0.093,-3.620,-2.985
7.149,12.902,-0.120,-0.093,-3.180,-3.602
7.199,12.902,-0.120,-0.105,-3.070,-4.170
7.248,12.902,-0.120,-0.111,-4.234,-2.971
7.299,12.902,-0.120,-0.102,-2.589,-3.101
7.348,12.902,-0.120,-0.097,-4.008,-2.839
7.399,12.902,-0.120,-0.092,-4.094,-3.723
7.448,12.902,-0.119,-0.095,-3.189,-4.478
7.498,12.902,-0.116,-0.106,-3.444,-2.847
7.549,12.902,-0.119,-0.117,-3.076,-4.295
7.598,12.902,-0.120,-0.075,-3.627,-3.034
7.648,12.902,-0.116,-0.077,-3.466,-3.045
7.698,12.902,-0.115,-0.063,-3.064,-3.239
7.748,12.902,-0.110,-0.073,-4.621,-5.066
7.798,12.902,-0.110,-0.107,-3.011,-3.730
7.849,12.902,-0.117,-0.099,-3.954,-3.081
7.898,12.902,-0.115,-0.072,-3.986,-2.518
7.948,12.902,-0.119,-0.073,-2.744,-2.989
7.998,12.902,-0.118,-0.132,-3.867,-3.141
8.048,12.902,-0.107,-0.126,-4.003,-3.950
8.098,12.902,-0.108,-0.081,-3.035,-3.846
8.148,12.902,-0.104,-0.076,-3.352,-3.231
8.198,12.902,-0.107,-0.110,-2.951,-2.466
8.248,12.902,-0.104,-0.111,-4.418,-2.026
8.299,12.902,-0.103,-0.114,-2.866,-2.122
8.348,12.902,-0.106,-0.118,-2.918,-3.547
8.398,12.902,-0.104,-0.097,-3.914,-3.978
8.448,12.902,-0.111,-0.095,-2.911,-2.177
8.498,12.902,-0.111,-0.094,-3.760,-2.436
8.548,12.902,-0.106,-0.096,-4.529,-2.707
8.598,12.902,-0.109,-0.085,-3.167,-3.206
8.648,12.902,-0.106,-0.094,-3.646,-4.192
8.699,-2.004,-0.104,-0.091,-3.206,-3.860
8.748,12.902,-0.111,-0.093,-2.910,-3.565
8.798,12.902,-0.112,-0.095,-3.304,-2.526
8.848,12.902,-0.112,-0.091,-3.295,-2.259
8.898,12.902,-0.110,-0.079,-3.911,-2.944
8.949,12.902,-0.113,-0.083,-3.039,-3.328
8.998,12.902,-0.113,-0.104,-3.523,-3.321
9.048,12.902,-0.109,-0.109,-3.322,-2.701
9.099,12.902,-0.107,-0.086,-2.971,-2.205
9.148,12.902,-0.109,-0.092,-3.846,-2.675
9.198,12.902,-0.107,-0.103,-3.996,-3.431
9.248,12.902,-0.108,-0.092,-3.769,-4.593
9.298,-2.074,-0.108,-0.109,-4.161,-3.518
9.348,-2.000,-0.108,-0.101,-3.486,-2.904
9.398,12.902,-0.108,-0.093,-3.731,-3.084
9.448,12.902,-0.107,-0.103,-3.274,-2.619
9.498,12.902,-0.110,-0.103,-2.948,-3.754
9.548,12.902,-0.108,-0.101,-4.348,-4.232
9.598,12.902,-0.109,-0.114,-2.743,-3.735
9.649,12.902,-0.106,-0.112,-3.891,-3.005
9.698,12.902,-0.105,-0.094,-4.712,-3.057
9.748,12.902,-0.102,-0.095,-2.837,-2.649
9.798,12.902,-0.101,-0.109,-4.202,-2.987
9.849,12.902,-0.104,-0.113,-3.151,-3.725
9.898,-1.686,-0.104,-0.100,-2.978,-4.141
9.948,-1.964,-0.106,-0.103,-4.222,-3.387
9.998,-1.950,-0.107,-0.116,-3.136,-3.488
10.049,12.902,-0.107,-0.108,-3.694,-3.151
10.098,12.902,-0.109,-0.100,-3.360,-3.344
10.149,12.902,-0.105,-0.097,-3.073,-3.512
10.198,12.902,-0.106,-0.096,-3.706,-3.631
10.248,12.902,-0.110,-0.104,-3.125,-2.755
10.299,12.902,-0.110,-0.113,-4.744,-2.530
10.349,12.902,-0.112,-0.109,-2.930,-2.526
10.399,12.902,-0.110,-0.086,-3.488,-2.964
10.449,12.902,-0.109,-0.103,-3.642,-4.252
10.498,12.902,-0.110,-0.103,-2.888,-3.272
10.548,12.902,-0.106,-0.099,-3.336,-2.344
10.598,-2.043,-0.106,-0.107,-3.436,-3.143
10.649,12.902,-0.102,-0.104,-3.041,-2.156
10.699,12.902,-0.102,-0.108,-4.206,-2.834
10.748,12.902,-0.099,-0.101,-3.617,-3.818
10.799,12.902,-0.100,-0.093,-3.343,-3.386
10.848,12.902,-0.097,-0.094,-4.342,-3.070
10.899,12.902,-0.100,-0.106,-2.866,-3.005
