time(sec),main_pump_inlet_P(bar),main_pump_outlet_P(bar),venturi_pump_inlet_P(bar),main_pump_outlet_F(LPM),venturi_pump_outlet_F(LPM)
0.000,-0.022,-0.125,-0.082,-3.588,37.639
0.019,-0.003,-0.125,-0.079,-3.639,37.972
0.066,-0.056,-0.125,-0.085,-3.523,36.511
0.116,-0.032,-0.125,-0.080,-2.921,36.353
0.166,-0.007,-0.124,-0.075,-2.919,37.487
0.216,-0.006,-0.125,-0.076,-3.918,37.646
0.266,-0.025,-0.124,-0.079,-2.851,37.482
0.316,-0.029,-0.125,-0.085,-4.227,37.140
0.366,-0.038,-0.125,-0.085,-3.163,36.049
0.416,-0.040,-0.125,-0.086,-2.924,35.815
0.466,-0.045,-0.125,-0.083,-4.071,36.416
0.517,-0.044,-0.124,-0.086,-2.885,36.761
0.566,-0.008,-0.124,-0.073,-2.984,36.864
0.616,-0.001,-0.124,-0.076,-4.140,36.298
0.666,-0.056,-0.125,-0.085,-2.915,35.026
0.717,-0.011,-0.125,-0.084,-4.070,34.738
0.766,-0.028,-0.124,-0.081,-2.924,35.220
0.816,-0.018,-0.125,-0.080,-3.900,35.578
0.866,-0.057,-0.125,-0.084,-4.354,35.653
0.916,-0.061,-0.125,-0.086,-3.155,35.082
0.966,-0.019,-0.124,-0.078,-3.261,34.167
1.016,-0.027,-0.125,-0.085,-3.142,34.089
1.066,-0.055,-0.125,-0.080,-2.982,35.296
1.116,-0.056,-0.125,-0.087,-4.209,35.098
1.166,-0.014,-0.125,-0.081,-2.930,34.932
1.216,-0.044,-0.126,-0.086,-3.729,34.255
1.267,-0.039,-0.125,-0.084,-3.041,33.701
1.316,-0.019,-0.126,-0.080,-3.314,32.798
1.366,-0.033,-0.125,-0.077,-4.269,33.615
1.416,-0.027,-0.126,-0.087,-2.877,34.168
1.466,-0.049,-0.125,-0.089,-3.414,34.089
1.517,-0.050,-0.124,-0.080,-3.712,34.006
1.566,-0.071,-0.125,-0.088,-2.828,32.484
1.616,-0.023,-0.125,-0.084,-4.125,32.451
1.666,-0.059,-0.126,-0.085,-2.910,33.361
1.716,0.020,-0.124,-0.083,-4.114,33.023
1.766,-0.047,-0.125,-0.083,-3.893,33.145
1.816,-0.019,-0.125,-0.083,-3.042,32.911
1.866,-0.041,-0.125,-0.087,-3.802,31.651
1.917,-0.030,-0.125,-0.080,-2.890,31.496
1.966,-0.067,-0.125,-0.087,-3.076,32.570
2.016,-0.039,-0.125,-0.084,-4.046,32.885
2.066,-0.067,-0.126,-0.088,-2.791,32.730
2.116,-0.015,-0.125,-0.085,-4.013,32.307
2.166,-0.048,-0.125,-0.086,-3.412,30.923
2.216,-0.016,-0.125,-0.082,-3.233,30.672
2.267,-0.007,-0.125,-0.082,-3.520,31.206
2.317,0.020,-0.125,-0.082,-2.978,31.623
2.366,-0.065,-0.125,-0.085,-3.207,31.552
2.417,0.007,-0.124,-0.081,-2.926,31.621
2.466,-0.048,-0.126,-0.083,-2.965,30.201
2.516,-0.053,-0.125,-0.082,-4.216,30.661
2.566,0.013,-0.125,-0.078,-2.946,30.595
2.616,-0.034,-0.125,-0.081,-3.101,31.394
2.667,-0.001,-0.125,-0.073,-2.911,30.898
2.717,-0.039,-0.125,-0.078,-3.039,30.809
2.766,-0.044,-0.125,-0.084,-3.918,29.329
2.816,-0.024,-0.125,-0.079,-2.823,29.228
2.866,0.018,-0.125,-0.075,-3.243,30.086
2.917,0.005,-0.125,-0.078,-3.293,30.391
2.966,-0.015,-0.125,-0.077,-2.931,30.509
3.016,0.007,-0.125,-0.079,-4.107,30.317
3.066,-0.014,-0.125,-0.082,-2.923,29.305
3.117,0.010,-0.125,-0.077,-3.397,28.761
3.166,0.011,-0.124,-0.079,-3.382,28.932
3.216,-0.010,-0.125,-0.082,-2.887,29.743
3.266,-0.026,-0.125,-0.079,-3.392,29.772
3.316,-0.006,-0.125,-0.084,-3.032,29.342
3.366,-0.014,-0.124,-0.080,-2.948,27.928
3.416,-0.029,-0.125,-0.082,-4.045,27.992
3.466,-0.023,-0.125,-0.077,-3.323,29.104
3.517,0.004,-0.125,-0.083,-4.114,28.851
3.566,0.026,-0.125,-0.082,-3.062,29.007
3.616,-0.018,-0.125,-0.084,-3.062,28.458
3.666,0.011,-0.125,-0.087,-4.001,27.737
3.716,0.014,-0.124,-0.082,-3.000,27.020
3.766,-0.023,-0.126,-0.084,-3.309,27.996
3.817,0.014,-0.125,-0.079,-3.215,27.982
3.866,-0.009,-0.125,-0.077,-3.208,28.318
3.916,-0.042,-0.125,-0.086,-4.106,27.710
3.966,-0.030,-0.125,-0.081,-3.168,26.790
4.016,-0.037,-0.125,-0.082,-3.207,27.270
4.067,0.006,-0.125,-0.078,-3.414,27.125
4.116,-0.025,-0.125,-0.080,-3.050,28.141
4.166,0.012,-0.125,-0.080,-4.389,27.926
4.216,0.011,-0.125,-0.080,-3.023,27.526
4.266,-0.031,-0.124,-0.076,-3.052,26.185
4.317,0.021,-0.125,-0.082,-3.229,26.060
4.367,0.014,-0.125,-0.080,-3.104,26.169
4.416,-0.013,-0.125,-0.085,-4.149,27.202
4.466,0.017,-0.125,-0.084,-3.196,27.208
4.516,-0.004,-0.126,-0.079,-3.313,26.893
4.566,-0.008,-0.125,-0.085,-4.228,25.763
