time(sec),pressure-1(bar),pressure-2(bar),pressure-3(bar),flow_rate_1(LPM),flow_rate_2(LPM)
6.248,0.406,-1.872,2.547,304.972,989.539
6.298,0.405,-1.737,2.298,304.331,990.451
6.348,0.401,-1.930,2.370,304.523,988.769
6.398,0.403,-1.815,2.242,304.845,990.048
6.448,0.412,-1.914,2.419,304.157,989.941
6.499,0.416,-1.882,1.257,304.881,990.649
6.548,0.410,-1.872,-1.504,304.273,990.897
6.600,0.410,-1.807,2.744,304.636,990.592
6.648,0.405,-1.769,2.869,303.973,990.145
6.698,0.404,-1.856,1.802,304.166,989.688
6.748,0.415,-1.763,2.698,304.295,990.777
6.799,0.416,-2.031,2.206,304.535,990.790
6.848,0.415,-1.795,2.393,304.081,989.846
6.899,0.414,-1.835,4.835,304.869,988.839
6.949,0.415,-1.618,2.439,304.305,989.057
6.998,0.416,-1.797,2.058,304.373,987.624
7.048,0.422,-1.740,2.275,303.964,987.114
7.098,0.418,-1.799,8.483,304.062,987.970
7.149,0.421,-1.757,2.209,304.790,987.673
7.198,0.419,-1.826,4.809,304.670,985.801
7.248,0.420,-1.787,2.298,304.210,985.742
7.299,0.417,-1.695,2.462,304.037,986.402
7.348,0.423,-1.918,2.508,303.889,986.849
7.398,0.424,-1.904,2.367,304.437,987.255
7.448,0.426,-2.019,2.183,303.993,987.343
7.499,0.427,-2.006,2.829,304.190,986.573
7.548,0.430,-1.736,-3.927,304.218,987.088
7.598,0.428,-1.881,2.862,303.927,986.288
7.648,0.434,-2.022,1.838,304.678,987.175
7.698,0.433,-1.969,3.017,304.543,987.416
7.749,0.425,-1.970,2.353,304.184,987.289
7.798,0.425,-1.927,2.324,304.834,986.131
7.849,0.430,-1.704,3.151,304.219,987.447
7.899,0.431,-1.740,2.616,304.636,986.233
7.949,0.436,-1.728,1.697,304.340,986.940
7.999,0.434,-1.745,2.081,304.451,987.834
8.048,0.434,-1.903,2.409,304.897,987.095
8.098,0.434,-1.948,3.903,304.389,986.655
8.148,0.434,-1.651,2.695,304.807,987.838
8.198,0.432,-1.796,2.324,304.691,986.433
8.248,0.429,-1.859,9.796,304.184,987.283
8.298,0.427,-2.071,2.708,304.805,987.472
8.348,0.431,-1.946,2.383,304.119,987.732
8.398,0.431,-1.747,2.120,304.487,989.318
8.448,0.435,-1.990,2.064,304.551,989.287
8.498,0.433,-1.863,2.360,303.892,990.598
8.548,0.430,-1.642,2.564,305.089,992.174
8.598,0.429,-1.972,2.527,304.463,993.653
8.648,0.436,-1.772,2.225,304.343,994.365
8.698,0.436,-1.759,2.390,304.730,994.122
8.748,0.437,-1.963,0.938,304.415,993.500
8.799,0.437,-1.824,2.442,304.676,994.235
8.848,0.427,-1.759,14.271,304.826,995.106
8.898,0.424,-1.899,2.541,303.924,995.998
8.948,0.425,-1.885,2.685,304.831,995.916
8.999,0.423,-1.803,1.992,304.368,996.409
9.049,0.438,-1.876,1.198,304.838,996.401
9.098,0.439,-1.834,2.005,304.612,996.031
9.149,0.435,-1.837,2.107,304.494,996.688
9.198,0.436,-1.969,-1.304,304.512,997.670
9.249,0.427,-1.807,2.042,304.149,997.938
9.299,0.428,-1.873,2.682,304.682,998.171
9.348,0.430,-1.854,2.527,305.040,996.511
9.399,0.431,-1.744,2.872,304.102,997.965
9.449,0.424,-1.822,1.936,304.684,999.562
9.498,0.425,-1.838,2.655,304.339,1001.127
9.548,0.426,-1.751,2.587,304.439,1002.169
9.598,0.423,-1.818,2.429,304.635,1001.982
9.648,0.432,-1.766,2.478,304.075,1001.350
9.698,0.432,-1.712,2.931,304.947,1001.746
9.748,0.428,-1.863,0.814,304.547,1002.769
9.798,0.428,-2.010,2.537,304.069,1003.417
9.848,0.427,-1.978,2.347,304.752,1003.525
9.898,0.423,-1.995,2.137,304.319,1002.557
9.949,0.431,-1.789,4.602,304.944,1002.253
9.998,0.429,-1.733,3.752,304.486,1002.248
10.048,0.433,-1.848,2.688,304.213,1003.087
10.099,0.433,-1.884,2.721,304.744,1003.266
10.148,0.435,-1.909,2.629,304.006,1003.633
10.198,0.433,-1.791,3.056,304.340,1002.703
10.248,0.433,-1.921,2.498,304.394,1002.726
10.298,0.430,-1.770,2.383,304.335,1001.737
10.348,0.433,-1.794,2.836,304.843,1002.993
10.398,0.438,-1.794,2.370,304.089,1003.888
10.448,0.435,-1.777,1.766,304.256,1005.166
10.498,0.433,-1.845,2.567,304.661,1005.762
10.548,0.426,-1.786,2.984,304.120,1005.181
10.599,0.427,-1.780,2.790,304.829,1005.959
10.648,0.425,-1.688,2.265,304.214,1006.562
10.699,0.425,-1.817,2.655,304.295,1007.603
10.748,0.426,-1.902,2.173,304.680,1007.712
10.799,0.427,-1.735,2.590,304.029,1007.265
10.849,0.425,-1.775,1.690,304.506,1007.027
10.898,0.426,-1.995,2.603,304.578,1008.794
10.948,0.424,-1.843,-1.619,304.373,1009.565
10.998,0.427,-1.855,-5.651,304.861,1012.039
11.048,0.434,-1.804,2.357,303.976,1012.991
11.098,0.434,-1.752,2.596,304.284,1012.519
11.148,0.435,-1.800,1.628,304.728,1012.907
11.199,0.436,-1.791,2.902,304.259,1013.080
11.248,0.427,-1.777,2.399,304.941,1014.070
11.298,0.429,-1.787,1.408,304.277,1015.175
11.348,0.430,-1.775,2.833,304.442,1015.210
11.399,0.430,-1.833,1.746,304.609,1014.407
