time(sec),pressure-1(bar),pressure-2(bar),pressure-3(bar),flow_rate_1(LPM),flow_rate_2(LPM)
0.000,-0.125,0.146,0.104,-0.902,0.484
0.029,-0.125,-0.055,-1.094,-0.333,0.500
0.079,-0.125,-0.189,0.275,-0.483,0.458
0.129,-0.125,-0.055,-0.043,-0.446,0.057
0.179,-0.125,-0.116,-0.260,-0.336,0.779
0.229,-0.125,-0.076,0.718,-0.165,0.277
0.280,-0.125,-0.089,0.344,-0.899,0.234
0.329,-0.125,-0.125,0.416,-0.515,0.052
0.379,-0.125,-0.125,0.659,-0.234,0.289
0.429,-0.125,-0.049,0.548,-0.559,0.602
0.479,-0.125,-0.152,0.416,-0.231,0.703
0.530,-0.125,-0.113,0.492,-0.841,0.578
0.579,-0.125,-0.108,-0.234,-0.138,0.585
0.630,-0.126,-0.078,0.150,-0.785,0.007
0.679,-0.126,-0.142,0.013,-0.966,0.447
0.730,-0.125,-0.136,-0.230,-0.204,0.692
0.780,-0.125,-0.151,0.114,-0.694,0.802
0.829,-0.125,-0.057,-0.418,0.009,0.880
0.879,-0.126,-0.052,-0.096,-0.916,0.501
0.929,-0.126,-0.028,0.860,-0.599,0.055
0.980,-0.125,-0.111,0.410,-0.263,0.129
1.029,-0.126,-0.056,-1.064,-0.500,0.492
1.079,-0.125,-0.023,0.045,-0.859,0.760
1.129,-0.125,-0.074,0.308,-0.252,0.206
1.179,-0.125,-0.074,-0.112,-0.837,-0.157
1.229,-0.126,-0.121,0.187,-0.317,-0.234
1.279,-0.125,-0.098,0.610,-0.529,0.583
1.329,-0.125,-0.061,-0.125,-0.212,0.295
1.379,-0.126,-0.006,-0.454,-0.088,0.742
1.429,-0.125,-0.049,0.223,-0.535,0.711
1.479,-0.125,-0.005,0.856,-0.486,-0.337
1.530,-0.126,-0.112,-0.070,-0.638,-0.041
1.579,-0.126,-0.068,0.869,-0.991,0.656
1.629,-0.126,-0.105,0.630,-0.284,0.966
1.679,-0.125,-0.043,0.321,-0.801,0.583
1.729,-0.125,-0.072,0.219,-0.624,0.290
1.780,-0.125,-0.035,0.370,-0.266,-0.038
1.830,-0.125,-0.116,-0.027,-0.358,-0.210
1.880,-0.126,-0.092,-0.175,-0.206,0.093
1.929,-0.127,-0.066,-0.493,-0.525,0.507
1.979,-0.126,-0.031,-0.322,-0.059,0.782
2.029,-0.126,-0.079,0.620,-0.246,0.324
2.080,-0.126,-0.072,0.072,-0.977,0.046
2.129,-0.126,-0.046,-0.014,-0.289,0.039
2.179,-0.125,-0.118,0.492,-0.428,0.706
2.229,-0.126,-0.075,0.321,-0.594,0.837
2.280,-0.125,-0.048,0.498,-0.291,0.896
2.329,-0.125,-0.130,0.433,-0.562,0.539
2.380,-0.124,-0.008,0.127,-0.438,0.497
2.430,-0.125,-0.091,0.075,-0.651,0.068
2.479,-0.125,-0.111,0.715,-0.562,0.767
2.530,-0.126,-0.052,0.058,-0.186,0.684
2.579,-0.125,-0.118,0.416,-1.014,0.416
2.630,-0.124,0.067,-0.270,-0.238,0.958
2.679,-0.126,-0.101,0.141,-0.302,-0.090
2.729,-0.125,0.062,-0.785,-0.184,-0.115
2.779,-0.126,-0.133,-0.549,-0.395,0.407
2.829,-0.125,-0.076,-0.017,-0.552,0.641
2.879,-0.126,-0.084,0.380,-0.354,0.354
2.929,-0.126,-0.080,-0.309,-0.286,-0.069
2.980,-0.125,0.017,0.288,-0.509,0.046
3.029,-0.125,-0.108,-0.079,-0.115,0.255
3.079,-0.125,-0.092,0.580,-0.532,0.670
3.129,-0.126,-0.144,-0.378,-0.843,0.730
3.180,-0.125,-0.058,0.013,-0.171,0.613
3.229,-0.126,-0.053,0.200,-0.638,0.270
3.279,-0.126,-0.142,0.095,-0.519,0.227
3.329,-0.126,-0.056,0.137,-0.577,0.010
3.379,-0.125,-0.092,0.929,-0.932,0.641
3.429,-0.125,-0.085,0.167,-0.143,0.700
3.479,-0.125,0.002,0.535,-0.886,0.798
3.529,-0.126,-0.015,0.124,-0.221,0.570
3.579,-0.126,0.058,-0.102,-0.760,0.137
3.630,-0.125,-0.056,0.584,-0.420,0.029
3.679,-0.125,-0.052,0.249,-0.231,0.639
3.729,-0.126,-0.035,0.338,-0.634,0.785
3.779,-0.125,-0.038,0.666,-0.295,0.551
3.829,-0.125,-0.032,0.384,-0.342,0.143
3.879,-0.126,0.032,-0.995,-0.447,0.270
3.929,-0.125,-0.015,-0.280,-0.095,0.268
3.979,-0.126,-0.050,-0.037,-1.033,0.537
4.029,-0.125,-0.014,-0.303,-0.328,0.755
4.079,-0.125,0.012,-0.506,-0.660,0.618
4.129,-0.125,-0.066,-0.395,-0.670,-0.049
4.180,-0.125,0.014,0.413,-0.030,-0.124
4.229,-0.126,-0.050,-0.175,-0.390,0.298
4.279,-0.126,-0.048,-0.546,-0.426,0.518
4.330,-0.126,0.081,0.354,-0.531,0.450
4.379,-0.126,-0.083,-0.145,-0.951,0.467
4.429,-0.126,0.011,0.039,-0.407,0.359
4.480,-0.125,0.046,0.282,-0.523,-0.059
4.529,-0.126,-0.058,0.108,-0.899,0.514
4.579,-0.126,0.035,-0.434,-0.355,0.139
4.629,-0.125,-0.054,0.108,-0.814,0.664
4.679,-0.125,0.048,-0.769,-0.104,0.670
4.729,-0.127,-0.111,0.410,-0.258,-0.231
4.779,-0.126,-0.041,-0.181,-0.937,0.182
4.829,-0.126,0.052,0.164,-0.228,0.012
4.879,-0.126,-0.051,-0.414,-0.354,0.842
4.930,-0.125,-0.013,0.259,-0.366,0.735
4.979,-0.125,-0.009,0.114,-0.741,0.723
5.029,-0.125,0.071,-0.007,-0.415,0.459
5.080,-0.125,-0.003,-0.224,-0.884,0.510
5.130,-0.125,0.012,0.154,-0.297,0.200
5.179,-0.125,-0.037,0.209,-0.605,0.707
5.230,-0.125,0.038,0.305,-0.121,0.647
5.279,-0.125,0.012,0.597,-0.292,0.726
5.329,-0.125,0.030,0.170,-0.374,0.628
5.379,-0.125,0.026,0.558,-0.788,0.386
5.429,-0.125,0.063,0.167,-0.401,0.172
5.479,-0.126,-0.044,0.436,-0.186,0.709
5.530,-0.126,0.052,0.183,-0.798,0.789
5.579,-0.125,-0.028,0.531,-0.328,0.334
5.629,-0.126,-0.042,-0.102,-0.232,0.026
5.679,-0.125,0.063,0.121,-0.349,0.212
5.729,-0.125,0.012,0.049,-0.273,0.471
5.779,-0.126,-0.030,-0.381,-0.482,0.641
5.829,-0.126,-0.019,-0.506,0.074,0.704
5.879,-0.125,-0.047,0.180,-0.386,0.212
5.929,-0.125,0.027,0.403,-0.188,0.527
5.979,-0.126,0.022,-0.368,-0.237,-0.077
6.029,-0.126,-0.007,0.193,-0.406,0.686
6.079,-0.126,0.043,-0.116,-0.424,0.546
6.129,-0.125,-0.022,0.072,-0.013,0.673
6.179,-0.126,0.054,-0.437,-0.629,0.702
6.229,-0.126,0.019,0.295,-0.604,0.533
6.279,-0.126,-0.083,-0.119,-0.513,0.441
6.330,-0.126,0.040,-0.142,-0.383,0.416
6.379,-0.125,0.018,-0.253,-0.699,0.406
6.429,-0.125,0.051,-0.043,-0.909,0.680
6.480,-0.125,-0.045,0.118,-0.352,0.772
6.529,-0.125,0.011,0.338,-0.285,0.169
6.580,-0.126,0.022,0.062,-0.316,-0.012
6.629,-0.125,-0.012,0.091,-0.266,0.851
6.679,-0.125,0.026,0.318,-0.325,0.409
6.730,-0.125,0.034,0.252,-0.086,0.586
6.779,-0.125,0.016,0.213,-0.758,0.173
6.830,-0.125,0.057,-0.411,-0.328,0.221
6.880,-0.125,-0.027,0.492,-0.485,0.117
6.929,-0.125,0.003,0.443,-0.854,0.526
6.979,-0.124,0.036,-0.237,-0.271,0.903
7.029,-0.125,0.018,0.663,-0.557,0.530
7.079,-0.126,0.028,-0.342,-0.348,0.079
7.129,-0.125,0.124,0.134,-0.370,0.392
7.179,-0.126,0.039,-0.001,-0.986,0.422
7.230,-0.125,0.078,0.114,-0.385,0.599
7.279,-0.125,0.097,0.055,-0.321,0.746
7.329,-0.126,0.023,0.009,-1.019,0.589
7.380,-0.124,0.073,0.098,-0.175,0.231
7.429,-0.126,0.101,0.167,-0.706,-0.162
7.480,-0.125,-0.035,0.449,-0.443,0.211
7.530,-0.124,-0.022,-0.349,-0.657,-0.069
7.579,-0.125,0.046,0.262,-0.605,0.735
7.629,-0.125,0.079,0.344,-0.350,0.491
7.679,-0.125,0.078,-0.207,-0.457,0.174
7.730,-0.126,-0.025,-0.473,-0.454,0.177
7.779,-0.125,-0.022,0.039,-0.263,0.208
7.829,-0.125,0.080,-0.319,-0.755,0.849
7.879,-0.125,0.055,-0.168,-0.302,0.739
7.929,-0.125,-0.007,-0.253,-0.283,0.824
7.979,-0.125,0.094,0.482,-0.472,-0.032
8.029,-0.126,-0.034,-0.280,-0.328,0.036
8.079,-0.125,0.037,0.032,-0.713,0.456
8.130,-0.125,-0.003,-0.230,-0.292,0.592
8.180,-0.125,0.047,0.797,-0.743,0.753
8.229,-0.124,-0.036,0.653,-0.261,0.945
8.279,-0.125,0.017,-0.270,-0.160,0.121
