time(sec),pressure-1(bar),pressure-2(bar),pressure-3(bar),flow_rate_1(LPM),flow_rate_2(LPM)
0.000,0.027,-1.738,0.410,155.816,-0.249
0.014,0.027,-1.813,1.106,156.272,0.370
0.059,0.025,-1.824,0.794,156.284,-0.373
0.109,0.028,-1.701,2.268,156.140,0.508
0.159,0.024,-1.785,0.590,156.433,-0.202
0.210,0.025,-1.650,0.081,156.620,0.862
0.259,0.024,-1.755,0.784,155.947,0.107
0.309,0.028,-1.720,0.351,156.664,0.256
0.359,0.025,-1.822,0.026,156.185,-0.186
0.409,0.024,-1.731,-0.030,156.330,0.246
0.459,0.024,-1.664,1.611,156.242,0.016
0.509,0.026,-1.682,0.338,156.182,0.423
0.559,0.029,-1.691,0.587,156.642,0.152
0.609,0.028,-1.759,0.416,156.512,0.491
0.659,0.023,-1.678,0.630,156.661,-0.474
0.709,0.024,-1.724,0.669,156.440,0.461
0.759,0.023,-1.745,0.817,156.049,0.842
0.810,0.023,-1.628,-0.093,156.545,1.037
0.859,0.027,-1.814,0.118,156.192,0.517
0.909,0.025,-1.776,1.142,156.099,0.660
0.959,0.026,-1.730,0.088,156.347,-0.157
1.009,0.027,-1.792,-1.540,155.924,0.713
1.060,0.029,-1.653,1.030,156.513,-0.195
1.110,0.026,-1.668,0.771,156.408,1.088
1.160,0.026,-1.783,0.951,155.905,0.512
1.210,0.026,-1.585,0.420,156.000,0.664
1.259,0.024,-1.797,-0.027,155.916,-0.286
1.309,0.022,-1.743,0.722,156.144,1.118
1.359,0.025,-1.778,0.580,156.089,0.318
1.410,0.023,-1.775,0.183,155.871,0.894
1.459,0.025,-1.978,-6.813,156.273,0.543
1.510,0.025,-1.622,0.085,155.700,0.961
1.559,0.027,-1.777,-7.250,155.695,0.222
1.609,0.027,-1.839,0.354,156.281,0.726
1.659,0.025,-1.973,0.331,155.822,0.373
1.709,0.026,-1.887,0.515,156.443,0.904
1.759,0.025,-1.676,0.817,156.004,0.612
1.810,0.024,-2.016,0.498,156.199,0.324
1.859,0.023,-1.726,3.269,155.970,0.084
1.909,0.023,-1.771,0.160,155.827,0.146
1.959,0.025,-1.912,0.902,156.556,0.704
2.009,0.025,-1.788,0.209,156.085,0.606
2.059,0.023,-1.945,0.623,156.050,0.328
2.109,0.024,-1.860,0.725,156.100,-0.007
2.159,0.025,-1.811,5.988,155.754,0.025
2.210,0.025,-1.820,0.400,155.678,0.557
2.259,0.025,-1.766,2.688,155.537,0.417
2.309,0.026,-1.796,0.292,154.991,0.241
2.359,0.026,-1.721,0.265,155.752,0.359
2.409,0.026,-1.825,0.397,155.039,-0.272
2.460,0.025,-1.865,0.695,155.428,0.275
2.509,0.026,-1.719,0.275,155.468,-0.032
2.559,0.026,-1.695,3.269,155.367,0.375
2.609,0.025,-1.686,0.617,155.241,0.480
2.660,0.022,-1.653,-2.246,154.609,0.322
2.710,0.027,-1.736,0.748,155.089,0.293
2.760,0.028,-1.741,2.390,154.853,0.020
2.809,0.026,-1.722,0.479,154.384,0.328
2.859,0.024,-1.563,0.347,155.054,0.956
2.910,0.025,-1.780,-2.506,154.423,0.072
2.959,0.024,-1.697,0.472,154.448,0.432
3.009,0.025,-1.851,0.580,154.991,-0.220
3.059,0.023,-1.614,2.140,154.196,0.179
3.109,0.023,-1.886,0.183,154.962,0.424
3.159,0.025,-1.761,0.259,155.524,0.827
3.210,0.025,-1.739,0.531,155.444,0.100
3.259,0.025,-1.880,0.446,156.099,-0.097
3.309,0.027,-1.755,-1.094,155.566,-0.020
3.360,0.026,-1.700,-3.668,156.443,0.448
3.409,0.026,-1.918,-0.086,156.466,0.473
3.459,0.026,-1.629,0.574,156.047,1.297
3.511,0.025,-1.709,-0.920,156.539,0.660
3.559,0.025,-1.804,0.525,156.003,0.277
3.609,0.022,-1.703,0.331,156.397,0.260
3.659,0.027,-1.672,0.406,156.652,0.413
3.709,0.026,-1.967,0.626,156.296,0.523
3.759,0.025,-1.818,0.462,156.589,1.292
3.810,0.023,-1.663,-5.894,156.431,0.670
3.860,0.026,-1.689,3.233,156.709,0.591
3.909,0.027,-2.005,-0.106,157.144,0.003
3.959,0.025,-1.892,2.537,156.474,0.207
4.009,0.028,-1.845,0.196,157.054,0.438
4.059,0.028,-1.849,0.515,157.038,0.393
4.109,0.023,-2.069,0.361,156.800,0.363
4.159,0.023,-1.776,-0.089,157.596,0.038
4.209,0.027,-1.833,0.449,157.480,0.158
4.259,0.025,-1.896,0.505,158.125,0.397
4.309,0.025,-1.826,6.602,158.058,0.637
4.359,0.024,-1.941,0.361,157.696,0.623
4.409,0.025,-1.976,0.426,158.505,0.543
4.459,0.024,-1.932,0.400,157.947,-0.037
4.509,0.031,-2.008,0.361,158.248,-0.108
4.559,0.027,-2.040,-1.708,158.231,0.335
4.609,0.028,-1.835,0.722,157.693,0.365
4.659,0.025,-1.725,11.238,158.442,0.789
4.709,0.026,-1.995,0.709,158.015,0.436
4.759,0.025,-1.898,0.380,158.293,0.105
4.809,0.031,-1.768,-0.516,158.507,-0.300
4.859,0.028,-1.558,0.413,157.967,0.988
4.909,0.032,-1.748,0.495,158.340,0.231
4.959,0.032,-2.030,-0.391,158.120,0.619
5.010,0.033,-1.737,0.485,158.455,1.158
5.059,0.034,-1.825,8.575,158.676,0.097
5.109,0.034,-1.684,0.485,157.960,-0.097
5.160,0.036,-1.984,-0.703,158.415,0.232
5.209,0.042,-1.958,0.679,158.470,0.412
5.260,0.040,-1.775,-0.664,158.315,0.809
5.309,0.037,-1.895,0.420,158.384,0.153
5.359,0.038,-1.977,0.452,157.900,-0.180
5.410,0.040,-1.676,0.554,158.774,0.102
5.459,0.038,-1.761,0.475,158.487,0.673
5.509,0.042,-1.934,0.249,157.813,0.738
5.559,0.042,-1.733,0.935,158.387,1.348
5.609,0.045,-1.925,0.255,157.987,0.229
5.659,0.045,-1.850,0.705,158.030,-0.056
5.709,0.044,-1.644,0.193,158.305,1.062
5.759,0.044,-1.693,0.242,157.824,0.070
5.810,0.050,-1.875,4.215,158.247,0.534
5.859,0.047,-1.615,0.607,157.970,0.618
5.910,0.047,-1.977,0.594,158.507,0.342
5.959,0.047,-1.744,-1.534,158.174,-0.178
6.009,0.051,-1.844,0.354,157.880,0.541
6.059,0.051,-1.685,0.354,158.324,0.793
6.109,0.053,-1.912,-5.461,158.014,0.751
6.159,0.051,-1.956,0.709,158.149,0.354
6.209,0.054,-1.805,0.406,158.572,-0.170
6.259,0.053,-1.748,0.518,158.266,-0.022
6.309,0.053,-1.897,-0.221,158.608,-0.247
6.360,0.053,-1.844,0.548,158.495,-0.166
6.409,0.051,-1.779,0.613,158.519,0.280
6.459,0.052,-1.643,0.216,158.918,0.814
6.509,0.055,-1.534,0.232,158.276,0.363
6.560,0.054,-1.820,-0.030,158.869,-0.562
6.610,0.056,-1.940,0.715,158.857,-0.385
6.659,0.054,-2.048,0.515,159.194,0.543
6.709,0.059,-1.990,0.498,159.972,0.253
6.759,0.059,-1.813,0.124,159.833,0.599
6.810,0.063,-1.810,0.580,160.277,0.806
6.859,0.061,-1.826,0.255,160.308,0.218
6.910,0.066,-1.807,0.853,159.918,-0.213
6.959,0.063,-1.670,0.741,160.762,0.126
7.009,0.068,-1.779,-0.237,160.245,0.586
7.059,0.068,-1.968,2.028,160.520,0.334
7.110,0.068,-1.923,7.029,160.661,0.346
7.159,0.066,-1.789,0.892,160.655,-0.043
7.209,0.076,-1.884,0.512,161.219,0.638
7.259,0.076,-1.973,0.301,160.974,0.343
7.309,0.077,-1.863,0.446,161.633,0.677
7.359,0.072,-1.746,0.518,161.689,1.241
7.410,0.075,-1.775,-0.798,160.981,0.461
7.460,0.074,-1.802,1.070,161.798,0.238
7.509,0.075,-2.001,0.466,161.599,0.165
7.559,0.073,-1.886,0.777,161.468,0.265
7.609,0.075,-1.758,0.613,162.163,0.185
7.659,0.073,-1.895,-1.222,162.563,0.770
7.709,0.076,-1.864,0.777,162.980,-0.274
7.759,0.075,-1.875,0.531,162.844,0.262
7.809,0.076,-1.906,0.860,163.419,-0.580
7.859,0.075,-2.031,0.699,163.753,0.432
7.909,0.077,-1.914,0.718,163.361,0.524
7.959,0.079,-2.106,0.429,163.671,0.147
8.009,0.078,-1.968,0.554,163.960,0.421
