time(sec),pressure-1(bar),pressure-2(bar),pressure-3(bar),flow_rate_1(LPM),flow_rate_2(LPM)
0.000,0.705,-1.870,3.765,304.493,1551.247
0.014,0.707,-1.831,4.156,304.630,1550.131
0.061,0.713,-1.789,4.008,304.811,1553.721
0.111,0.715,-1.831,3.069,304.681,1554.017
0.161,0.702,-1.887,3.627,304.235,1554.204
0.212,0.703,-1.874,3.864,304.678,1553.193
0.261,0.699,-1.842,3.929,304.075,1553.566
0.311,0.698,-1.764,3.870,304.627,1554.104
0.362,0.701,-1.829,4.222,304.104,1553.442
0.411,0.704,-1.892,12.406,305.053,1553.805
0.461,0.708,-1.837,3.283,304.685,1552.318
0.511,0.708,-1.766,3.614,304.381,1553.169
0.562,0.704,-1.864,4.100,304.988,1552.041
0.611,0.702,-1.895,3.900,304.288,1552.627
0.661,0.696,-1.887,3.768,304.230,1552.451
0.711,0.696,-1.730,3.952,304.772,1550.822
0.761,0.697,-1.781,3.870,304.693,1549.009
0.811,0.698,-1.765,3.220,304.351,1548.698
0.861,0.700,-1.794,14.449,305.055,1548.753
0.911,0.698,-1.819,-1.678,304.107,1548.610
0.962,0.703,-1.881,3.650,304.992,1547.803
1.011,0.704,-1.864,4.143,304.365,1546.840
1.061,0.712,-1.863,3.785,304.455,1545.984
1.111,0.711,-1.903,3.503,304.801,1545.390
1.161,0.703,-1.781,4.021,303.996,1545.074
1.211,0.702,-1.817,3.824,304.838,1544.549
1.261,0.699,-1.872,3.585,304.406,1543.549
1.311,0.697,-1.927,2.997,304.393,1542.507
1.361,0.698,-1.802,3.548,304.985,1540.722
1.411,0.697,-1.882,4.304,304.088,1540.388
1.461,0.702,-1.898,3.673,304.694,1539.938
1.511,0.700,-1.822,3.729,304.739,1540.753
1.562,0.698,-1.796,3.969,304.355,1540.697
1.611,0.698,-1.885,3.575,304.898,1539.996
1.661,0.702,-1.746,4.504,304.064,1538.927
1.711,0.700,-1.802,3.775,304.637,1538.477
1.761,0.710,-1.872,3.962,304.674,1538.887
1.812,0.710,-1.810,3.979,304.203,1539.221
1.861,0.711,-1.829,3.929,304.931,1539.396
1.911,0.709,-1.785,3.880,304.658,1538.475
1.961,0.704,-1.755,3.726,304.275,1537.836
2.011,0.703,-1.833,3.667,304.827,1537.669
2.062,0.702,-1.779,1.808,304.068,1538.027
2.111,0.702,-1.821,3.969,304.883,1538.449
2.161,0.711,-1.862,3.755,304.728,1537.761
2.211,0.712,-1.839,3.716,304.370,1537.574
2.262,0.716,-1.696,4.202,304.479,1537.168
2.311,0.718,-1.823,4.051,304.013,1535.271
2.362,0.698,-1.714,3.808,304.628,1534.890
2.411,0.698,-1.824,3.814,304.394,1535.327
2.461,0.701,-1.775,3.762,304.392,1535.762
2.511,0.702,-1.779,3.893,304.214,1535.469
2.561,0.704,-1.849,2.120,304.211,1534.261
2.611,0.702,-1.698,3.601,304.324,1533.742
2.661,0.708,-1.729,4.018,304.532,1533.696
2.711,0.709,-1.692,4.041,304.086,1534.025
2.762,0.701,-1.735,4.231,304.741,1533.819
2.812,0.699,-1.717,4.097,304.080,1534.665
2.861,0.703,-1.692,3.168,304.442,1533.442
2.911,0.702,-1.726,3.585,304.943,1532.841
2.961,0.701,-1.748,14.406,304.024,1532.785
3.011,0.702,-1.699,3.959,304.928,1533.455
3.061,0.713,-1.659,13.319,304.476,1534.180
3.111,0.712,-1.659,1.605,304.317,1533.795
3.162,0.707,-1.757,11.957,304.707,1533.447
3.211,0.707,-1.762,3.650,303.983,1532.675
3.261,0.702,-2.033,3.686,304.512,1532.470
3.311,0.702,-1.801,3.814,304.607,1533.244
3.361,0.705,-1.681,3.683,304.230,1533.749
3.411,0.704,-1.759,3.880,304.832,1533.434
3.461,0.716,-1.716,4.028,304.271,1532.449
3.511,0.718,-1.811,3.854,304.230,1532.132
3.561,0.727,-1.828,3.663,304.296,1531.773
3.611,0.728,-1.783,3.818,304.012,1532.116
3.661,0.720,-1.948,3.900,304.696,1532.790
3.711,0.719,-1.853,3.243,304.225,1532.801
3.762,0.728,-1.760,4.248,304.786,1531.712
3.811,0.731,-1.735,3.867,304.917,1530.360
3.861,0.730,-1.814,3.713,304.117,1529.789
3.912,0.728,-1.862,3.897,304.723,1530.055
3.961,0.741,-1.745,3.713,304.238,1530.492
4.012,0.743,-1.963,4.169,304.992,1530.038
4.061,0.743,-1.798,3.824,304.836,1530.580
4.111,0.742,-1.798,3.982,304.033,1529.225
4.162,0.736,-1.826,4.770,304.875,1526.289
4.211,0.737,-1.794,1.644,304.730,1524.326
4.261,0.740,-1.802,3.535,304.314,1523.064
4.312,0.741,-1.756,3.854,304.891,1521.841
4.362,0.742,-1.736,4.517,303.977,1520.088
4.411,0.743,-1.794,3.988,304.674,1518.146
4.462,0.744,-1.745,4.294,303.937,1516.871
4.511,0.746,-1.816,3.778,304.108,1516.341
4.561,0.763,-1.937,4.169,304.450,1515.586
4.611,0.762,-1.805,4.126,304.067,1510.734
4.661,0.764,-1.864,3.926,304.471,1500.112
4.711,0.764,12.902,7.423,304.453,1491.223
4.761,0.761,12.902,6.149,303.927,1483.852
4.811,0.761,12.902,8.729,304.415,1479.312
4.861,0.770,12.902,3.627,304.066,1475.040
4.912,0.771,12.902,5.069,304.194,1472.928
4.961,0.773,12.902,2.229,304.018,1469.752
5.011,0.770,12.902,10.995,303.831,1467.027
5.061,0.785,12.902,7.964,304.512,1464.615
5.111,0.783,12.902,-0.007,304.103,1459.923
5.162,0.772,12.902,3.893,304.115,1450.475
5.212,0.773,-1.655,4.409,304.681,1443.503
5.262,0.780,-1.765,4.632,304.228,1437.964
