time(sec),main_pump_inlet_P(bar),main_pump_outlet_P(bar),venturi_pump_inlet_P(bar),main_pump_outlet_F(LPM),venturi_pump_outlet_F(LPM)
0.000,-0.075,-0.127,-0.100,-4.159,16.651
0.038,-0.047,-0.126,-0.091,-4.162,17.446
0.089,0.029,-0.126,-0.089,-2.914,17.245
0.138,0.005,-0.126,-0.091,-3.451,16.352
0.188,0.004,-0.126,-0.096,-3.772,16.353
0.238,-0.017,-0.127,-0.091,-2.994,16.949
0.288,0.009,-0.125,-0.089,-4.055,17.262
0.338,0.034,-0.126,-0.093,-2.985,17.121
0.388,-0.013,-0.125,-0.094,-3.832,17.182
0.438,-0.018,-0.126,-0.097,-3.784,16.119
0.489,0.082,-0.126,-0.093,-3.091,15.700
0.539,0.036,-0.127,-0.092,-4.019,16.556
0.588,-0.092,-0.126,-0.092,-3.680,17.167
0.638,-0.069,-0.126,-0.096,-3.071,17.283
0.689,0.037,-0.125,-0.096,-3.359,16.998
0.738,-0.038,-0.126,-0.095,-2.742,16.051
0.789,0.040,-0.126,-0.093,-4.129,15.361
0.838,0.023,-0.126,-0.097,-2.940,15.865
0.888,-0.079,-0.126,-0.101,-3.008,16.923
0.939,0.038,-0.125,-0.092,-3.523,16.958
0.988,0.049,-0.126,-0.090,-2.961,16.745
1.038,0.040,-0.126,-0.092,-3.495,15.695
1.088,0.029,-0.126,-0.089,-3.328,15.254
1.138,-0.058,-0.125,-0.095,-2.951,16.523
1.188,-0.090,-0.124,-0.091,-4.159,16.735
1.238,0.043,-0.126,-0.089,-2.937,16.937
1.288,-0.079,-0.126,-0.091,-3.421,16.685
1.339,-0.042,-0.125,-0.094,-2.943,16.516
1.388,-0.074,-0.125,-0.095,-2.918,15.762
1.438,0.064,-0.124,-0.094,-4.136,15.974
1.489,-0.087,-0.124,-0.093,-2.897,16.235
1.538,-0.065,-0.125,-0.095,-3.224,16.845
1.588,-0.066,-0.125,-0.093,-3.982,16.271
1.638,-0.116,-0.126,-0.097,-3.005,16.299
1.688,0.047,-0.125,-0.091,-4.198,15.249
1.738,-0.049,-0.125,-0.092,-3.238,16.317
1.788,-0.007,-0.125,-0.094,-3.055,16.682
1.838,-0.026,-0.126,-0.093,-3.894,16.646
1.888,-0.022,-0.126,-0.092,-3.002,16.397
1.938,0.016,-0.125,-0.093,-3.488,15.286
1.988,-0.121,-0.126,-0.091,-3.934,15.506
2.038,-0.060,-0.126,-0.096,-3.042,16.409
2.088,-0.027,-0.126,-0.093,-4.243,16.491
2.138,-0.060,-0.125,-0.093,-3.142,16.389
