time(sec),main_pump_inlet_P(bar),main_pump_outlet_P(bar),venturi_pump_inlet_P(bar),main_pump_outlet_F(LPM),venturi_pump_outlet_F(LPM)
0.000,-0.053,-0.126,-0.099,-3.967,-3.673
0.042,-0.010,-0.126,-0.100,-2.837,-3.390
0.092,0.017,-0.125,-0.097,-4.093,-3.705
0.142,-0.025,-0.127,-0.103,-3.511,-4.332
0.192,0.020,-0.126,-0.099,-3.317,-3.905
0.242,0.014,-0.126,-0.097,-3.682,-3.167
0.292,-0.009,-0.126,-0.098,-2.930,-2.972
0.343,-0.034,-0.126,-0.097,-4.047,-2.813
0.393,0.011,-0.126,-0.099,-3.180,-3.961
0.442,0.010,-0.126,-0.097,-3.001,-4.521
0.492,-0.011,-0.126,-0.096,-4.222,-3.533
0.542,0.003,-0.126,-0.093,-2.857,-3.279
0.593,0.011,-0.126,-0.096,-3.869,-2.995
0.642,0.002,-0.126,-0.094,-3.618,-3.542
0.692,-0.007,-0.126,-0.098,-2.840,-4.404
0.742,-0.002,-0.127,-0.097,-4.057,-4.429
0.792,0.023,-0.126,-0.095,-2.959,-3.599
0.842,-0.025,-0.126,-0.101,-3.160,-2.908
0.892,0.018,-0.126,-0.095,-3.570,-3.021
0.942,-0.005,-0.125,-0.099,-3.155,-2.990
0.993,0.025,-0.125,-0.096,-4.107,-3.739
1.042,0.012,-0.126,-0.096,-2.912,-4.386
1.092,0.014,-0.126,-0.092,-3.574,-3.944
1.142,0.013,-0.126,-0.094,-3.628,-3.189
1.192,-0.014,-0.127,-0.098,-2.865,-3.054
1.242,0.016,-0.126,-0.095,-4.062,-3.030
1.293,0.011,-0.127,-0.101,-3.079,-3.760
1.342,0.005,-0.126,-0.097,-3.028,-4.347
1.392,-0.007,-0.126,-0.097,-4.039,-3.552
1.443,0.023,-0.126,-0.094,-3.017,-3.309
1.492,-0.010,-0.126,-0.102,-3.131,-2.916
1.542,-0.009,-0.126,-0.094,-3.820,-3.785
1.592,0.034,-0.126,-0.101,-3.220,-3.687
1.642,0.022,-0.126,-0.099,-3.919,-3.825
1.693,0.004,-0.125,-0.100,-2.905,-4.052
1.742,-0.004,-0.126,-0.094,-3.674,-3.143
1.792,0.010,-0.127,-0.097,-3.667,-2.949
1.842,0.012,-0.125,-0.099,-3.051,-3.205
1.893,0.017,-0.125,-0.098,-4.147,-3.632
1.942,0.001,-0.126,-0.099,-3.577,-3.939
1.993,0.006,-0.126,-0.098,-3.710,-3.755
2.042,-0.001,-0.126,-0.096,-3.557,-3.162
2.093,-0.018,-0.126,-0.099,-2.855,-3.032
2.143,0.007,-0.126,-0.095,-4.224,-3.056
2.192,0.023,-0.127,-0.098,-3.440,-4.521
2.242,-0.006,-0.125,-0.095,-3.021,-4.318
2.292,-0.009,-0.126,-0.102,-4.090,-3.460
2.342,0.003,-0.126,-0.100,-3.394,-2.846
2.392,0.011,-0.127,-0.097,-3.642,-3.022
2.442,-0.008,-0.126,-0.098,-3.398,-3.415
2.492,-0.002,-0.127,-0.098,-2.961,-4.552
2.542,0.008,-0.126,-0.097,-4.039,-4.488
2.592,0.033,-0.127,-0.095,-3.527,-3.012
2.642,-0.012,-0.126,-0.096,-3.701,-3.051
2.692,0.009,-0.126,-0.102,-3.731,-3.120
2.742,0.030,-0.126,-0.096,-3.160,-3.037
