time(sec),pressure-1(bar),pressure-2(bar),pressure-3(bar),flow_rate_1(LPM),flow_rate_2(LPM)
0.000,0.088,-1.651,1.066,193.157,0.765
0.032,0.090,-1.799,6.901,193.188,0.555
0.082,0.091,-1.692,0.991,193.139,0.340
0.132,0.089,-1.611,0.666,193.893,-0.201
0.182,0.089,-1.778,12.282,193.294,0.307
0.232,0.088,-1.871,-1.685,194.068,0.117
0.282,0.088,-1.777,0.551,193.741,0.894
0.332,0.088,-1.798,0.974,194.342,0.689
0.382,0.086,-1.647,0.942,194.087,0.525
0.433,0.088,-1.907,0.676,193.514,0.159
0.482,0.090,-1.689,0.978,194.101,-0.034
0.533,0.090,-1.850,0.610,193.604,0.177
0.582,0.086,-1.924,0.164,194.009,0.609
0.633,0.086,-1.728,2.603,194.231,0.541
0.682,0.087,-1.831,-0.418,193.769,0.510
0.733,0.091,-1.799,0.850,194.236,-0.035
0.782,0.092,-1.902,0.948,194.208,0.508
0.832,0.094,-1.910,0.745,193.673,0.784
0.883,0.093,-1.910,0.948,194.255,0.429
0.933,0.092,-2.048,1.126,194.060,1.051
0.982,0.091,-1.847,0.656,194.235,-0.187
1.032,0.091,-1.940,0.544,194.325,-0.283
1.082,0.088,-1.889,0.528,193.852,0.609
1.132,0.089,-1.952,0.840,194.459,0.609
1.183,0.089,-1.704,10.443,193.846,0.817
1.232,0.089,-1.959,0.709,194.026,0.152
1.282,0.093,-1.769,0.525,194.356,0.490
1.333,0.091,-1.863,0.590,194.050,-0.034
1.383,0.089,-1.750,0.587,194.341,0.084
1.432,0.088,-1.948,0.837,194.044,0.265
1.482,0.091,-1.858,0.991,194.251,0.864
1.533,0.092,-1.894,0.850,194.354,0.475
1.582,0.090,-1.881,2.531,194.168,0.289
1.633,0.090,-1.958,0.613,194.642,0.342
1.682,0.090,-2.002,0.860,194.482,0.146
1.733,0.090,-1.928,0.935,194.756,0.048
1.783,0.089,-1.744,1.342,194.661,0.721
1.832,0.090,-1.926,0.692,193.872,0.275
1.882,0.088,-2.186,0.633,194.125,-0.275
1.932,0.089,-2.024,0.558,194.511,0.366
1.983,0.089,-1.747,0.869,194.000,-0.005
2.032,0.085,-1.698,0.029,193.889,-0.256
2.082,0.085,-1.781,-2.266,193.831,0.820
2.133,0.088,-1.807,0.252,194.148,0.360
2.183,0.090,-1.717,0.636,194.036,-0.139
2.233,0.090,-1.701,-3.671,193.865,0.081
2.282,0.090,-1.748,0.587,194.450,0.054
2.332,0.089,-1.797,1.007,193.836,0.207
2.382,0.087,-1.854,0.328,193.547,0.758
2.432,0.091,-1.740,0.837,193.497,0.396
2.482,0.091,-1.760,0.761,194.036,0.004
2.532,0.094,-1.757,-2.742,194.317,0.049
2.582,0.094,-1.861,0.331,194.577,0.318
2.633,0.093,-1.807,-0.240,194.763,0.024
2.682,0.095,-1.742,-0.171,195.008,0.654
2.732,0.093,-1.867,0.748,194.440,0.309
2.783,0.094,-1.694,0.580,195.314,0.220
2.833,0.094,-1.668,0.324,194.531,-0.393
2.882,0.094,-1.827,0.672,194.698,0.197
2.933,0.095,-1.708,0.479,195.086,0.175
2.983,0.094,-1.668,0.495,194.727,0.184
3.032,0.093,-1.872,-0.089,195.351,0.463
3.083,0.094,-1.684,10.381,195.133,0.049
3.132,0.092,-1.844,-2.594,195.413,-0.355
3.182,0.091,-1.778,-0.234,196.135,-0.278
3.232,0.087,-1.856,1.037,195.606,0.230
3.282,0.087,-1.749,0.810,195.954,0.481
3.332,0.089,-1.792,0.679,196.036,0.337
3.382,0.088,-1.718,0.791,195.782,-0.540
3.432,0.088,-1.803,0.574,195.843,0.413
3.482,0.088,-1.841,0.489,196.022,0.058
3.532,0.088,-1.950,0.764,195.754,0.335
3.582,0.088,-1.949,6.897,195.866,0.575
3.633,0.092,-1.886,0.751,195.563,0.761
3.682,0.092,-1.730,0.745,195.867,0.894
3.732,0.096,-1.941,0.502,195.372,-0.212
3.782,0.094,-1.751,0.262,195.013,0.823
3.832,0.096,-1.708,2.209,195.727,1.431
