time(sec),pressure-1(bar),pressure-2(bar),pressure-3(bar),flow_rate_1(LPM),flow_rate_2(LPM)
0.000,-0.061,-1.517,0.141,97.949,-0.138
0.014,-0.063,-1.583,-0.342,97.303,1.223
0.062,-0.068,-1.537,0.301,97.902,0.683
0.112,-0.065,-1.953,-0.027,97.870,0.104
0.162,-0.063,-1.905,-0.211,97.372,0.200
0.212,-0.066,-1.756,-0.234,97.558,0.913
0.262,-0.067,-1.819,-1.974,97.214,0.717
0.312,-0.067,-1.747,2.252,97.523,0.538
0.363,-0.064,-1.671,-0.244,97.763,0.340
0.413,-0.063,-1.487,-0.129,97.065,0.484
0.462,-0.066,-1.796,0.873,97.515,0.244
0.512,-0.068,-1.947,0.088,97.550,0.974
0.562,-0.064,-1.831,-0.641,96.979,0.919
0.612,-0.065,-1.703,-0.444,97.338,0.661
0.663,-0.069,-1.639,9.658,96.995,0.306
0.713,-0.065,-1.678,-0.313,96.999,0.472
0.763,-0.065,-1.721,-0.401,96.872,0.186
0.812,-0.065,-1.662,-0.812,96.350,1.271
0.862,-0.064,-1.737,-0.306,96.957,0.652
0.912,-0.064,-1.695,-0.270,96.444,0.796
0.962,-0.061,-1.626,0.866,96.760,-0.111
1.013,-0.061,-1.562,-0.874,96.434,0.407
1.062,-0.067,-1.616,7.052,96.225,0.201
1.113,-0.066,-1.599,-0.050,96.693,0.849
1.162,-0.064,-1.645,0.101,96.619,0.579
1.212,-0.063,-1.690,-0.217,96.298,0.347
1.262,-0.066,-1.793,-0.093,96.693,0.202
1.313,-0.066,-1.576,-0.230,96.219,0.036
1.362,-0.066,-1.773,-0.299,96.520,0.502
1.412,-0.063,-1.481,-0.066,96.029,0.977
1.463,-0.066,-1.704,9.685,96.193,0.696
1.512,-0.066,-1.741,-0.148,96.471,0.333
1.562,-0.065,-1.762,-0.139,95.863,-0.273
1.612,-0.065,-1.576,-0.076,96.235,-0.101
1.662,-0.064,-1.824,-0.355,95.951,-0.107
1.712,-0.062,-1.576,0.098,95.995,0.502
1.763,-0.063,-1.603,-0.555,95.758,0.612
1.812,-0.063,-1.799,0.144,95.053,0.549
1.862,-0.064,-1.547,4.826,95.804,-0.078
1.912,-0.066,-1.576,0.502,95.294,0.420
1.963,-0.063,-1.688,-1.127,95.389,-0.041
2.012,-0.065,-1.673,0.196,95.381,1.017
2.063,-0.064,-1.680,0.150,95.077,0.651
2.113,-0.066,-1.662,0.062,95.615,0.900
2.163,-0.065,-1.774,-0.391,95.905,-0.092
2.213,-0.062,-1.676,-0.470,95.349,-0.126
2.262,-0.064,-1.669,10.693,95.821,-0.117
2.312,-0.066,-1.537,-0.493,95.489,1.063
2.363,-0.063,-1.685,-0.178,95.846,0.816
2.412,-0.064,-1.591,0.177,95.470,1.094
2.462,-0.065,-1.758,0.239,95.456,-0.272
2.513,-0.065,-1.583,-0.047,95.752,0.102
2.563,-0.060,-1.609,-0.588,95.651,-0.398
2.612,-0.062,-1.712,-0.368,95.862,0.596
2.662,-0.065,-1.730,0.068,96.342,0.283
2.712,-0.066,-1.553,-0.772,95.671,0.848
2.762,-0.065,-1.723,-0.076,96.252,-0.333
2.812,-0.062,-1.601,0.603,96.518,0.564
2.862,-0.066,-1.748,-0.313,95.937,0.452
2.912,-0.064,-1.586,-0.532,96.361,0.714
2.962,-0.066,-1.789,0.341,96.178,0.672
3.012,-0.064,-1.643,-0.204,96.268,0.689
3.062,-0.060,-1.767,-0.887,96.402,-0.131
3.112,-0.060,-1.907,-0.398,96.162,-0.253
3.162,-0.066,-1.758,-0.132,97.000,0.141
3.212,-0.065,-1.578,-0.496,96.722,1.139
3.263,-0.065,-1.990,-0.332,96.935,0.593
3.312,-0.066,-1.727,-0.441,97.040,0.251
3.362,-0.066,-1.762,-0.375,96.758,-0.315
3.412,-0.065,-1.859,-0.030,97.202,0.071
