time(sec),main_pump_inlet_P(bar),main_pump_outlet_P(bar),venturi_pump_inlet_P(bar),main_pump_outlet_F(LPM),venturi_pump_outlet_F(LPM)
0.000,-0.032,-0.124,-0.067,-3.084,57.987
0.033,-0.019,-0.123,-0.062,-3.170,58.000
0.083,-0.026,-0.124,-0.069,-3.204,57.623
0.133,-0.018,-0.124,-0.060,-3.200,56.996
0.183,-0.029,-0.124,-0.067,-3.992,56.566
0.233,-0.016,-0.124,-0.064,-3.376,55.982
0.283,-0.034,-0.124,-0.068,-3.972,56.015
0.334,-0.016,-0.124,-0.072,-3.249,56.360
0.383,-0.058,-0.124,-0.073,-3.077,56.246
0.433,-0.048,-0.124,-0.069,-4.249,55.718
0.483,-0.061,-0.125,-0.069,-3.106,54.537
0.533,-0.036,-0.124,-0.069,-3.421,54.025
0.583,-0.061,-0.124,-0.074,-3.623,54.807
0.633,-0.070,-0.125,-0.076,-3.029,55.487
0.683,-0.035,-0.126,-0.070,-4.277,55.254
0.733,-0.002,-0.124,-0.062,-3.634,54.817
0.783,-0.061,-0.124,-0.070,-3.099,53.761
0.833,-0.024,-0.125,-0.068,-3.430,53.414
0.884,-0.025,-0.125,-0.070,-3.209,53.261
0.933,-0.064,-0.125,-0.076,-3.611,54.325
0.984,-0.044,-0.125,-0.070,-2.873,54.297
1.034,0.003,-0.125,-0.071,-3.590,54.162
1.083,-0.029,-0.124,-0.066,-4.142,53.188
1.133,-0.034,-0.125,-0.076,-2.950,52.393
1.183,-0.056,-0.124,-0.073,-3.908,52.920
1.233,-0.024,-0.123,-0.066,-4.078,53.952
1.283,-0.058,-0.125,-0.078,-2.874,53.762
1.333,-0.063,-0.124,-0.078,-4.135,53.363
1.383,0.002,-0.123,-0.064,-3.023,52.475
1.433,-0.055,-0.124,-0.074,-3.634,51.344
1.483,-0.016,-0.122,-0.061,-4.111,52.299
1.533,-0.029,-0.123,-0.067,-3.167,52.270
1.583,-0.031,-0.124,-0.069,-3.903,52.359
1.634,-0.011,-0.125,-0.068,-2.983,52.229
1.684,-0.015,-0.124,-0.071,-4.086,51.732
1.734,-0.022,-0.124,-0.073,-3.335,50.653
1.783,-0.017,-0.125,-0.074,-3.122,51.081
1.833,-0.071,-0.124,-0.074,-4.084,51.666
1.883,-0.036,-0.124,-0.074,-3.228,51.300
1.934,0.017,-0.125,-0.069,-4.220,50.837
1.983,-0.075,-0.125,-0.076,-4.134,49.312
2.033,-0.041,-0.125,-0.075,-2.940,48.861
2.084,-0.000,-0.124,-0.070,-4.077,48.736
2.133,-0.016,-0.123,-0.066,-3.492,50.051
2.184,-0.028,-0.124,-0.069,-3.352,49.925
2.233,-0.043,-0.125,-0.070,-3.697,49.668
2.283,-0.070,-0.124,-0.078,-3.025,48.814
2.334,-0.011,-0.123,-0.068,-3.461,48.188
2.384,-0.011,-0.124,-0.069,-3.100,47.955
2.433,-0.015,-0.123,-0.068,-2.908,49.066
2.483,-0.055,-0.123,-0.071,-4.116,48.741
2.534,-0.034,-0.123,-0.073,-3.006,48.481
2.583,-0.066,-0.124,-0.075,-3.519,47.194
2.633,-0.062,-0.124,-0.072,-3.358,46.864
2.683,-0.060,-0.124,-0.074,-2.986,47.832
2.733,-0.041,-0.124,-0.071,-4.007,47.813
2.783,-0.077,-0.124,-0.073,-3.266,48.013
2.833,-0.029,-0.124,-0.069,-3.586,47.720
2.883,-0.070,-0.124,-0.072,-4.057,46.179
2.933,-0.056,-0.123,-0.077,-3.002,45.592
2.984,-0.034,-0.123,-0.066,-4.167,45.826
3.034,-0.047,-0.123,-0.072,-3.062,46.489
3.084,-0.026,-0.125,-0.071,-3.468,46.556
3.134,-0.022,-0.124,-0.070,-3.615,46.443
3.183,-0.010,-0.124,-0.066,-3.332,45.062
3.234,-0.009,-0.124,-0.076,-4.211,45.200
3.283,-0.021,-0.123,-0.065,-3.702,45.617
3.333,-0.047,-0.124,-0.074,-3.194,45.984
3.384,-0.008,-0.124,-0.063,-4.228,45.937
3.433,-0.037,-0.124,-0.073,-3.017,45.221
3.483,-0.021,-0.124,-0.065,-3.156,43.904
3.534,-0.006,-0.125,-0.068,-3.167,43.982
3.584,-0.020,-0.124,-0.064,-2.935,44.816
3.633,-0.033,-0.124,-0.068,-4.381,44.713
3.683,-0.007,-0.123,-0.064,-3.719,44.849
3.733,-0.051,-0.125,-0.074,-3.767,44.611
3.783,-0.015,-0.124,-0.069,-4.338,43.364
3.834,-0.064,-0.125,-0.075,-3.265,43.133
3.884,-0.011,-0.124,-0.066,-3.974,43.216
3.934,-0.034,-0.124,-0.067,-2.898,43.875
3.983,-0.024,-0.124,-0.062,-3.217,44.204
4.033,-0.031,-0.125,-0.074,-3.566,43.736
4.083,-0.031,-0.124,-0.073,-3.042,42.911
4.133,-0.060,-0.124,-0.069,-4.190,42.126
4.184,-0.052,-0.124,-0.071,-3.088,42.801
4.234,-0.054,-0.124,-0.070,-3.265,43.335
4.284,-0.042,-0.124,-0.070,-3.532,43.475
4.333,-0.072,-0.125,-0.069,-2.881,42.784
4.384,-0.048,-0.125,-0.069,-3.713,42.165
4.433,-0.057,-0.125,-0.070,-3.207,41.612
4.483,-0.018,-0.125,-0.071,-3.290,41.834
4.533,-0.032,-0.124,-0.068,-4.022,42.555
4.583,-0.028,-0.124,-0.069,-2.947,42.772
4.633,-0.043,-0.125,-0.069,-3.499,42.400
4.683,-0.055,-0.124,-0.076,-3.136,41.667
4.733,-0.053,-0.124,-0.071,-3.057,41.081
4.783,-0.071,-0.124,-0.074,-4.143,41.884
4.834,0.007,-0.123,-0.067,-2.966,41.634
4.883,-0.062,-0.123,-0.077,-3.236,42.032
4.933,12.902,-0.126,-0.074,-4.263,41.529
4.983,12.902,-0.120,-0.068,-3.708,41.268
5.033,12.902,-0.121,-0.079,-3.968,41.134
5.083,12.902,-0.121,-0.061,-3.024,40.690
5.133,12.902,-0.120,-0.065,-3.333,41.665
5.183,12.902,-0.127,-0.099,-3.775,41.660
5.233,12.902,-0.126,-0.067,-2.023,41.742
5.284,12.902,-0.121,-0.062,-4.460,40.915
5.333,12.902,-0.119,-0.069,-3.535,40.324
5.383,12.902,-0.118,-0.077,-3.189,40.840
5.433,-1.743,-0.117,-0.073,-3.849,42.046
5.483,12.902,-0.124,-0.072,-3.249,41.383
5.534,12.902,-0.125,-0.067,-3.711,40.732
5.583,12.902,-0.109,-0.057,-3.813,39.178
5.633,12.902,-0.111,-0.063,-2.799,38.446
5.683,12.902,-0.117,-0.090,-3.780,39.791
5.733,12.902,-0.117,-0.067,-2.564,40.028
5.783,12.902,-0.116,-0.055,-3.322,40.291
5.833,12.902,-0.117,-0.057,-4.105,39.327
5.883,12.902,-0.115,-0.059,-2.724,39.645
5.933,12.902,-0.115,-0.072,-4.042,38.173
5.983,12.902,-0.122,-0.076,-3.403,38.892
6.033,12.902,-0.124,-0.080,-3.680,38.975
6.083,12.902,-0.118,-0.078,-4.472,38.902
6.133,12.902,-0.118,-0.089,-3.056,39.762
6.183,12.902,-0.117,-0.093,-4.574,38.103
6.233,12.902,-0.118,-0.051,-3.528,37.758
6.283,12.902,-0.113,-0.054,-3.372,37.802
6.334,12.902,-0.113,-0.063,-3.362,39.005
6.383,12.902,-0.109,-0.069,-3.163,38.102
6.433,12.902,-0.111,-0.062,-3.751,37.808
6.483,12.902,-0.102,-0.056,-3.183,36.769
6.533,12.902,-0.106,-0.078,-3.439,35.885
6.583,12.902,-0.112,-0.078,-3.971,36.964
6.633,12.902,-0.110,-0.064,-2.955,37.682
6.683,12.902,-0.105,-0.050,-3.591,37.459
6.733,12.902,-0.105,-0.074,-3.427,37.293
6.783,12.902,-0.106,-0.070,-3.390,37.096
6.833,12.902,-0.107,-0.056,-4.495,35.411
6.883,12.902,-0.111,-0.057,-3.040,36.164
6.933,12.902,-0.111,-0.072,-4.231,36.969
6.983,12.902,-0.115,-0.082,-3.387,37.289
7.033,12.902,-0.114,-0.063,-2.986,36.057
7.083,12.902,-0.117,-0.069,-4.498,35.182
7.133,12.902,-0.116,-0.072,-2.856,35.076
7.183,12.902,-0.120,-0.065,-2.672,35.520
7.233,12.902,-0.120,-0.053,-4.208,35.646
7.283,12.902,-0.114,-0.054,-2.758,36.422
7.333,12.902,-0.115,-0.061,-4.436,35.543
7.383,12.902,-0.112,-0.061,-3.182,34.832
7.433,12.902,-0.114,-0.037,-3.162,34.635
7.483,12.902,-0.111,-0.033,-4.417,34.954
7.533,12.902,-0.108,-0.069,-2.786,35.225
7.583,12.902,-0.113,-0.077,-4.593,34.990
7.633,-1.844,-0.112,-0.067,-3.845,35.843
7.683,-1.892,-0.109,-0.073,-2.868,34.702
7.733,-1.936,-0.109,-0.076,-4.522,32.942
7.783,-1.895,-0.105,-0.077,-3.877,34.403
7.833,-1.903,-0.107,-0.088,-3.850,34.819
7.883,-1.723,-0.109,-0.083,-3.368,34.968
7.934,-1.830,-0.110,-0.081,-3.412,35.184
7.983,-1.695,-0.113,-0.086,-4.366,33.372
8.033,-1.816,-0.112,-0.089,-3.149,33.292
8.083,-1.748,-0.111,-0.084,-3.861,34.179
8.133,-1.707,-0.109,-0.071,-4.217,34.546
8.183,-1.868,-0.109,-0.067,-3.336,35.044
8.234,-2.086,-0.107,-0.072,-4.182,34.406
8.283,-1.867,-0.107,-0.072,-3.386,32.824
8.334,12.902,-0.107,-0.060,-3.388,33.015
8.384,12.902,-0.104,-0.069,-2.772,32.894
8.433,12.902,-0.106,-0.064,-2.969,34.144
8.483,12.902,-0.107,-0.058,-3.734,33.551
8.534,12.902,-0.102,-0.071,-3.003,33.244
8.583,12.902,-0.103,-0.078,-2.929,31.983
8.633,12.902,-0.104,-0.087,-4.267,31.951
8.683,12.902,-0.105,-0.077,-3.175,32.670
8.733,12.902,-0.105,-0.088,-3.074,33.422
8.783,12.902,-0.104,-0.085,-3.193,32.750
8.834,-1.811,-0.104,-0.066,-3.412,32.487
8.883,-1.766,-0.103,-0.067,-3.876,32.429
8.933,12.902,-0.099,-0.073,-3.059,30.632
8.983,12.902,-0.099,-0.096,-4.318,31.730
9.033,12.902,-0.106,-0.061,-3.633,32.334
9.083,12.902,-0.103,-0.056,-3.419,32.362
9.133,12.902,-0.095,-0.045,-3.975,31.684
9.183,12.902,-0.096,-0.054,-2.813,31.063
9.233,12.902,-0.095,-0.058,-2.918,30.377
9.283,12.902,-0.095,-0.056,-3.301,31.940
9.333,12.902,-0.093,-0.062,-2.397,31.549
9.383,12.902,-0.093,-0.058,-3.778,31.309
9.433,12.902,-0.094,-0.076,-2.992,31.572
9.483,-1.712,-0.094,-0.076,-3.607,30.182
9.533,-1.954,-0.091,-0.062,-4.166,29.840
9.584,-1.793,-0.090,-0.061,-3.174,29.626
9.634,-1.991,-0.091,-0.076,-4.356,30.613
9.683,-1.728,-0.091,-0.073,-3.143,30.264
9.734,-1.981,-0.094,-0.062,-4.170,31.063
9.783,-1.800,-0.095,-0.063,-4.323,28.474
9.834,-1.949,-0.093,-0.067,-2.891,29.888
9.883,-1.951,-0.093,-0.069,-3.470,30.506
9.933,-1.947,-0.095,-0.058,-3.405,30.335
9.983,-1.920,-0.096,-0.073,-3.474,30.268
10.033,-1.766,-0.093,-0.068,-4.769,31.184
10.083,-1.782,-0.093,-0.066,-3.192,29.677
10.134,-2.003,-0.086,-0.065,-4.348,28.521
10.183,-1.649,-0.086,-0.055,-4.220,30.218
10.234,-1.837,-0.082,-0.075,-3.078,30.612
10.283,-1.938,-0.082,-0.079,-4.049,29.942
10.333,-1.835,-0.067,-0.084,-3.669,28.509
10.383,-1.900,-0.068,-0.081,-2.869,28.794
10.434,-2.119,-0.048,-0.069,-3.233,29.130
10.484,-1.883,-0.048,-0.064,-3.732,28.062
10.533,-1.875,-0.031,-0.077,-3.466,28.912
10.584,-1.975,-0.031,-0.072,-2.633,29.317
10.633,-1.765,-0.018,-0.085,-3.066,29.472
10.684,-1.913,-0.018,-0.073,-3.549,29.009
10.733,-1.730,-0.011,-0.062,-3.118,28.349
10.784,-1.673,-0.010,-0.059,-3.396,28.759
10.833,-1.919,-0.006,-0.055,-2.969,29.666
10.883,-1.815,-0.005,-0.052,-3.367,29.765
10.933,-1.905,0.007,-0.034,-4.301,29.432
10.984,-2.008,0.005,-0.034,-2.879,29.222
11.034,-1.899,0.003,-0.019,-3.882,28.016
11.083,-1.735,0.002,-0.019,-4.012,28.921
11.133,-1.757,-0.004,0.033,-2.875,29.268
11.183,-1.796,-0.005,0.027,-4.294,28.998
11.233,-1.623,-0.004,0.184,-3.449,28.855
11.283,-1.831,-0.005,0.186,-3.308,27.629
11.333,-1.820,-0.012,0.319,-4.601,28.286
11.383,-1.796,-0.010,0.319,-3.174,29.438
11.433,-1.861,-0.012,0.311,-3.232,29.300
11.483,-1.724,-0.013,0.312,-2.592,29.022
11.533,-1.717,-0.010,0.279,-2.858,28.339
11.583,-1.757,-0.010,0.294,-4.527,28.252
11.634,-2.085,-0.014,0.276,-2.156,27.441
11.683,-1.965,-0.014,0.268,-1.825,29.017
11.733,-1.756,-0.010,0.322,0.583,29.163
11.783,-1.834,-0.010,0.331,0.712,28.718
11.833,-1.886,-0.008,0.329,1.411,28.648
11.884,-1.858,-0.008,0.331,2.606,29.438
11.933,-1.780,-0.001,0.317,2.793,30.374
11.984,-2.043,-0.002,0.317,3.235,29.230
12.034,-1.762,0.006,0.334,3.145,31.347
12.084,-1.875,0.005,0.340,2.615,30.696
12.133,-1.828,0.003,0.340,3.104,30.356
12.183,-1.923,0.004,0.331,3.964,30.375
12.233,-1.878,0.008,0.374,3.352,30.341
12.283,-1.655,0.007,0.382,4.859,32.092
12.333,-1.757,0.007,0.364,4.067,33.247
12.384,-1.910,0.007,0.369,5.403,33.899
12.433,-1.854,0.010,0.381,5.447,35.014
12.483,-1.663,0.009,0.378,4.438,33.820
12.533,-2.100,0.012,0.398,5.548,35.582
12.583,-1.940,0.012,0.397,5.361,36.183
12.633,-1.735,0.018,0.399,6.110,36.921
12.683,-1.815,0.018,0.403,6.713,37.628
12.733,-1.752,0.021,0.415,6.358,36.257
12.784,-1.875,0.022,0.411,7.546,36.739
12.834,-1.931,0.024,0.437,6.956,37.587
12.884,-2.008,0.024,0.435,8.284,39.187
12.934,-1.905,0.026,0.455,7.996,41.358
12.983,-1.837,0.026,0.457,7.252,42.708
13.033,-1.923,0.032,0.453,8.781,42.116
13.084,-2.106,0.030,0.448,7.057,42.888
13.133,-1.902,0.035,0.463,8.151,42.370
13.183,-1.938,0.036,0.458,9.648,43.797
13.233,-1.826,0.039,0.475,8.038,43.908
13.283,-1.843,0.040,0.475,9.632,45.419
13.333,-1.694,0.039,0.506,10.489,45.731
13.383,-1.704,0.039,0.503,8.614,46.209
13.433,-1.851,0.041,0.496,10.401,48.455
13.484,-1.816,0.041,0.507,9.189,49.538
13.533,-1.716,0.049,0.537,9.724,51.231
13.584,-1.951,0.049,0.530,10.666,52.283
13.633,-1.727,0.046,0.541,9.902,52.428
13.683,-1.675,0.047,0.556,11.703,51.662
13.733,-1.989,0.052,0.565,10.654,51.822
13.784,-1.777,0.052,0.581,10.899,53.403
13.833,-1.885,0.056,0.586,12.052,55.406
13.883,-1.869,0.056,0.593,11.427,57.177
13.933,-1.889,0.060,0.596,12.818,59.416
13.983,-1.956,0.061,0.600,12.416,59.129
14.033,-1.812,0.065,0.612,12.013,61.216
14.083,-1.957,0.064,0.603,12.840,61.911
14.133,-1.664,0.068,0.660,13.070,62.573
14.183,-1.835,0.067,0.645,14.690,63.504
14.234,-1.850,0.071,0.661,13.721,62.806
14.283,-1.821,0.070,0.669,14.971,63.146
14.333,-2.038,0.076,0.651,15.435,64.635
14.383,-1.736,0.078,0.668,14.457,68.472
14.433,-1.719,0.084,0.681,15.001,70.516
14.484,-1.773,0.081,0.682,14.924,71.840
14.533,-1.942,0.083,0.703,14.687,72.671
14.583,-1.752,0.085,0.692,16.573,72.534
14.633,-1.825,0.091,0.709,16.290,73.482
14.684,-1.742,0.091,0.715,17.766,74.891
14.733,-1.806,0.092,0.726,17.475,75.860
14.783,-1.875,0.091,0.737,18.092,76.248
14.833,-1.830,0.095,0.736,18.812,77.940
14.883,-1.735,0.097,0.735,18.594,80.012
14.933,-1.938,0.100,0.772,19.096,81.944
14.983,-1.855,0.100,0.781,19.833,86.446
15.033,-1.833,0.105,0.785,19.086,86.333
15.083,-1.831,0.104,0.789,20.593,87.610
15.134,-1.888,0.107,0.794,20.312,87.761
15.184,-1.980,0.107,0.809,21.777,88.271
15.233,-1.851,0.111,0.815,22.219,90.271
15.283,-1.787,0.111,0.829,21.354,90.847
15.333,-1.870,0.116,0.831,23.673,94.525
15.384,-1.734,0.116,0.871,23.376,96.214
15.433,-1.923,0.120,0.862,23.053,98.263
15.483,-1.803,0.122,0.868,24.160,99.535
15.534,-1.923,0.125,0.877,23.195,102.195
15.584,-1.944,0.125,0.899,24.393,104.263
15.633,-1.876,0.129,0.895,24.808,105.562
15.684,-1.785,0.128,0.943,25.460,107.278
15.733,-1.991,0.138,0.931,27.052,106.311
15.784,-1.946,0.135,0.962,26.229,106.357
15.833,-1.844,0.145,0.970,26.946,108.897
15.884,-1.908,0.144,0.969,27.777,114.639
15.934,-1.868,0.149,0.968,27.631,117.519
15.983,-1.837,0.150,0.977,28.413,120.635
16.033,-1.727,0.156,0.974,28.037,121.806
16.083,-1.739,0.155,0.999,29.085,123.046
16.134,-1.882,0.154,1.005,30.424,123.961
16.183,-1.809,0.156,1.043,30.220,126.376
16.233,-1.961,0.162,1.051,32.897,127.848
16.283,-1.915,0.161,1.050,32.929,128.161
16.333,-1.869,0.165,1.051,33.051,131.276
16.383,-1.889,0.165,1.069,33.492,133.755
16.433,-1.867,0.172,1.062,32.611,139.384
16.483,-1.780,0.174,1.092,33.504,142.653
16.533,-1.826,0.171,1.094,34.502,145.347
16.583,-1.751,0.171,1.110,34.275,147.110
16.633,-1.949,0.173,1.100,36.499,148.406
16.683,-1.885,0.174,1.117,37.171,149.141
16.733,-1.932,0.180,1.113,38.559,149.694
16.783,-1.863,0.180,1.173,39.857,151.794
16.834,-1.840,0.185,1.179,39.369,154.790
16.884,-1.887,0.187,1.180,41.237,160.237
16.933,-1.939,0.189,1.183,39.719,165.280
16.983,-1.853,0.189,1.192,40.803,167.488
17.033,-1.792,0.196,1.192,41.693,171.500
17.083,-1.909,0.196,1.205,41.749,173.069
17.133,-1.886,0.196,1.207,45.070,176.692
17.184,-1.957,0.197,1.234,44.946,178.226
17.233,-1.764,0.205,1.242,45.907,177.289
17.283,-1.879,0.203,1.267,47.244,178.004
17.333,-2.060,0.204,1.281,47.346,184.190
17.383,-1.735,0.205,1.297,49.289,192.860
17.434,-1.790,0.214,1.303,48.471,198.035
17.483,-1.796,0.214,1.318,48.891,200.996
17.533,-1.888,0.215,1.324,49.238,202.945
17.584,-1.916,0.215,1.309,49.930,206.022
17.633,-1.753,0.217,1.316,52.590,207.903
17.683,-1.795,0.218,1.306,53.752,209.997
17.733,-1.941,0.212,1.312,53.859,212.354
17.783,-1.782,0.212,1.334,57.369,213.527
17.833,-1.759,0.219,1.334,56.425,219.531
17.883,-1.819,0.218,1.341,57.761,225.113
17.933,-1.908,0.219,1.345,58.160,232.569
17.983,-1.982,0.218,1.361,58.660,237.900
18.033,-1.748,0.222,1.354,59.967,242.652
18.083,-1.896,0.222,1.341,62.106,244.607
18.134,-1.870,0.213,1.349,64.602,247.336
18.183,-1.879,0.213,1.361,65.819,248.472
18.233,-1.731,0.221,1.367,66.284,250.045
18.283,-1.827,0.222,1.353,68.051,252.422
18.333,-1.905,0.220,1.360,68.640,260.290
18.383,-1.801,0.218,1.354,69.145,268.925
18.433,-1.833,0.218,1.359,70.725,274.621
18.483,-1.650,0.220,1.362,70.560,279.805
18.534,-1.865,0.219,1.360,70.584,285.371
18.583,-1.828,0.218,1.377,73.848,290.168
18.634,-1.692,0.221,1.376,74.686,293.705
18.683,-1.841,0.220,1.355,78.023,294.596
18.733,-2.019,0.222,1.364,79.343,295.784
18.783,-1.788,0.222,1.352,80.032,298.050
18.833,-1.664,0.220,1.347,81.599,305.021
18.884,-1.906,0.221,1.359,81.329,314.198
18.933,-1.932,0.220,1.345,83.413,321.018
18.984,-1.991,0.220,1.381,83.096,327.460
19.033,-1.705,0.223,1.375,83.667,329.834
19.084,-1.926,0.224,1.369,86.165,333.131
19.133,-1.851,0.223,1.366,87.986,337.110
19.183,-1.985,0.223,1.355,91.237,341.059
19.233,-1.728,0.222,1.359,93.326,341.908
19.283,-1.882,0.222,1.353,94.019,343.417
19.333,-1.852,0.222,1.355,96.230,349.202
19.383,-1.942,0.222,1.377,96.078,359.474
19.433,-1.749,0.219,1.370,97.954,368.449
19.484,-1.975,0.220,1.365,97.550,375.082
19.534,-1.925,0.224,1.379,98.028,380.891
19.583,-1.913,0.223,1.363,100.138,384.403
19.633,-1.762,0.224,1.366,101.352,386.382
19.683,-1.846,0.223,1.371,104.659,388.165
19.733,-1.785,0.227,1.389,106.433,391.813
19.784,-2.055,0.226,1.376,107.335,393.657
19.833,-1.678,0.224,1.370,109.631,401.560
19.883,-2.010,0.224,1.370,108.939,411.079
19.933,-1.708,0.227,1.374,109.393,416.760
19.983,-1.908,0.226,1.369,111.538,425.199
20.033,-1.836,0.225,1.378,110.995,430.352
20.083,-1.943,0.227,1.369,112.004,435.580
20.134,-1.945,0.227,1.368,114.486,439.607
20.183,-1.753,0.222,1.376,115.522,440.399
