time(sec),pressure-1(bar),pressure-2(bar),pressure-3(bar),flow_rate_1(LPM),flow_rate_2(LPM)
0.000,0.868,-1.935,7.423,304.265,1408.093
0.031,0.871,-1.740,5.095,304.441,1408.061
0.082,0.869,-1.933,4.957,304.295,1408.517
0.131,0.865,-1.878,7.258,303.970,1406.867
0.181,0.864,-1.873,5.515,304.781,1407.344
0.231,0.861,-1.878,4.891,304.589,1407.353
0.281,0.861,-1.804,1.155,304.295,1408.768
0.331,0.861,-1.812,4.675,304.746,1408.334
0.381,0.861,-1.668,4.760,304.006,1408.546
0.431,0.865,-1.850,4.822,304.905,1407.876
0.481,0.865,-1.872,-0.381,304.048,1406.910
0.531,0.864,-1.861,4.977,304.142,1407.092
0.582,0.866,-1.711,3.155,305.064,1408.464
0.631,0.862,-1.860,4.901,304.063,1408.327
0.681,0.862,-1.890,3.874,305.019,1408.644
0.732,0.870,-1.809,4.619,304.591,1406.942
0.781,0.868,-1.719,4.694,304.210,1407.366
0.831,0.873,-1.929,-0.181,305.155,1407.225
0.882,0.874,-1.795,4.780,303.980,1408.082
0.931,0.868,-1.739,3.854,304.750,1408.441
0.981,0.867,-1.719,4.776,304.774,1408.585
1.032,0.871,-1.766,4.428,304.250,1407.802
1.081,0.871,-1.858,4.143,304.771,1407.373
1.131,0.879,-1.941,4.885,304.414,1407.216
1.181,0.879,-1.681,4.583,304.076,1408.845
1.231,0.860,-1.868,5.006,304.795,1408.141
1.281,0.861,-1.803,4.891,304.158,1408.433
1.331,0.869,-1.841,4.550,304.630,1406.585
1.381,0.868,-1.783,4.149,304.509,1407.266
1.431,0.870,-1.881,4.671,304.207,1406.965
1.482,0.871,-1.747,4.964,304.292,1407.363
1.532,0.869,-1.772,6.122,304.128,1408.226
1.581,0.867,-1.796,4.868,304.457,1408.365
1.632,0.875,12.902,14.875,303.898,1407.677
1.681,0.876,12.902,2.462,303.786,1406.420
1.731,0.862,12.902,5.686,304.533,1406.211
1.782,0.865,12.902,7.892,303.722,1406.974
1.831,0.857,12.902,3.946,304.102,1407.276
1.881,0.857,12.902,3.256,304.156,1408.019
1.931,0.859,12.902,6.842,303.822,1406.159
