time(sec),pressure-1(bar),pressure-2(bar),pressure-3(bar),flow_rate_1(LPM),flow_rate_2(LPM)
0.000,1.089,12.902,5.729,304.748,1408.018
0.013,1.089,12.902,3.571,303.978,1408.314
0.054,1.112,12.902,3.371,304.792,1407.348
0.104,1.113,12.902,4.172,303.970,1407.463
0.153,1.108,12.902,9.025,304.157,1406.515
0.204,1.111,12.902,4.458,304.741,1406.601
0.253,1.109,12.902,5.335,304.169,1407.185
0.303,1.110,12.902,7.748,304.305,1407.762
0.353,1.106,12.902,11.996,304.827,1407.519
0.403,1.105,12.902,10.368,303.996,1407.485
0.454,1.111,12.902,7.600,304.658,1407.185
0.503,1.110,12.902,5.118,303.807,1405.943
0.553,1.116,-1.851,6.641,304.737,1407.272
0.604,1.117,-1.894,5.909,304.345,1407.623
0.653,1.121,-1.899,5.466,303.947,1408.582
0.703,1.120,-1.890,5.551,304.847,1408.936
0.754,1.138,-1.921,3.785,304.053,1408.399
0.803,1.139,12.902,4.786,304.093,1406.218
0.853,1.110,12.902,9.360,304.133,1406.135
0.904,1.111,12.902,6.976,303.955,1406.938
0.953,1.121,12.902,3.893,304.697,1407.755
1.003,1.120,12.902,-0.510,304.446,1407.325
1.054,1.133,12.902,7.718,304.440,1407.040
1.103,1.131,12.902,6.503,304.781,1405.797
1.153,1.116,12.902,5.515,304.137,1406.594
1.203,1.117,12.902,4.208,304.744,1407.975
1.253,1.111,12.902,4.038,304.267,1407.606
1.303,1.110,-1.952,5.840,304.160,1407.895
1.353,1.125,-1.857,16.100,304.538,1408.314
1.403,1.123,-1.799,6.037,304.144,1407.975
1.453,1.132,12.902,4.891,304.167,1407.972
1.503,1.132,12.902,5.036,304.489,1406.673
1.553,1.135,12.902,8.352,304.253,1407.299
1.603,1.134,12.902,8.033,304.494,1407.837
1.654,1.133,12.902,5.653,303.744,1407.227
1.704,1.136,12.902,1.552,304.445,1406.576
1.754,1.127,12.902,5.633,304.541,1406.300
1.804,1.124,12.902,6.395,304.038,1406.711
1.853,1.129,12.902,11.566,304.633,1407.412
1.903,1.128,12.902,6.638,303.758,1408.020
1.953,1.140,12.902,-0.529,303.989,1408.232
