time(sec),pressure-1(bar),pressure-2(bar),pressure-3(bar),flow_rate_1(LPM),flow_rate_2(LPM)
0.000,-0.100,-1.804,-0.539,30.601,120.718
0.035,-0.101,-1.952,-0.532,30.592,120.071
0.085,-0.098,-1.861,0.810,31.036,120.649
0.135,-0.103,-1.692,-0.536,30.491,120.430
0.186,-0.104,-1.831,-0.109,30.942,121.437
0.235,-0.109,-1.423,0.420,30.919,120.372
0.286,-0.103,-1.593,-0.145,30.725,120.779
0.335,-0.109,-1.491,-0.033,30.884,121.632
0.385,-0.102,-1.693,-0.313,30.495,120.816
0.435,-0.112,-1.257,-0.165,30.263,121.137
0.485,-0.107,-1.567,0.039,30.950,121.000
0.535,-0.111,-1.251,-0.572,30.433,120.303
0.585,-0.103,-1.440,-0.654,31.230,120.425
0.635,-0.108,-1.385,0.026,30.653,120.879
0.685,-0.100,-1.719,-0.729,30.809,120.560
0.735,-0.103,-1.531,-0.526,31.380,119.723
0.786,-0.103,-1.607,-0.418,30.601,119.937
0.835,-0.102,-1.373,-0.004,31.139,119.504
0.885,-0.097,-1.884,-1.140,30.957,119.157
0.935,-0.099,12.902,3.864,30.308,119.144
0.986,-0.102,12.902,1.076,30.896,119.561
1.035,-0.104,12.902,-0.056,30.554,119.109
1.086,-0.105,12.902,7.304,31.001,119.206
1.136,-0.104,12.902,-1.488,30.557,118.782
1.185,-0.103,12.902,-2.328,30.566,118.429
1.235,-0.100,12.902,-1.097,31.096,119.569
1.285,-0.100,12.902,-1.639,30.494,119.539
1.335,-0.099,12.902,-1.304,30.923,119.599
1.385,-0.099,12.902,-1.846,30.895,118.890
1.435,-0.099,-1.728,-0.234,30.700,118.741
1.486,-0.097,-1.800,0.154,31.308,119.156
1.535,-0.099,-1.827,12.144,30.745,119.370
1.586,-0.101,-1.811,-0.280,30.816,119.674
1.635,-0.101,-1.898,-0.211,31.178,119.455
1.685,-0.105,-1.976,0.026,30.724,119.624
1.736,-0.108,-1.672,-0.447,31.172,119.046
1.786,-0.103,-1.778,-0.355,30.766,118.450
1.835,-0.102,-1.832,0.416,30.778,117.985
1.886,-0.099,-1.819,-0.309,30.915,119.322
1.935,-0.100,-1.911,-0.418,30.371,118.893
1.985,-0.102,-1.942,-0.263,30.927,118.773
2.035,-0.101,-1.870,-0.536,30.760,118.106
2.085,-0.099,-1.841,-0.365,30.624,118.777
2.135,-0.101,-1.852,0.229,30.709,117.830
2.185,-0.104,-1.906,-0.424,30.748,118.869
2.235,-0.103,-1.794,5.968,30.741,118.015
2.285,-0.102,-1.824,-0.647,30.940,117.445
2.335,-0.103,-1.783,2.064,31.231,117.778
2.386,-0.103,-1.873,-0.529,31.079,116.883
2.435,-0.101,-1.806,-0.283,31.016,116.820
2.486,-0.097,-1.926,-0.260,31.098,117.723
2.535,-0.099,-1.766,-5.398,30.589,117.192
2.585,-0.101,-1.527,6.398,30.698,117.011
2.636,-0.100,-1.755,-0.155,31.118,117.232
2.686,-0.098,-1.836,-0.119,30.604,117.514
2.736,-0.099,-1.807,0.275,30.984,117.544
2.786,-0.100,-1.627,-0.434,31.127,118.497
2.835,-0.100,-1.973,0.269,30.790,118.891
2.886,-0.104,-1.512,-0.066,31.053,118.764
2.935,-0.103,-1.746,-0.457,30.599,118.738
2.986,-0.101,-1.687,-1.577,30.405,118.629
3.035,-0.102,-1.519,-0.056,30.910,119.603
3.085,-0.100,-1.407,-0.260,30.191,119.585
3.135,-0.099,-1.613,-0.529,30.887,119.441
3.186,-0.102,-1.720,-2.335,30.336,117.740
3.235,-0.099,-1.731,-0.355,30.250,117.288
3.286,-0.101,-1.610,2.206,30.282,116.965
3.335,-0.099,12.902,-0.473,29.898,116.439
3.385,-0.103,12.902,-1.925,30.234,117.845
3.436,-0.107,12.902,-1.245,29.745,117.778
3.485,-0.102,12.902,-1.478,29.622,116.531
3.536,-0.102,12.902,-1.465,30.059,116.871
3.585,-0.106,12.902,1.818,29.937,116.469
3.636,-0.107,12.902,-8.859,29.990,116.308
3.685,-0.105,12.902,-1.672,30.478,117.271
3.736,-0.103,12.902,-0.871,29.885,116.881
3.785,-0.106,12.902,-1.649,30.446,116.220
3.835,-0.104,12.902,-1.068,30.464,116.080
3.885,-0.099,-1.783,-0.358,30.337,115.567
3.935,-0.098,-1.704,-0.611,30.485,117.003
3.986,-0.098,-1.706,-0.326,30.005,116.604
4.035,-0.098,-1.714,-0.867,30.254,116.847
4.085,-0.102,-1.783,-0.460,30.237,116.077
4.135,-0.103,-1.770,0.305,30.472,116.456
4.186,-0.103,-1.677,-0.171,30.436,116.341
4.236,-0.103,-1.754,3.417,29.780,116.880
4.285,-0.102,-1.634,0.035,30.160,117.195
4.335,-0.099,-1.705,-0.487,30.165,117.361
4.386,-0.101,-1.869,1.093,30.620,116.826
4.435,-0.101,-1.729,-0.033,30.328,116.277
4.486,-0.097,-1.473,0.298,29.893,116.045
4.535,-0.098,12.902,0.141,29.957,115.890
4.585,-0.100,12.902,0.081,29.393,116.913
4.636,-0.100,12.902,-0.707,29.604,117.515
4.685,-0.101,12.902,-0.608,30.250,116.471
4.735,-0.103,12.902,-2.023,29.740,116.668
4.785,-0.098,12.902,-1.018,29.926,116.812
4.835,-0.099,12.902,5.361,29.495,116.458
4.885,-0.097,12.902,-1.655,29.653,117.019
4.935,-0.095,12.902,-1.301,30.117,117.760
4.985,-0.097,12.902,1.730,29.629,117.335
5.036,-0.096,12.902,-0.119,30.155,116.679
5.085,-0.096,-2.026,-0.664,29.958,115.978
