pump_speed,venturi_high_input_F,venturi_high_input_P,venturi_low_input_P,venturi_out_F,venturi_restrictor
8,0.8,-0.83,0.5,1246.11,0.2
8,0.8,-0.86,0.5,1246.46,0.3
8,0.8,-0.86,0.5,0,0.4
8,0.8,-0.86,0.5,1246.35,0.5
8,0.8,-0.86,0.5,1245.76,0.6
8,0.8,-0.87,0.5,1246.91,0.7
8,0.8,-0.87,0.5,1246.17,0.8
8,0.8,-0.87,0.5,1246.44,0.9
8,0.8,-0.87,0.5,0,1
9,0.9,957.69,0.5,0,0
9,0.9,-0.36,0.5,1246.45,0.1
9,0.9,-0.8,0.5,1246.44,0.2
9,0.9,-0.86,0.5,1246.48,0.3
9,0.9,-0.86,0.5,1246.43,0.4
9,0.9,-0.86,0.5,1246.12,0.5
9,0.9,-0.86,0.5,1246.44,0.6
9,0.9,-0.86,0.5,1246.48,0.7
9,0.9,-0.87,0.5,1246.28,0.8
9,0.9,-0.87,0.5,1246.55,0.9
9,0.9,-0.87,0.5,1246.48,1
10,1,1062.57,0.5,0,0
10,1,-0.22,0.5,1246.54,0.1
10,1,-0.77,0.5,1246.54,0.2
10,1,-0.86,0.5,1246.54,0.3
10,1,-0.86,0.5,1246.53,0.4
10,1,-0.86,0.5,1246.55,0.5
10,1,-0.86,0.5,1246.75,0.6
10,1,-0.86,0.5,1246.57,0.7
10,1,-0.87,0.5,1246.54,0.8
10,1,-0.87,0.5,1246.58,0.9
10,1,-0.87,0.5,1246.59,1
