time(sec),main_pump_inlet_P(bar),main_pump_outlet_P(bar),venturi_pump_inlet_P(bar),main_pump_outlet_F(LPM),venturi_pump_outlet_F(LPM)
0.000,-0.100,-0.129,-0.107,-3.126,-4.482
0.018,0.056,-0.129,-0.115,-3.170,-3.328
0.056,-0.165,-0.130,-0.118,-3.163,-3.064
0.107,-0.076,-0.128,-0.115,-4.429,-3.214
0.156,-0.171,-0.129,-0.114,-3.364,-4.479
0.207,-0.102,-0.129,-0.111,-3.485,-4.525
0.256,-0.102,-0.129,-0.115,-3.659,-3.894
0.307,-0.062,-0.129,-0.107,-3.039,-3.364
0.357,-0.058,-0.129,-0.111,-4.160,-2.873
0.406,-0.151,-0.128,-0.112,-3.530,-3.564
0.456,-0.097,-0.129,-0.112,-3.255,-3.961
0.507,-0.067,-0.129,-0.115,-3.898,-4.732
0.556,-0.121,-0.128,-0.109,-3.014,-3.379
0.607,-0.110,-0.129,-0.115,-3.551,-2.884
0.656,-0.160,-0.129,-0.114,-3.453,-3.099
0.707,-0.096,-0.128,-0.112,-3.292,-3.209
0.756,-0.012,-0.128,-0.103,-3.511,-4.574
0.807,-0.076,-0.129,-0.115,-3.027,-4.219
0.856,-0.142,-0.129,-0.112,-3.351,-3.426
0.907,-0.022,-0.130,-0.113,-3.144,-3.350
0.956,-0.077,-0.130,-0.116,-3.047,-2.931
1.007,-0.072,-0.129,-0.113,-3.963,-3.035
1.056,-0.086,-0.130,-0.117,-3.002,-4.112
1.107,-0.101,-0.129,-0.115,-3.386,-4.470
1.157,-0.062,-0.129,-0.113,-3.378,-3.915
1.207,-0.145,-0.128,-0.108,-2.974,-3.087
1.256,-0.099,-0.129,-0.117,-3.975,-3.046
1.306,-0.111,-0.129,-0.115,-3.252,-3.263
1.356,-0.098,-0.129,-0.115,-3.184,-4.109
1.406,-0.137,-0.129,-0.113,-4.298,-3.872
1.456,-0.104,-0.129,-0.112,-2.910,-3.519
1.506,-0.088,-0.130,-0.114,-3.235,-2.963
1.556,-0.179,-0.130,-0.115,-3.582,-2.932
1.607,-0.134,-0.129,-0.113,-3.060,-3.415
1.656,-0.099,-0.129,-0.112,-3.956,-3.873
1.707,-0.098,-0.129,-0.118,-2.971,-4.544
1.756,-0.090,-0.129,-0.116,-3.754,-3.540
1.807,-0.080,-0.129,-0.116,-3.227,-3.325
1.856,-0.148,-0.129,-0.118,-2.957,-3.155
1.906,-0.162,-0.129,-0.119,-4.171,-3.285
1.956,-0.139,-0.129,-0.111,-3.121,-4.420
2.006,-0.090,-0.130,-0.116,-3.407,-4.310
2.056,-0.089,-0.130,-0.117,-3.497,-3.730
2.106,-0.133,-0.129,-0.113,-2.948,-3.029
2.156,-0.121,-0.130,-0.118,-4.107,-3.035
2.207,-0.112,-0.130,-0.114,-3.257,-3.459
2.257,-0.092,-0.130,-0.110,-3.686,-3.654
2.306,-0.176,-0.129,-0.115,-4.244,-3.784
2.356,-0.121,-0.130,-0.115,-2.983,-3.542
2.407,-0.107,-0.130,-0.113,-3.909,-3.088
2.457,-0.106,-0.130,-0.111,-3.290,-2.987
2.506,-0.134,-0.129,-0.117,-2.990,-3.780
2.557,-0.084,-0.130,-0.118,-3.638,-3.791
2.607,-0.183,-0.128,-0.123,-3.072,-4.085
2.656,-0.135,-0.130,-0.118,-3.545,-3.437
2.707,-0.101,-0.129,-0.116,-3.180,-3.500
2.756,-0.173,-0.130,-0.116,-3.018,-3.266
2.806,-0.108,-0.129,-0.114,-4.159,-3.311
2.857,-0.104,-0.130,-0.114,-3.208,-4.064
2.907,-0.022,-0.129,-0.118,-4.452,-4.316
2.956,-0.064,-0.130,-0.116,-3.614,-3.668
3.006,0.009,-0.128,-0.107,-3.137,-3.138
3.056,-0.106,-0.129,-0.113,-4.206,-2.897
3.106,-0.096,-0.130,-0.120,-3.054,-3.114
3.156,0.042,-0.128,-0.107,-3.081,-4.517
3.206,0.025,-0.129,-0.107,-4.156,-4.114
3.257,-0.154,-0.128,-0.110,-3.103,-3.642
3.306,-0.064,-0.129,-0.120,-4.144,-3.057
3.356,-0.103,-0.129,-0.118,-3.137,-2.874
3.406,-0.091,-0.129,-0.118,-3.195,-3.366
3.456,-0.136,-0.130,-0.122,-4.264,-4.604
3.507,0.079,-0.128,-0.107,-3.171,-4.164
3.556,-0.130,-0.129,-0.115,-3.704,-3.600
3.606,-0.095,-0.130,-0.114,-3.252,-3.108
3.656,-0.082,-0.129,-0.114,-3.063,-2.962
3.707,0.032,-0.129,-0.100,-3.377,-3.869
3.756,-0.107,-0.131,-0.111,-3.083,-4.200
3.806,-0.097,-0.130,-0.113,-3.623,-4.457
3.857,0.010,-0.129,-0.114,-4.057,-3.338
3.907,-0.076,-0.130,-0.116,-3.060,-3.105
3.956,0.034,-0.128,-0.110,-3.637,-2.923
4.006,0.022,-0.129,-0.117,-3.425,-4.067
4.056,-0.092,-0.130,-0.118,-3.430,-4.084
4.106,-0.103,-0.129,-0.115,-3.701,-4.289
4.156,-0.002,-0.129,-0.108,-3.016,-3.407
4.206,0.038,-0.129,-0.107,-3.296,-3.012
4.256,-0.124,-0.130,-0.114,-3.148,-2.927
4.306,-0.116,-0.129,-0.115,-3.258,-3.342
4.356,0.032,-0.128,-0.107,-3.895,-4.681
4.406,-0.134,-0.129,-0.115,-3.016,-4.240
4.456,0.008,-0.128,-0.107,-3.118,-3.326
4.506,-0.161,-0.129,-0.116,-3.266,-2.973
4.556,-0.145,-0.129,-0.114,-2.997,-3.137
4.606,-0.136,-0.130,-0.116,-4.187,-3.573
4.657,-0.124,-0.129,-0.116,-3.002,-4.273
4.706,0.003,-0.128,-0.107,-3.166,-4.209
4.756,-0.031,-0.130,-0.114,-4.113,-3.047
4.807,-0.026,-0.129,-0.113,-3.295,-3.363
4.856,-0.157,-0.129,-0.112,-4.146,-3.030
4.906,-0.172,-0.129,-0.114,-2.982,-3.518
4.956,0.028,-0.128,-0.109,-3.036,-4.235
5.006,-0.167,-0.129,-0.115,-3.900,-4.077
5.056,0.026,-0.129,-0.104,-2.872,-3.343
5.106,-0.074,-0.129,-0.115,-4.306,-3.104
5.157,-0.072,-0.129,-0.119,-3.010,-2.871
5.206,0.037,-0.129,-0.107,-2.992,-3.771
5.256,-0.110,-0.129,-0.116,-3.796,-4.282
5.306,0.007,-0.129,-0.105,-3.287,-3.763
5.356,-0.101,-0.129,-0.117,-3.851,-3.508
5.406,0.035,-0.128,-0.108,-3.599,-3.035
5.457,-0.079,-0.129,-0.108,-3.009,-2.951
5.506,-0.120,-0.129,-0.118,-4.043,-3.343
5.556,-0.148,-0.129,-0.119,-2.921,-4.288
5.606,0.029,-0.128,-0.108,-3.279,-4.428
5.656,-0.111,-0.130,-0.117,-3.402,-3.455
5.706,-0.155,-0.129,-0.113,-2.960,-2.945
5.756,-0.172,-0.128,-0.112,-4.283,-3.021
5.806,0.004,-0.129,-0.120,-3.381,-4.234
5.856,-0.160,-0.130,-0.116,-3.294,-4.407
5.907,-0.089,-0.129,-0.115,-3.249,-4.453
5.956,0.021,-0.130,-0.119,-3.083,-3.039
6.006,-0.076,-0.129,-0.116,-4.260,-3.007
6.057,0.023,-0.129,-0.106,-3.179,-2.898
6.106,-0.091,-0.131,-0.117,-3.337,-3.463
6.156,-0.154,-0.129,-0.117,-3.760,-4.352
6.206,-0.186,-0.130,-0.115,-2.938,-3.789
6.256,0.059,-0.129,-0.106,-3.518,-3.399
6.307,-0.138,-0.130,-0.114,-3.187,-2.896
6.356,-0.180,-0.130,-0.116,-3.158,-3.020
6.406,-0.113,-0.131,-0.117,-3.977,-3.469
6.456,-0.183,-0.130,-0.115,-2.965,-4.471
6.507,-0.081,-0.130,-0.116,-4.019,-4.491
6.557,-0.095,-0.129,-0.115,-3.195,-3.495
6.607,0.064,-0.129,-0.103,-2.951,-3.055
6.656,-0.131,-0.129,-0.116,-4.180,-3.173
6.706,-0.055,-0.129,-0.111,-2.970,-3.344
6.756,12.902,-0.130,-0.111,-3.301,-4.549
6.806,12.902,-0.131,-0.107,-3.743,-4.209
6.856,12.902,-0.128,-0.112,-3.046,-2.744
6.906,12.902,-0.130,-0.107,-3.206,-2.006
6.956,12.902,-0.123,-0.077,-3.791,-2.938
7.007,12.902,-0.125,-0.078,-4.029,-2.751
7.056,12.902,-0.128,-0.107,-3.706,-6.636
7.106,12.902,-0.130,-0.120,-3.122,-3.717
7.156,12.902,-0.124,-0.113,-3.994,-2.921
7.206,12.902,-0.124,-0.114,-3.721,-2.857
7.256,-1.860,-0.125,-0.116,-3.418,-3.086
7.306,12.902,-0.124,-0.118,-3.779,-3.284
7.356,12.902,-0.126,-0.093,-3.305,-5.009
7.406,12.902,-0.129,-0.102,-4.261,-4.207
7.456,12.902,-0.122,-0.127,-3.751,-2.970
7.506,12.902,-0.124,-0.127,-3.032,-2.716
7.556,12.902,-0.121,-0.111,-4.337,-2.380
7.606,12.902,-0.118,-0.105,-3.309,-3.864
7.656,12.902,-0.118,-0.116,-3.393,-4.951
7.706,12.902,-0.119,-0.111,-3.949,-3.309
7.756,12.902,-0.120,-0.113,-2.953,-2.783
7.806,12.902,-0.121,-0.120,-3.673,-2.475
7.857,-1.803,-0.119,-0.124,-2.749,-2.734
7.906,-2.017,-0.119,-0.136,-3.206,-4.123
7.956,-1.918,-0.121,-0.114,-4.086,-3.661
8.006,-2.091,-0.121,-0.111,-2.952,-4.418
8.056,-1.928,-0.120,-0.122,-3.345,-2.745
8.106,12.902,-0.120,-0.129,-3.362,-2.691
8.156,12.902,-0.120,-0.120,-2.678,-2.864
8.206,12.902,-0.121,-0.140,-4.388,-4.315
8.256,12.902,-0.118,-0.109,-3.180,-4.279
8.306,12.902,-0.119,-0.104,-4.138,-4.263
8.356,12.902,-0.120,-0.102,-3.322,-2.735
8.406,12.902,-0.119,-0.108,-3.124,-2.462
8.456,12.902,-0.123,-0.122,-4.029,-2.516
8.506,12.902,-0.124,-0.117,-3.216,-4.460
8.557,12.902,-0.111,-0.126,-3.618,-4.209
8.607,12.902,-0.110,-0.112,-3.506,-4.031
8.656,12.902,-0.114,-0.121,-3.065,-3.016
8.706,12.902,-0.115,-0.122,-3.710,-3.054
8.756,12.902,-0.122,-0.109,-2.941,-2.898
8.806,12.902,-0.122,-0.115,-3.831,-3.172
8.856,12.902,-0.119,-0.103,-3.244,-4.262
8.906,12.902,-0.120,-0.114,-3.316,-4.107
8.956,12.902,-0.117,-0.118,-4.303,-2.909
9.007,12.902,-0.117,-0.117,-3.561,-3.102
9.056,12.902,-0.119,-0.095,-3.604,-2.889
9.106,12.902,-0.121,-0.113,-3.995,-3.878
9.156,-2.117,-0.124,-0.120,-2.816,-4.272
9.206,-2.259,-0.123,-0.127,-3.704,-3.119
9.256,-2.070,-0.119,-0.124,-3.222,-3.776
9.307,-2.220,-0.119,-0.122,-3.372,-3.057
9.356,-2.141,-0.120,-0.122,-4.557,-3.625
9.406,-1.789,-0.121,-0.121,-2.842,-3.791
9.456,-2.019,-0.117,-0.117,-4.151,-4.041
9.506,-2.007,-0.116,-0.110,-3.290,-3.393
9.556,-1.691,-0.111,-0.119,-3.404,-3.249
9.606,12.902,-0.108,-0.117,-3.836,-2.928
9.657,12.902,-0.101,-0.116,-2.701,-2.687
9.706,12.902,-0.100,-0.111,-3.504,-2.942
