epoch,loss,output_1_loss,output_1_mean_absolute_error,output_1_mean_absolute_percentage_error,output_2_loss,output_2_mean_absolute_error,output_2_mean_absolute_percentage_error,output_3_loss,output_3_mean_absolute_error,output_3_mean_absolute_percentage_error,val_loss,val_output_1_loss,val_output_1_mean_absolute_error,val_output_1_mean_absolute_percentage_error,val_output_2_loss,val_output_2_mean_absolute_error,val_output_2_mean_absolute_percentage_error,val_output_3_loss,val_output_3_mean_absolute_error,val_output_3_mean_absolute_percentage_error
0,1963306.75,1231629.0,1002.154052734375,99.99737548828125,1231646.375,1002.156982421875,99.99623107910156,1224324.125,998.6254272460938,99.51380920410156,1985371.875,1255168.0,1006.2355346679688,99.97779846191406,1255176.25,1006.2296142578125,99.97319793701172,1232268.625,994.5455932617188,98.310302734375
1,1925377.25,1229903.0,1001.3279418945312,99.87445831298828,1228761.375,1000.6430053710938,99.73309326171875,1187777.875,979.8722534179688,97.0218276977539,1928301.125,1250103.0,1003.755615234375,99.59334564208984,1246422.625,1001.8771362304688,99.27027130126953,1179343.375,967.2479248046875,94.77249908447266
2,1856127.5,1220770.125,996.6726684570312,99.11243438720703,1212206.75,992.2362670898438,98.4162368774414,1126234.375,947.2772216796875,92.94607543945312,1843840.375,1235485.75,996.414794921875,98.396484375,1219831.0,988.4623413085938,97.2447738647461,1107245.25,929.0870361328125,90.10781860351562
3,1757893.5,1201262.5,986.793701171875,97.5729751586914,1176790.375,974.2078857421875,95.8565673828125,1044477.25,902.8219604492188,87.73748779296875,1729290.5,1210097.125,983.6151123046875,96.47264099121094,1172641.125,964.3442993164062,93.94717407226562,1014469.0625,877.9203491210938,84.202880859375
4,1632712.75,1171833.875,971.8278198242188,95.44134521484375,1121084.0,945.2576904296875,92.14115905761719,944837.375,846.3818969726562,81.62973022460938,1590266.875,1174309.875,965.3612670898438,93.97218322753906,1105621.875,929.1488037109375,89.57486724853516,906287.4375,815.519775390625,77.66948699951172
5,1484937.125,1131892.5,951.1618041992188,92.73448944091797,1045747.5625,904.95166015625,87.46833801269531,831645.125,779.6649780273438,75.25514221191406,1431593.0,1128379.125,941.4156494140625,90.92937469482422,1019753.1875,882.4259033203125,84.23905944824219,787153.1875,745.4586791992188,71.77347564697266
6,1323637.0,1081363.125,924.5565185546875,89.56106567382812,954136.6875,853.7745361328125,81.97766876220703,712987.125,709.2705688476562,70.3195571899414,1265534.875,1072209.875,911.5504760742188,87.39827728271484,920352.375,825.5909423828125,78.19536590576172,667766.25,676.0552978515625,68.23857116699219
7,1159108.625,1021813.9375,892.394287109375,85.99132537841797,851356.4375,793.1585693359375,75.89466857910156,597157.4375,639.5607299804688,67.3850326538086,1102172.875,1007901.8125,876.3567504882812,83.47636413574219,812952.625,761.25927734375,72.02375793457031,555916.5,608.6810302734375,66.54077911376953
8,1001725.625,954931.875,855.1017456054688,82.051513671875,743359.4375,727.4864501953125,70.30118560791016,492238.1875,573.7935791015625,66.31775665283203,951624.8125,937390.125,836.3544921875,79.21965789794922,703942.25,696.4933471679688,67.59318542480469,459224.96875,548.1423950195312,66.84065246582031
9,857446.625,882870.375,813.1741333007812,77.7641372680664,636410.875,662.6597290039062,66.0323486328125,401662.3125,511.28448486328125,64.8057861328125,819616.9375,862608.5,792.09814453125,74.70317840576172,599507.8125,635.6141357421875,65.5359878540039,380982.0,496.9067077636719,68.30420684814453
