Model : ,33,,,,,,,,,,
Serial No : ,0001,,,,,,,,,,
Type : ,,,,,,,,,,,
Test Date : ,2024-08-08,,,,,,,,,,
Sampling Rate : ,100 Hz,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
-0.02,0.07,0.07,0.03,0.06,0.06,0.05,300.57,29.89,0.00,-0.21,-2.98
-0.02,0.07,0.08,0.02,0.04,0.05,0.05,306.05,29.89,0.00,-0.23,-2.91
-0.02,0.09,0.09,0.03,0.03,0.03,0.04,309.70,29.89,0.00,-0.17,-2.77
-0.01,0.11,0.10,0.04,0.03,0.02,0.03,310.86,29.89,0.00,-0.04,-2.59
-0.01,0.14,0.11,0.05,0.03,0.02,0.01,309.91,29.89,0.00,0.11,-2.40
-0.01,0.16,0.12,0.07,0.04,0.02,0.00,307.80,29.89,0.00,0.25,-2.26
-0.02,0.16,0.12,0.08,0.06,0.02,-0.00,305.41,29.89,0.00,0.35,-2.18
-0.02,0.14,0.12,0.10,0.07,0.03,-0.00,303.44,29.89,0.00,0.38,-2.18
-0.03,0.12,0.12,0.11,0.08,0.05,0.00,302.23,29.89,0.00,0.36,-2.25
-0.03,0.08,0.12,0.10,0.09,0.07,0.01,301.83,29.90,0.00,0.30,-2.38
-0.04,0.05,0.11,0.10,0.10,0.09,0.02,301.94,29.90,0.00,0.21,-2.53
-0.05,0.02,0.10,0.08,0.10,0.10,0.03,302.08,29.90,0.00,0.09,-2.67
-0.06,0.00,0.09,0.07,0.09,0.10,0.04,301.86,29.90,0.00,-0.05,-2.78
-0.06,-0.01,0.09,0.05,0.09,0.09,0.05,300.96,29.90,0.00,-0.19,-2.83
-0.06,-0.01,0.08,0.04,0.08,0.08,0.06,298.74,29.89,0.00,-0.26,-2.81
-0.06,-0.01,0.08,0.04,0.06,0.06,0.06,294.86,29.89,0.00,-0.21,-2.71
-0.05,0.01,0.09,0.03,0.05,0.04,0.05,290.58,29.89,0.00,-0.07,-2.55
-0.04,0.02,0.10,0.03,0.04,0.02,0.04,288.43,29.89,0.00,0.10,-2.38
-0.04,0.04,0.12,0.04,0.04,0.01,0.02,290.06,29.89,0.00,0.24,-2.23
-0.05,0.06,0.15,0.05,0.04,0.00,0.01,294.82,29.88,0.00,0.32,-2.13
-0.05,0.06,0.17,0.06,0.05,0.00,-0.00,300.89,29.88,0.00,0.35,-2.11
-0.06,0.06,0.19,0.08,0.06,0.01,-0.01,306.65,29.88,0.00,0.33,-2.19
-0.06,0.06,0.20,0.09,0.07,0.01,-0.01,310.79,29.88,0.00,0.28,-2.33
