Model : ,10,,,,,,,,,,
Serial No : ,0001,,,,,,,,,,
Type : ,,,,,,,,,,,
Test Date : ,2024-08-06,,,,,,,,,,
Sampling Rate : ,100 Hz,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
-0.04,-0.04,0.03,0.01,0.06,-0.00,0.02,301.77,29.12,0.00,-0.28,-2.24
-0.03,-0.01,0.04,0.01,0.05,-0.02,0.00,302.14,29.12,0.00,-0.27,-2.07
-0.03,0.01,0.05,0.02,0.05,-0.03,-0.01,302.18,29.12,0.00,-0.36,-1.96
-0.02,0.03,0.07,0.04,0.06,-0.03,-0.02,301.38,29.12,0.00,-0.57,-1.95
-0.02,0.03,0.07,0.06,0.07,-0.02,-0.03,299.61,29.12,0.00,-0.86,-2.03
-0.03,0.02,0.08,0.08,0.08,-0.01,-0.03,296.59,29.12,0.00,-1.09,-2.18
-0.04,-0.00,0.07,0.09,0.09,0.01,-0.03,292.32,29.12,0.00,-1.19,-2.35
-0.04,-0.02,0.07,0.09,0.10,0.03,-0.02,288.12,29.12,0.00,-1.14,-2.52
-0.05,-0.04,0.06,0.09,0.11,0.05,-0.00,286.52,29.13,0.00,-1.00,-2.63
-0.06,-0.07,0.05,0.08,0.11,0.07,0.01,289.09,29.13,0.00,-0.79,-2.67
-0.06,-0.08,0.03,0.07,0.11,0.08,0.03,294.87,29.13,0.00,-0.61,-2.63
-0.05,-0.09,0.02,0.05,0.09,0.09,0.04,301.62,29.13,0.00,-0.55,-2.53
-0.05,-0.09,0.01,0.03,0.08,0.09,0.05,307.42,29.13,0.00,-0.66,-2.37
-0.04,-0.08,0.02,0.01,0.06,0.08,0.05,311.11,29.13,0.00,-0.88,-2.19
