Model : ,16,,,,,,,,,,
Serial No : ,0001,,,,,,,,,,
Type : ,,,,,,,,,,,
Test Date : ,2024-08-08,,,,,,,,,,
Sampling Rate : ,100 Hz,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
-0.03,0.00,0.00,0.05,0.07,0.06,0.06,312.52,29.16,0.00,-1.09,-2.18
-0.02,0.03,0.00,0.04,0.05,0.05,0.05,309.41,29.16,0.00,-1.08,-2.25
-0.00,0.05,0.02,0.04,0.04,0.04,0.04,305.73,29.16,0.00,-1.00,-2.38
0.01,0.06,0.03,0.04,0.03,0.03,0.03,302.70,29.16,0.00,-0.84,-2.55
0.01,0.06,0.06,0.05,0.03,0.02,0.01,300.89,29.17,0.00,-0.66,-2.73
0.01,0.07,0.08,0.06,0.04,0.01,0.00,300.39,29.17,0.00,-0.46,-2.86
0.00,0.07,0.09,0.07,0.06,0.01,-0.00,300.91,29.17,0.00,-0.29,-2.91
-0.01,0.08,0.09,0.09,0.07,0.02,-0.00,301.66,29.17,0.00,-0.16,-2.89
-0.01,0.08,0.09,0.10,0.09,0.03,0.00,301.29,29.16,0.00,-0.09,-2.79
-0.02,0.07,0.08,0.11,0.10,0.04,0.01,298.99,29.16,0.00,-0.08,-2.65
-0.03,0.05,0.07,0.10,0.11,0.06,0.02,295.17,29.16,0.00,-0.12,-2.48
-0.03,0.03,0.06,0.09,0.11,0.07,0.03,290.78,29.15,0.00,-0.21,-2.34
-0.03,0.02,0.05,0.07,0.11,0.07,0.05,286.63,29.15,0.00,-0.34,-2.25
-0.02,0.03,0.04,0.05,0.10,0.07,0.05,283.88,29.15,0.00,-0.46,-2.22
-0.02,0.04,0.03,0.04,0.09,0.06,0.06,284.30,29.15,0.00,-0.49,-2.25
-0.01,0.05,0.03,0.02,0.07,0.06,0.05,288.70,29.15,0.00,-0.39,-2.34
-0.01,0.06,0.03,0.02,0.06,0.05,0.05,295.65,29.15,0.00,-0.19,-2.46
-0.01,0.08,0.04,0.02,0.05,0.04,0.04,302.56,29.15,0.00,0.06,-2.59
-0.00,0.11,0.05,0.03,0.05,0.04,0.02,307.53,29.15,0.00,0.31,-2.71
-0.00,0.15,0.07,0.05,0.05,0.03,0.01,309.83,29.14,0.00,0.50,-2.78
