Model : ,10,,,,,,,,,,
Serial No : ,0001,,,,,,,,,,
Type : ,,,,,,,,,,,
Test Date : ,2024-08-06,,,,,,,,,,
Sampling Rate : ,100 Hz,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
-0.08,0.15,0.07,0.08,0.10,0.05,-0.00,300.38,29.08,0.00,-0.39,-2.27
-0.08,0.15,0.06,0.06,0.09,0.06,0.01,298.28,29.09,0.00,-0.23,-2.40
-0.08,0.15,0.04,0.05,0.08,0.06,0.02,295.07,29.09,0.00,-0.11,-2.52
-0.07,0.17,0.04,0.03,0.07,0.06,0.03,290.85,29.09,0.00,-0.12,-2.59
-0.07,0.19,0.04,0.02,0.05,0.05,0.03,286.81,29.09,0.00,-0.24,-2.59
-0.06,0.22,0.05,0.01,0.04,0.03,0.02,285.12,29.09,0.00,-0.38,-2.51
-0.06,0.25,0.07,0.01,0.03,0.01,0.00,287.04,29.08,0.00,-0.48,-2.36
-0.05,0.29,0.08,0.02,0.03,-0.01,-0.01,291.91,29.08,0.00,-0.50,-2.19
-0.04,0.32,0.10,0.03,0.04,-0.02,-0.03,298.30,29.08,0.00,-0.43,-2.03
-0.03,0.33,0.11,0.05,0.04,-0.02,-0.04,304.86,29.08,0.00,-0.27,-1.92
-0.03,0.33,0.12,0.07,0.06,-0.02,-0.05,310.19,29.08,0.00,-0.09,-1.89
-0.03,0.31,0.12,0.08,0.07,-0.00,-0.05,312.98,29.08,0.00,0.00,-1.94
-0.04,0.28,0.12,0.08,0.09,0.01,-0.05,312.84,29.08,0.00,-0.07,-2.08
-0.05,0.23,0.11,0.08,0.10,0.04,-0.04,310.55,29.08,0.00,-0.27,-2.27
-0.06,0.18,0.10,0.08,0.12,0.05,-0.03,307.38,29.08,0.00,-0.50,-2.45
-0.07,0.13,0.09,0.07,0.12,0.07,-0.01,304.41,29.08,0.00,-0.67,-2.58
-0.07,0.09,0.07,0.06,0.11,0.07,0.01,302.28,29.08,0.00,-0.77,-2.65
-0.06,0.06,0.06,0.05,0.10,0.07,0.02,301.19,29.08,0.00,-0.82,-2.63
-0.05,0.05,0.06,0.03,0.08,0.06,0.03,300.99,29.08,0.00,-0.84,-2.53
-0.05,0.05,0.07,0.02,0.06,0.04,0.03,301.06,29.08,0.00,-0.87,-2.37
-0.04,0.07,0.08,0.02,0.04,0.02,0.02,300.25,29.08,0.00,-0.86,-2.21
-0.04,0.09,0.10,0.02,0.03,-0.00,0.00,297.82,29.08,0.00,-0.81,-2.09
-0.04,0.12,0.12,0.03,0.03,-0.02,-0.02,294.12,29.09,0.00,-0.72,-2.01
-0.03,0.15,0.13,0.04,0.03,-0.03,-0.03,289.90,29.09,0.00,-0.62,-2.00
-0.03,0.16,0.15,0.06,0.04,-0.03,-0.04,285.85,29.09,0.00,-0.52,-2.05
-0.03,0.16,0.16,0.08,0.05,-0.01,-0.05,283.11,29.10,0.00,-0.45,-2.15
-0.04,0.14,0.17,0.10,0.07,0.01,-0.05,283.61,29.10,0.00,-0.41,-2.31
-0.05,0.13,0.17,0.11,0.09,0.03,-0.04,288.30,29.11,0.00,-0.42,-2.52
-0.06,0.11,0.17,0.10,0.10,0.06,-0.03,295.72,29.11,0.00,-0.46,-2.74
-0.07,0.10,0.16,0.10,0.11,0.07,-0.02,303.27,29.11,0.00,-0.54,-2.88
-0.07,0.09,0.14,0.08,0.11,0.08,-0.01,308.99,29.11,0.00,-0.65,-2.91
-0.06,0.10,0.13,0.07,0.10,0.08,0.01,311.98,29.10,0.00,-0.77,-2.83
-0.05,0.10,0.11,0.05,0.09,0.07,0.03,312.10,29.10,0.00,-0.84,-2.68
-0.05,0.12,0.11,0.03,0.07,0.06,0.04,309.84,29.10,0.00,-0.85,-2.50
