Model : ,40,,,,,,,,,,
Serial No : ,0001,,,,,,,,,,
Type : ,,,,,,,,,,,
Test Date : ,2024-08-08,,,,,,,,,,
Sampling Rate : ,100 Hz,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
-0.00,0.12,0.02,0.00,0.02,-0.01,0.02,300.30,30.33,0.00,-0.07,-2.53
-0.01,0.17,0.03,0.01,0.02,-0.01,0.01,295.79,30.32,0.00,0.07,-2.40
-0.01,0.21,0.05,0.03,0.03,-0.02,0.01,290.58,30.32,0.00,0.24,-2.33
-0.02,0.25,0.06,0.04,0.04,-0.01,0.00,285.56,30.32,0.00,0.41,-2.32
-0.02,0.29,0.07,0.06,0.05,-0.00,-0.00,282.02,30.32,0.00,0.53,-2.38
-0.02,0.31,0.07,0.07,0.06,0.01,0.00,281.92,30.32,0.00,0.53,-2.49
-0.03,0.32,0.06,0.08,0.07,0.03,0.00,286.15,30.32,0.00,0.38,-2.65
-0.03,0.32,0.05,0.08,0.08,0.04,0.01,293.27,30.32,0.00,0.11,-2.82
-0.04,0.31,0.03,0.07,0.09,0.06,0.02,300.76,30.33,0.00,-0.20,-2.93
-0.04,0.30,0.01,0.05,0.09,0.06,0.03,306.70,30.33,0.00,-0.50,-2.93
-0.04,0.28,-0.00,0.04,0.09,0.06,0.04,310.17,30.33,0.00,-0.73,-2.83
-0.04,0.27,-0.01,0.02,0.08,0.06,0.05,311.03,30.33,0.00,-0.88,-2.67
-0.04,0.26,-0.01,0.01,0.07,0.05,0.05,309.79,30.33,0.00,-0.95,-2.50
-0.03,0.25,-0.01,0.00,0.05,0.04,0.04,307.46,30.33,0.00,-0.96,-2.35
-0.03,0.25,0.00,0.00,0.04,0.02,0.02,305.07,30.33,0.00,-0.94,-2.25
-0.03,0.25,0.02,0.00,0.03,0.01,0.00,303.31,30.33,0.00,-0.91,-2.22
-0.03,0.25,0.03,0.02,0.03,-0.01,-0.01,302.39,30.32,0.00,-0.89,-2.26
-0.03,0.24,0.05,0.03,0.03,-0.02,-0.02,302.20,30.32,0.00,-0.90,-2.36
-0.03,0.23,0.05,0.05,0.04,-0.01,-0.02,302.49,30.32,0.00,-0.96,-2.54
-0.04,0.20,0.06,0.07,0.05,-0.01,-0.02,302.58,30.31,0.00,-1.02,-2.74
-0.04,0.16,0.06,0.09,0.06,0.01,-0.01,301.19,30.31,0.00,-1.01,-2.89
-0.05,0.12,0.05,0.09,0.07,0.03,0.01,297.55,30.31,0.00,-0.86,-2.95
-0.06,0.08,0.04,0.09,0.08,0.04,0.02,292.67,30.31,0.00,-0.62,-2.91
-0.07,0.05,0.03,0.07,0.08,0.06,0.03,288.66,30.31,0.00,-0.44,-2.79
-0.07,0.02,0.01,0.05,0.08,0.06,0.04,287.04,30.31,0.00,-0.40,-2.63
-0.07,0.00,0.00,0.03,0.08,0.06,0.04,288.17,30.32,0.00,-0.51,-2.47
-0.07,-0.00,-0.01,0.02,0.07,0.06,0.04,292.02,30.32,0.00,-0.69,-2.35
-0.06,-0.01,-0.01,0.01,0.06,0.05,0.04,298.09,30.32,0.00,-0.88,-2.27
-0.05,-0.00,-0.01,-0.00,0.05,0.03,0.03,304.72,30.33,0.00,-1.02,-2.26
-0.05,0.01,0.00,-0.00,0.04,0.02,0.02,309.78,30.33,0.00,-1.08,-2.31
-0.05,0.03,0.02,0.00,0.04,0.01,0.01,312.05,30.33,0.00,-1.07,-2.41
-0.05,0.05,0.03,0.01,0.04,-0.01,-0.00,311.65,30.33,0.00,-1.02,-2.53
-0.06,0.06,0.05,0.03,0.05,-0.02,-0.01,309.46,30.33,0.00,-0.95,-2.66
-0.06,0.06,0.06,0.05,0.06,-0.02,-0.02,306.47,30.33,0.00,-0.90,-2.78
-0.06,0.06,0.07,0.06,0.07,-0.02,-0.02,303.64,30.33,0.00,-0.85,-2.87
-0.07,0.04,0.07,0.08,0.08,-0.01,-0.02,301.57,30.33,0.00,-0.78,-2.89
-0.07,0.02,0.06,0.08,0.09,0.00,-0.02,300.46,30.33,0.00,-0.65,-2.85
-0.08,-0.00,0.05,0.08,0.09,0.02,-0.01,300.02,30.33,0.00,-0.50,-2.76
-0.08,-0.02,0.04,0.07,0.09,0.03,-0.00,299.52,30.33,0.00,-0.37,-2.64
-0.09,-0.03,0.02,0.05,0.09,0.05,0.01,298.41,30.33,0.00,-0.30,-2.52
-0.09,-0.03,0.01,0.03,0.08,0.05,0.03,296.57,30.33,0.00,-0.29,-2.42
-0.09,-0.03,0.00,0.01,0.07,0.05,0.04,293.94,30.33,0.00,-0.33,-2.39
-0.09,-0.01,0.00,0.00,0.06,0.05,0.04,290.60,30.34,0.00,-0.38,-2.43
-0.08,0.01,0.01,-0.00,0.05,0.04,0.03,287.56,30.34,0.00,-0.42,-2.53
-0.08,0.04,0.02,-0.00,0.04,0.02,0.02,286.75,30.34,0.00,-0.41,-2.66
-0.07,0.07,0.03,0.00,0.03,0.01,0.01,289.31,30.34,0.00,-0.32,-2.82
-0.07,0.09,0.04,0.01,0.03,-0.01,-0.01,294.52,30.34,0.00,-0.17,-2.96
-0.07,0.11,0.04,0.03,0.03,-0.01,-0.02,300.97,30.34,0.00,0.00,-3.01
-0.08,0.12,0.05,0.04,0.04,-0.01,-0.03,307.37,30.34,0.00,0.17,-2.96
-0.09,0.12,0.05,0.06,0.05,-0.01,-0.03,312.36,30.34,0.00,0.29,-2.83
-0.10,0.12,0.05,0.08,0.06,0.01,-0.03,314.52,30.34,0.00,0.33,-2.65
-0.11,0.10,0.05,0.08,0.07,0.02,-0.02,313.36,30.34,0.00,0.26,-2.48
