Model : ,03,,,,,,,,,,
Serial No : ,0001,,,,,,,,,,
Type : ,,,,,,,,,,,
Test Date : ,2024-08-06,,,,,,,,,,
Sampling Rate : ,100 Hz,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
-0.03,-0.01,0.17,0.08,0.09,0.02,-0.02,-0.02,28.65,0.00,0.38,-2.42
-0.04,-0.04,0.16,0.08,0.11,0.03,-0.01,-0.02,28.65,0.00,0.35,-2.58
-0.04,-0.07,0.15,0.08,0.12,0.05,0.00,-0.03,28.65,0.00,0.28,-2.69
-0.05,-0.10,0.13,0.07,0.12,0.07,0.02,-0.03,28.65,0.00,0.17,-2.74
-0.05,-0.13,0.11,0.06,0.12,0.08,0.03,-0.03,28.65,0.00,0.06,-2.71
-0.04,-0.14,0.10,0.04,0.11,0.09,0.03,-0.03,28.65,0.00,-0.03,-2.62
-0.04,-0.14,0.09,0.02,0.09,0.09,0.04,-0.03,28.65,0.00,-0.06,-2.49
-0.03,-0.13,0.09,0.01,0.07,0.08,0.03,-0.03,28.65,0.00,-0.03,-2.34
-0.02,-0.11,0.10,-0.00,0.06,0.06,0.03,-0.03,28.65,0.00,0.03,-2.21
-0.02,-0.08,0.11,-0.00,0.04,0.04,0.02,-0.03,28.65,0.00,0.09,-2.14
-0.01,-0.04,0.12,0.01,0.04,0.01,0.01,-0.03,28.65,0.00,0.15,-2.12
-0.01,-0.02,0.13,0.02,0.04,-0.01,-0.00,-0.03,28.65,0.00,0.21,-2.17
-0.01,-0.00,0.15,0.04,0.04,-0.02,-0.02,-0.04,28.65,0.00,0.28,-2.28
-0.01,0.00,0.16,0.06,0.04,-0.01,-0.03,-0.05,28.65,0.00,0.33,-2.42
-0.02,-0.00,0.16,0.07,0.05,-0.00,-0.03,-0.05,28.65,0.00,0.30,-2.54
-0.03,-0.02,0.16,0.08,0.07,0.02,-0.03,-0.05,28.65,0.00,0.17,-2.60
-0.04,-0.04,0.16,0.08,0.08,0.03,-0.03,-0.05,28.65,0.00,-0.03,-2.60
