Model : ,21,,,,,,,,,,
Serial No : ,0001,,,,,,,,,,
Type : ,,,,,,,,,,,
Test Date : ,2024-08-07,,,,,,,,,,
Sampling Rate : ,100 Hz,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
-0.03,-0.07,-0.01,0.03,0.04,0.04,0.00,309.66,32.30,0.00,-0.91,-2.16
-0.03,-0.06,0.00,0.04,0.05,0.02,-0.01,306.92,32.30,0.00,-0.69,-2.06
-0.03,-0.04,0.01,0.05,0.05,0.02,-0.02,304.27,32.30,0.00,-0.45,-2.03
-0.03,-0.03,0.02,0.07,0.06,0.01,-0.03,302.34,32.30,0.00,-0.29,-2.06
-0.03,-0.03,0.03,0.09,0.07,0.02,-0.03,301.31,32.29,0.00,-0.21,-2.13
-0.04,-0.03,0.03,0.10,0.07,0.03,-0.03,301.04,32.29,0.00,-0.16,-2.24
-0.04,-0.04,0.02,0.11,0.08,0.04,-0.02,301.26,32.28,0.00,-0.07,-2.41
-0.05,-0.05,0.01,0.10,0.09,0.06,-0.01,301.31,32.27,0.00,0.04,-2.57
-0.05,-0.06,0.01,0.09,0.10,0.07,-0.00,299.97,32.26,0.00,0.06,-2.68
-0.05,-0.06,-0.01,0.08,0.10,0.08,0.01,296.53,32.25,0.00,-0.08,-2.69
-0.05,-0.07,-0.02,0.06,0.09,0.08,0.02,291.99,32.24,0.00,-0.35,-2.62
-0.05,-0.07,-0.02,0.05,0.08,0.07,0.03,288.60,32.24,0.00,-0.66,-2.50
-0.04,-0.06,-0.02,0.04,0.07,0.06,0.03,287.92,32.24,0.00,-0.93,-2.37
-0.04,-0.05,-0.02,0.03,0.06,0.05,0.03,290.09,32.24,0.00,-1.12,-2.27
-0.04,-0.02,-0.01,0.03,0.05,0.03,0.02,294.71,32.24,0.00,-1.15,-2.21
-0.03,0.02,-0.00,0.03,0.05,0.02,0.01,301.03,32.24,0.00,-1.03,-2.20
-0.03,0.07,0.00,0.04,0.05,0.01,-0.00,307.38,32.24,0.00,-0.82,-2.25
-0.02,0.11,0.01,0.05,0.06,-0.00,-0.01,311.70,32.24,0.00,-0.61,-2.35
-0.02,0.15,0.01,0.07,0.07,0.00,-0.02,312.90,32.25,0.00,-0.48,-2.51
-0.02,0.19,0.02,0.08,0.07,0.01,-0.02,311.36,32.25,0.00,-0.44,-2.68
-0.02,0.22,0.02,0.10,0.08,0.02,-0.02,308.20,32.24,0.00,-0.46,-2.79
-0.03,0.24,0.02,0.10,0.09,0.04,-0.02,304.57,32.24,0.00,-0.48,-2.81
-0.04,0.26,0.01,0.10,0.09,0.05,-0.01,301.43,32.24,0.00,-0.50,-2.73
-0.04,0.27,0.01,0.09,0.10,0.05,0.00,299.43,32.24,0.00,-0.53,-2.60
-0.05,0.27,-0.01,0.08,0.10,0.06,0.01,298.72,32.24,0.00,-0.60,-2.43
-0.05,0.27,-0.02,0.07,0.09,0.06,0.02,298.83,32.25,0.00,-0.68,-2.27
-0.04,0.27,-0.03,0.06,0.08,0.06,0.03,298.79,32.25,0.00,-0.70,-2.15
-0.04,0.27,-0.03,0.04,0.07,0.06,0.03,297.89,32.25,0.00,-0.60,-2.09
-0.03,0.27,-0.03,0.03,0.06,0.05,0.03,296.04,32.25,0.00,-0.41,-2.09
-0.02,0.27,-0.02,0.03,0.05,0.05,0.02,293.38,32.25,0.00,-0.18,-2.16
-0.02,0.28,-0.01,0.03,0.04,0.04,0.01,290.13,32.25,0.00,0.04,-2.29
-0.02,0.29,0.00,0.04,0.05,0.03,-0.01,287.34,32.25,0.00,0.22,-2.45
-0.02,0.29,0.01,0.05,0.05,0.03,-0.02,286.88,32.25,0.00,0.32,-2.60
-0.03,0.28,0.02,0.07,0.06,0.03,-0.02,289.81,32.25,0.00,0.34,-2.71
-0.04,0.25,0.02,0.09,0.07,0.04,-0.02,295.33,32.26,0.00,0.32,-2.75
-0.04,0.22,0.02,0.10,0.08,0.05,-0.01,301.90,32.26,0.00,0.31,-2.72
-0.05,0.18,0.01,0.10,0.09,0.05,-0.00,308.17,32.26,0.00,0.35,-2.62
-0.06,0.14,0.00,0.10,0.10,0.06,0.01,312.82,32.26,0.00,0.42,-2.50
-0.06,0.09,-0.01,0.09,0.10,0.06,0.02,314.51,32.25,0.00,0.43,-2.36
-0.06,0.05,-0.02,0.07,0.10,0.06,0.03,312.83,32.25,0.00,0.30,-2.25
-0.07,0.02,-0.03,0.05,0.09,0.05,0.04,308.88,32.26,0.00,0.08,-2.18
-0.07,-0.01,-0.04,0.04,0.08,0.05,0.05,304.46,32.26,0.00,-0.14,-2.18
-0.07,-0.02,-0.04,0.03,0.07,0.04,0.04,300.95,32.26,0.00,-0.30,-2.25
-0.07,-0.02,-0.04,0.02,0.06,0.03,0.04,298.98,32.27,0.00,-0.37,-2.37
-0.07,-0.01,-0.04,0.02,0.05,0.02,0.02,298.59,32.26,0.00,-0.34,-2.50
-0.06,0.01,-0.03,0.02,0.05,0.00,0.01,299.42,32.26,0.00,-0.24,-2.62
-0.06,0.03,-0.02,0.03,0.05,-0.01,-0.00,300.58,32.26,0.00,-0.11,-2.69
-0.06,0.05,-0.00,0.05,0.05,-0.01,-0.01,300.71,32.25,0.00,-0.00,-2.69
-0.07,0.06,0.01,0.06,0.06,-0.01,-0.02,298.98,32.25,0.00,0.08,-2.61
-0.07,0.06,0.02,0.08,0.06,-0.00,-0.02,295.76,32.25,0.00,0.12,-2.46
-0.07,0.05,0.02,0.09,0.07,0.01,-0.02,291.90,32.25,0.00,0.16,-2.31
-0.08,0.03,0.02,0.10,0.08,0.02,-0.01,288.19,32.26,0.00,0.20,-2.18
-0.09,0.01,0.01,0.10,0.09,0.03,-0.01,285.70,32.26,0.00,0.25,-2.09
-0.10,-0.01,0.01,0.09,0.09,0.04,0.00,286.06,32.26,0.00,0.27,-2.07
-0.10,-0.02,-0.00,0.08,0.10,0.05,0.01,290.02,32.26,0.00,0.24,-2.12
-0.09,-0.02,-0.01,0.07,0.10,0.06,0.02,296.26,32.26,0.00,0.15,-2.21
-0.09,-0.01,-0.02,0.06,0.09,0.06,0.02,302.42,32.26,0.00,-0.02,-2.34
-0.08,0.01,-0.02,0.05,0.08,0.06,0.02,306.73,32.26,0.00,-0.27,-2.50
-0.07,0.04,-0.02,0.04,0.07,0.04,0.01,308.57,32.26,0.00,-0.56,-2.64
-0.07,0.08,-0.01,0.03,0.06,0.03,0.00,308.05,32.26,0.00,-0.79,-2.71
-0.07,0.12,-0.00,0.04,0.06,0.01,-0.01,305.77,32.26,0.00,-0.91,-2.68
-0.07,0.17,0.01,0.05,0.06,-0.01,-0.02,302.88,32.26,0.00,-0.92,-2.55
-0.07,0.22,0.01,0.06,0.06,-0.02,-0.03,300.67,32.26,0.00,-0.83,-2.38
-0.07,0.26,0.02,0.07,0.06,-0.02,-0.03,299.92,32.25,0.00,-0.66,-2.19
-0.07,0.28,0.02,0.09,0.06,-0.01,-0.02,300.54,32.25,0.00,-0.48,-2.03
-0.08,0.29,0.02,0.09,0.06,0.00,-0.01,302.03,32.25,0.00,-0.38,-1.94
-0.08,0.29,0.02,0.09,0.06,0.02,-0.01,303.82,32.25,0.00,-0.41,-1.94
-0.08,0.28,0.01,0.09,0.07,0.05,-0.00,304.99,32.26,0.00,-0.54,-2.01
-0.08,0.28,0.01,0.08,0.07,0.06,0.01,304.10,32.26,0.00,-0.67,-2.13
-0.08,0.28,-0.00,0.07,0.07,0.07,0.02,300.37,32.26,0.00,-0.74,-2.30
-0.08,0.28,-0.02,0.05,0.07,0.08,0.03,295.01,32.25,0.00,-0.74,-2.46
-0.08,0.28,-0.02,0.04,0.07,0.08,0.04,290.44,32.25,0.00,-0.70,-2.58
-0.08,0.28,-0.02,0.04,0.06,0.07,0.04,288.40,32.25,0.00,-0.67,-2.61
-0.07,0.27,-0.02,0.04,0.05,0.06,0.03,289.23,32.25,0.00,-0.66,-2.58
-0.07,0.27,-0.01,0.04,0.05,0.04,0.02,292.61,32.25,0.00,-0.65,-2.48
-0.07,0.26,0.00,0.04,0.05,0.03,0.01,297.80,32.25,0.00,-0.60,-2.34
-0.08,0.26,0.01,0.05,0.06,0.01,-0.00,303.30,32.26,0.00,-0.52,-2.19
-0.08,0.26,0.02,0.06,0.07,0.01,-0.01,307.39,32.26,0.00,-0.46,-2.08
-0.08,0.25,0.02,0.07,0.07,0.01,-0.02,309.17,32.26,0.00,-0.43,-2.03
-0.08,0.24,0.02,0.09,0.08,0.01,-0.02,308.80,32.25,0.00,-0.44,-2.04
-0.08,0.22,0.02,0.10,0.09,0.03,-0.02,307.05,32.25,0.00,-0.45,-2.12
-0.08,0.20,0.01,0.10,0.10,0.04,-0.02,304.77,32.25,0.00,-0.45,-2.24
-0.08,0.16,0.01,0.10,0.10,0.06,-0.01,302.74,32.24,0.00,-0.44,-2.38
-0.09,0.13,0.00,0.09,0.10,0.07,-0.00,301.62,32.24,0.00,-0.48,-2.51
-0.09,0.11,-0.00,0.08,0.10,0.07,0.01,301.64,32.24,0.00,-0.61,-2.59
-0.08,0.10,-0.01,0.06,0.10,0.07,0.03,302.27,32.25,0.00,-0.76,-2.63
-0.08,0.09,-0.02,0.05,0.09,0.07,0.04,302.33,32.25,0.00,-0.80,-2.60
-0.07,0.09,-0.02,0.04,0.07,0.05,0.05,300.99,32.25,0.00,-0.62,-2.50
-0.06,0.09,-0.02,0.03,0.06,0.04,0.05,298.25,32.26,0.00,-0.28,-2.36
-0.05,0.10,-0.01,0.03,0.05,0.02,0.04,294.37,32.26,0.00,0.10,-2.24
-0.05,0.11,0.00,0.03,0.04,0.01,0.03,289.72,32.26,0.00,0.39,-2.17
-0.04,0.13,0.01,0.04,0.05,-0.00,0.01,285.61,32.26,0.00,0.54,-2.15
-0.05,0.15,0.02,0.06,0.05,-0.01,-0.01,284.21,32.26,0.00,0.56,-2.20
-0.05,0.16,0.03,0.07,0.06,-0.00,-0.02,286.71,32.27,0.00,0.48,-2.30
-0.05,0.18,0.03,0.09,0.07,0.01,-0.03,292.26,32.27,0.00,0.36,-2.43
-0.05,0.18,0.04,0.10,0.08,0.03,-0.03,299.13,32.27,0.00,0.26,-2.56
-0.06,0.18,0.03,0.10,0.09,0.05,-0.02,305.81,32.26,0.00,0.22,-2.67
-0.06,0.18,0.03,0.10,0.09,0.06,-0.01,310.94,32.25,0.00,0.23,-2.75
-0.07,0.18,0.02,0.09,0.09,0.07,0.00,313.39,32.25,0.00,0.23,-2.76
-0.07,0.17,0.01,0.08,0.09,0.07,0.01,312.91,32.25,0.00,0.16,-2.70
-0.07,0.16,0.00,0.06,0.08,0.07,0.03,310.38,32.26,0.00,0.04,-2.57
-0.06,0.15,0.00,0.05,0.07,0.06,0.04,307.15,32.27,0.00,-0.09,-2.42
-0.06,0.15,0.00,0.04,0.06,0.05,0.04,304.26,32.27,0.00,-0.17,-2.27
-0.05,0.15,0.01,0.04,0.06,0.04,0.04,302.30,32.27,0.00,-0.20,-2.15
-0.04,0.16,0.02,0.05,0.05,0.03,0.03,301.39,32.27,0.00,-0.19,-2.09
-0.04,0.17,0.03,0.05,0.06,0.02,0.01,301.33,32.27,0.00,-0.17,-2.09
-0.04,0.18,0.05,0.07,0.06,0.00,-0.01,301.44,32.26,0.00,-0.15,-2.16
-0.04,0.18,0.06,0.08,0.07,-0.01,-0.02,300.45,32.26,0.00,-0.13,-2.28
-0.04,0.18,0.07,0.09,0.07,-0.01,-0.03,297.60,32.26,0.00,-0.12,-2.45
-0.05,0.17,0.07,0.10,0.08,-0.00,-0.03,293.34,32.26,0.00,-0.11,-2.61
-0.06,0.15,0.07,0.10,0.08,0.02,-0.02,288.64,32.27,0.00,-0.12,-2.72
-0.07,0.13,0.07,0.10,0.09,0.04,-0.01,284.30,32.27,0.00,-0.15,-2.74
-0.08,0.10,0.07,0.09,0.09,0.06,0.00,281.55,32.27,0.00,-0.19,-2.68
-0.08,0.08,0.06,0.08,0.10,0.08,0.01,282.33,32.27,0.00,-0.17,-2.55
-0.08,0.06,0.04,0.07,0.10,0.09,0.02,287.57,32.27,0.00,-0.07,-2.38
-0.08,0.05,0.02,0.05,0.09,0.09,0.03,295.63,32.26,0.00,0.08,-2.22
-0.07,0.05,0.01,0.04,0.08,0.08,0.03,303.62,32.26,0.00,0.13,-2.10
-0.06,0.06,0.00,0.03,0.07,0.07,0.03,309.38,32.26,0.00,0.01,-2.04
-0.05,0.08,-0.00,0.03,0.06,0.06,0.02,312.11,32.26,0.00,-0.24,-2.05
-0.04,0.10,0.00,0.03,0.05,0.04,0.01,311.92,32.26,0.00,-0.50,-2.14
-0.04,0.13,0.02,0.04,0.04,0.03,-0.00,309.58,32.27,0.00,-0.67,-2.30
-0.04,0.16,0.04,0.05,0.04,0.02,-0.02,306.29,32.27,0.00,-0.70,-2.48
-0.05,0.18,0.05,0.07,0.04,0.01,-0.02,303.20,32.26,0.00,-0.57,-2.61
-0.05,0.19,0.06,0.09,0.05,0.01,-0.03,300.97,32.26,0.00,-0.30,-2.64
-0.06,0.18,0.07,0.10,0.06,0.01,-0.02,299.79,32.26,0.00,0.01,-2.58
-0.06,0.16,0.06,0.10,0.07,0.02,-0.02,299.49,32.26,0.00,0.20,-2.45
-0.06,0.14,0.06,0.10,0.08,0.03,-0.02,299.73,32.26,0.00,0.16,-2.30
-0.06,0.12,0.05,0.09,0.09,0.04,-0.01,299.87,32.26,0.00,-0.06,-2.16
-0.06,0.11,0.03,0.08,0.09,0.05,-0.01,298.81,32.26,0.00,-0.33,-2.06
-0.06,0.11,0.02,0.07,0.09,0.06,0.00,295.93,32.26,0.00,-0.56,-2.01
-0.06,0.11,0.01,0.05,0.09,0.06,0.01,292.11,32.25,0.00,-0.68,-2.02
-0.06,0.13,0.00,0.04,0.08,0.06,0.02,289.38,32.25,0.00,-0.73,-2.08
-0.05,0.14,0.01,0.03,0.06,0.05,0.02,289.16,32.25,0.00,-0.74,-2.20
-0.05,0.15,0.02,0.02,0.05,0.05,0.01,291.53,32.25,0.00,-0.73,-2.34
-0.04,0.17,0.03,0.02,0.04,0.04,0.00,296.10,32.25,0.00,-0.71,-2.48
-0.04,0.18,0.04,0.03,0.04,0.03,-0.01,302.17,32.25,0.00,-0.67,-2.58
-0.05,0.20,0.05,0.04,0.04,0.02,-0.02,308.17,32.26,0.00,-0.63,-2.64
-0.05,0.20,0.05,0.05,0.05,0.01,-0.03,312.07,32.26,0.00,-0.57,-2.63
-0.06,0.20,0.06,0.07,0.06,0.01,-0.03,312.80,32.26,0.00,-0.50,-2.53
-0.06,0.19,0.07,0.09,0.07,0.02,-0.03,310.81,32.25,0.00,-0.44,-2.38
-0.06,0.18,0.07,0.10,0.08,0.03,-0.02,307.28,32.25,0.00,-0.40,-2.22
-0.06,0.16,0.07,0.10,0.10,0.04,-0.01,303.36,32.24,0.00,-0.38,-2.09
-0.07,0.14,0.06,0.10,0.11,0.06,-0.00,300.09,32.24,0.00,-0.39,-2.01
-0.08,0.13,0.06,0.09,0.12,0.07,0.01,298.17,32.23,0.00,-0.45,-2.00
-0.08,0.12,0.04,0.08,0.12,0.08,0.02,297.80,32.23,0.00,-0.58,-2.08
-0.08,0.13,0.03,0.07,0.11,0.08,0.03,298.39,32.22,0.00,-0.70,-2.21
-0.08,0.14,0.02,0.05,0.10,0.07,0.04,298.87,32.22,0.00,-0.71,-2.35
-0.07,0.15,0.02,0.04,0.08,0.07,0.04,298.41,32.21,0.00,-0.54,-2.50
-0.06,0.16,0.03,0.03,0.06,0.06,0.04,296.89,32.22,0.00,-0.23,-2.62
-0.05,0.17,0.04,0.03,0.05,0.05,0.03,294.42,32.22,0.00,0.06,-2.67
-0.05,0.18,0.05,0.03,0.04,0.04,0.02,291.28,32.22,0.00,0.21,-2.63
-0.04,0.19,0.06,0.04,0.04,0.02,0.01,288.51,32.22,0.00,0.22,-2.53
-0.04,0.19,0.07,0.05,0.05,0.01,-0.01,287.86,32.21,0.00,0.15,-2.40
-0.05,0.19,0.07,0.07,0.06,0.01,-0.01,290.33,32.21,0.00,0.10,-2.28
-0.05,0.18,0.07,0.09,0.07,0.02,-0.02,295.22,32.21,0.00,0.09,-2.20
-0.06,0.17,0.07,0.10,0.08,0.03,-0.01,301.10,32.21,0.00,0.14,-2.16
-0.07,0.15,0.07,0.10,0.09,0.05,-0.01,306.73,32.21,0.00,0.24,-2.19
-0.07,0.14,0.06,0.10,0.10,0.07,0.00,310.93,32.21,0.00,0.33,-2.26
-0.07,0.12,0.05,0.09,0.10,0.08,0.01,312.51,32.21,0.00,0.34,-2.38
-0.08,0.12,0.04,0.07,0.10,0.09,0.02,311.14,32.21,0.00,0.22,-2.52
-0.08,0.12,0.03,0.05,0.10,0.09,0.03,307.79,32.21,0.00,-0.01,-2.65
-0.09,0.12,0.03,0.04,0.09,0.08,0.04,304.07,32.22,0.00,-0.29,-2.73
-0.08,0.13,0.03,0.03,0.08,0.07,0.04,301.23,32.22,0.00,-0.55,-2.72
-0.08,0.13,0.04,0.02,0.07,0.06,0.03,299.78,32.23,0.00,-0.75,-2.63
-0.07,0.13,0.05,0.02,0.05,0.05,0.02,299.74,32.23,0.00,-0.78,-2.50
-0.06,0.14,0.06,0.03,0.05,0.03,0.01,300.78,32.23,0.00,-0.59,-2.35
-0.05,0.15,0.07,0.04,0.05,0.02,0.00,302.00,32.22,0.00,-0.26,-2.23
-0.05,0.15,0.08,0.05,0.05,0.01,-0.00,301.99,32.22,0.00,0.12,-2.14
-0.05,0.14,0.09,0.07,0.06,0.01,-0.01,299.88,32.22,0.00,0.48,-2.11
-0.06,0.13,0.10,0.08,0.07,0.02,-0.02,296.11,32.22,0.00,0.74,-2.13
-0.07,0.11,0.10,0.09,0.08,0.03,-0.02,291.69,32.22,0.00,0.83,-2.21
-0.08,0.09,0.10,0.10,0.09,0.04,-0.01,287.47,32.22,0.00,0.72,-2.35
-0.08,0.07,0.10,0.09,0.10,0.05,-0.00,284.62,32.22,0.00,0.50,-2.52
-0.08,0.05,0.09,0.08,0.10,0.06,0.01,284.80,32.22,0.00,0.26,-2.64
-0.08,0.04,0.09,0.07,0.10,0.06,0.03,288.76,32.21,0.00,0.11,-2.68
-0.08,0.03,0.08,0.05,0.09,0.06,0.04,295.15,32.21,0.00,0.03,-2.65
-0.08,0.03,0.07,0.04,0.08,0.06,0.05,301.59,32.21,0.00,-0.07,-2.55
-0.07,0.04,0.08,0.03,0.07,0.05,0.06,306.31,32.21,0.00,-0.27,-2.41
-0.06,0.05,0.08,0.03,0.05,0.04,0.05,308.61,32.22,0.00,-0.54,-2.27
-0.05,0.06,0.10,0.03,0.04,0.03,0.04,308.57,32.22,0.00,-0.74,-2.16
-0.05,0.07,0.12,0.04,0.04,0.02,0.03,306.78,32.22,0.00,-0.78,-2.09
-0.05,0.08,0.15,0.05,0.04,0.00,0.01,304.30,32.22,0.00,-0.67,-2.07
-0.06,0.09,0.18,0.06,0.05,-0.00,-0.01,302.27,32.21,0.00,-0.48,-2.11
-0.06,0.09,0.20,0.08,0.06,-0.00,-0.01,301.35,32.21,0.00,-0.27,-2.21
-0.07,0.09,0.21,0.10,0.07,0.00,-0.01,301.56,32.20,0.00,-0.11,-2.34
-0.07,0.08,0.22,0.11,0.08,0.02,-0.01,302.52,32.20,0.00,-0.07,-2.46
-0.07,0.07,0.22,0.12,0.09,0.04,-0.00,303.79,32.20,0.00,-0.18,-2.54
-0.07,0.05,0.22,0.11,0.09,0.07,0.00,304.61,32.21,0.00,-0.38,-2.58
-0.07,0.04,0.21,0.09,0.09,0.09,0.01,303.75,32.21,0.00,-0.60,-2.56
-0.07,0.03,0.21,0.07,0.09,0.09,0.01,300.53,32.21,0.00,-0.77,-2.48
-0.07,0.03,0.20,0.06,0.09,0.09,0.02,295.95,32.21,0.00,-0.88,-2.38
-0.07,0.04,0.20,0.05,0.08,0.08,0.02,292.06,32.21,0.00,-0.93,-2.26
-0.06,0.04,0.20,0.04,0.07,0.06,0.02,290.30,32.21,0.00,-0.96,-2.16
-0.05,0.05,0.21,0.04,0.06,0.05,0.02,291.02,32.21,0.00,-0.96,-2.09
-0.05,0.06,0.22,0.04,0.05,0.03,0.01,294.06,32.21,0.00,-0.90,-2.07
-0.05,0.07,0.23,0.05,0.04,0.02,0.00,298.88,32.21,0.00,-0.75,-2.12
-0.05,0.09,0.25,0.06,0.04,0.02,-0.00,304.10,32.21,0.00,-0.54,-2.22
-0.05,0.10,0.26,0.07,0.04,0.02,-0.01,308.05,32.20,0.00,-0.38,-2.37
-0.06,0.11,0.26,0.08,0.05,0.02,-0.01,309.78,32.20,0.00,-0.31,-2.53
-0.06,0.10,0.26,0.09,0.06,0.03,-0.00,309.44,32.20,0.00,-0.34,-2.69
-0.06,0.09,0.26,0.10,0.07,0.04,0.01,307.75,32.20,0.00,-0.39,-2.76
-0.07,0.07,0.25,0.11,0.08,0.05,0.01,305.52,32.20,0.00,-0.40,-2.72
-0.08,0.06,0.25,0.11,0.08,0.07,0.02,303.50,32.20,0.00,-0.38,-2.58
-0.08,0.04,0.24,0.11,0.09,0.08,0.03,302.22,32.20,0.00,-0.38,-2.40
-0.08,0.03,0.22,0.09,0.09,0.09,0.04,301.88,32.20,0.00,-0.48,-2.22
-0.08,0.03,0.21,0.08,0.09,0.09,0.05,302.27,32.21,0.00,-0.62,-2.08
