Model : ,40,,,,,,,,,,
Serial No : ,0001,,,,,,,,,,
Type : ,,,,,,,,,,,
Test Date : ,2024-08-08,,,,,,,,,,
Sampling Rate : ,100 Hz,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
-0.07,-0.05,0.03,-0.00,0.06,0.02,0.05,306.64,30.32,0.00,-0.60,-2.32
-0.07,-0.03,0.04,0.00,0.05,0.00,0.04,307.24,30.31,0.00,-0.67,-2.36
-0.07,-0.00,0.05,0.01,0.05,-0.01,0.03,306.06,30.31,0.00,-0.72,-2.47
-0.07,0.02,0.06,0.03,0.05,-0.02,0.02,303.80,30.32,0.00,-0.66,-2.64
-0.07,0.03,0.07,0.04,0.06,-0.02,0.01,301.45,30.32,0.00,-0.51,-2.82
-0.07,0.03,0.07,0.05,0.07,-0.01,0.00,300.07,30.33,0.00,-0.35,-2.95
-0.07,0.03,0.07,0.07,0.08,0.00,-0.00,300.22,30.33,0.00,-0.28,-3.00
-0.08,0.01,0.07,0.07,0.09,0.02,0.01,301.53,30.33,0.00,-0.30,-2.95
-0.08,-0.01,0.06,0.07,0.09,0.03,0.02,303.00,30.33,0.00,-0.40,-2.83
-0.09,-0.03,0.04,0.07,0.09,0.05,0.03,303.85,30.33,0.00,-0.52,-2.67
-0.09,-0.06,0.03,0.06,0.08,0.06,0.05,303.52,30.33,0.00,-0.64,-2.52
-0.09,-0.08,0.03,0.04,0.07,0.07,0.06,301.28,30.33,0.00,-0.72,-2.40
-0.09,-0.09,0.02,0.03,0.06,0.07,0.07,296.89,30.33,0.00,-0.74,-2.34
-0.09,-0.09,0.02,0.01,0.05,0.06,0.06,291.69,30.33,0.00,-0.72,-2.35
-0.08,-0.08,0.03,-0.00,0.05,0.04,0.06,288.09,30.33,0.00,-0.68,-2.42
-0.07,-0.05,0.04,-0.00,0.04,0.03,0.05,287.64,30.33,0.00,-0.64,-2.55
-0.07,-0.02,0.04,0.00,0.04,0.01,0.04,290.19,30.33,0.00,-0.59,-2.70
-0.06,0.00,0.05,0.01,0.04,-0.00,0.03,294.83,30.33,0.00,-0.47,-2.83
-0.06,0.03,0.06,0.03,0.04,-0.01,0.02,300.46,30.33,0.00,-0.25,-2.90
-0.06,0.04,0.08,0.05,0.05,-0.01,0.02,305.65,30.33,0.00,0.03,-2.90
-0.06,0.05,0.08,0.06,0.07,0.00,0.01,309.02,30.33,0.00,0.27,-2.82
-0.07,0.04,0.09,0.07,0.08,0.01,0.01,309.96,30.32,0.00,0.39,-2.68
-0.08,0.03,0.08,0.08,0.09,0.03,0.01,308.92,30.32,0.00,0.38,-2.51
-0.08,0.00,0.07,0.08,0.09,0.04,0.02,306.87,30.32,0.00,0.25,-2.36
-0.09,-0.02,0.06,0.07,0.09,0.05,0.03,304.72,30.31,0.00,0.02,-2.27
-0.09,-0.05,0.05,0.06,0.08,0.06,0.04,303.09,30.31,0.00,-0.24,-2.24
