Model : ,23,,,,,,,,,,
Serial No : ,0001,,,,,,,,,,
Type : ,,,,,,,,,,,
Test Date : ,2024-08-07,,,,,,,,,,
Sampling Rate : ,100 Hz,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
-0.07,-0.10,-0.01,0.02,0.06,0.05,0.05,299.83,32.30,0.00,-0.08,-2.69
-0.06,-0.09,-0.01,0.01,0.05,0.04,0.04,294.84,32.30,0.00,-0.17,-2.60
-0.05,-0.07,-0.00,0.02,0.04,0.02,0.03,290.30,32.30,0.00,-0.22,-2.47
-0.04,-0.05,0.01,0.02,0.04,0.01,0.02,287.74,32.30,0.00,-0.19,-2.32
-0.04,-0.02,0.02,0.04,0.04,-0.00,0.01,287.67,32.30,0.00,-0.09,-2.17
-0.05,-0.01,0.03,0.05,0.05,-0.00,0.00,290.30,32.30,0.00,-0.03,-2.08
-0.05,0.00,0.04,0.07,0.06,-0.00,0.00,295.27,32.30,0.00,-0.09,-2.08
-0.06,-0.00,0.04,0.08,0.07,0.00,0.00,301.11,32.30,0.00,-0.25,-2.16
-0.07,-0.02,0.04,0.10,0.08,0.01,0.01,305.95,32.29,0.00,-0.44,-2.30
-0.07,-0.04,0.04,0.10,0.09,0.03,0.02,308.66,32.29,0.00,-0.59,-2.47
-0.08,-0.06,0.03,0.10,0.09,0.05,0.03,309.16,32.29,0.00,-0.68,-2.63
-0.08,-0.09,0.03,0.09,0.09,0.06,0.04,308.05,32.29,0.00,-0.74,-2.72
-0.08,-0.10,0.02,0.07,0.09,0.07,0.04,306.08,32.29,0.00,-0.81,-2.71
-0.07,-0.11,0.01,0.06,0.08,0.07,0.05,304.07,32.29,0.00,-0.91,-2.61
-0.07,-0.11,-0.00,0.05,0.07,0.06,0.05,302.65,32.30,0.00,-1.05,-2.46
-0.06,-0.10,-0.01,0.04,0.06,0.04,0.05,302.11,32.30,0.00,-1.21,-2.31
-0.04,-0.09,-0.00,0.03,0.05,0.02,0.04,302.14,32.30,0.00,-1.36,-2.18
-0.03,-0.07,0.00,0.02,0.04,0.01,0.03,301.93,32.30,0.00,-1.43,-2.11
-0.03,-0.05,0.02,0.02,0.04,-0.01,0.02,300.86,32.30,0.00,-1.38,-2.09
-0.03,-0.02,0.03,0.02,0.04,-0.02,0.00,298.80,32.29,0.00,-1.23,-2.12
-0.03,-0.01,0.04,0.03,0.05,-0.03,-0.01,295.58,32.29,0.00,-1.03,-2.22
-0.04,0.00,0.04,0.05,0.06,-0.02,-0.01,291.26,32.29,0.00,-0.86,-2.37
-0.05,0.00,0.05,0.06,0.07,-0.01,-0.01,287.04,32.29,0.00,-0.72,-2.54
-0.06,-0.01,0.05,0.08,0.08,0.00,-0.01,285.11,32.29,0.00,-0.63,-2.66
-0.06,-0.04,0.04,0.08,0.09,0.02,-0.00,286.79,32.29,0.00,-0.57,-2.69
-0.07,-0.06,0.04,0.08,0.09,0.05,0.01,291.46,32.29,0.00,-0.54,-2.63
-0.07,-0.09,0.03,0.07,0.09,0.06,0.02,297.72,32.29,0.00,-0.57,-2.50
-0.07,-0.10,0.02,0.06,0.09,0.07,0.03,304.23,32.30,0.00,-0.67,-2.31
-0.07,-0.10,0.01,0.04,0.09,0.06,0.04,309.60,32.31,0.00,-0.79,-2.13
-0.08,-0.10,0.01,0.03,0.08,0.05,0.04,312.58,32.31,0.00,-0.85,-2.00
-0.07,-0.09,0.00,0.02,0.07,0.04,0.04,312.75,32.32,0.00,-0.79,-1.94
-0.06,-0.08,0.01,0.01,0.06,0.03,0.04,310.81,32.33,0.00,-0.62,-1.96
-0.05,-0.07,0.01,0.01,0.05,0.02,0.03,307.93,32.33,0.00,-0.39,-2.06
-0.05,-0.05,0.02,0.01,0.04,0.01,0.02,305.08,32.33,0.00,-0.14,-2.22
-0.05,-0.02,0.03,0.02,0.04,-0.00,0.00,302.90,32.33,0.00,0.09,-2.41
-0.05,-0.00,0.04,0.04,0.05,-0.01,-0.01,301.58,32.33,0.00,0.29,-2.58
-0.05,0.01,0.04,0.05,0.06,-0.01,-0.01,301.03,32.32,0.00,0.47,-2.68
-0.06,0.01,0.04,0.07,0.07,0.00,-0.01,300.71,32.32,0.00,0.62,-2.72
-0.06,0.01,0.04,0.08,0.08,0.01,-0.01,299.60,32.32,0.00,0.71,-2.67
-0.07,-0.01,0.03,0.09,0.09,0.03,-0.00,297.05,32.32,0.00,0.73,-2.55
-0.07,-0.04,0.03,0.09,0.10,0.05,0.01,293.37,32.32,0.00,0.68,-2.39
-0.07,-0.05,0.02,0.08,0.10,0.06,0.02,289.28,32.32,0.00,0.53,-2.24
-0.07,-0.05,0.01,0.06,0.10,0.06,0.03,285.37,32.32,0.00,0.27,-2.14
-0.07,-0.04,0.00,0.05,0.09,0.06,0.03,282.77,32.32,0.00,-0.03,-2.10
-0.06,-0.01,-0.00,0.03,0.08,0.05,0.04,283.38,32.32,0.00,-0.29,-2.13
-0.05,0.03,0.00,0.02,0.06,0.03,0.04,288.18,32.31,0.00,-0.43,-2.21
-0.04,0.07,0.01,0.02,0.05,0.02,0.03,295.71,32.31,0.00,-0.44,-2.32
-0.04,0.12,0.01,0.02,0.03,0.01,0.02,303.40,32.32,0.00,-0.34,-2.45
-0.04,0.18,0.02,0.03,0.03,-0.01,0.01,309.28,32.32,0.00,-0.15,-2.57
-0.04,0.23,0.03,0.04,0.03,-0.01,-0.00,312.43,32.32,0.00,0.08,-2.68
-0.05,0.28,0.04,0.05,0.03,-0.02,-0.01,312.66,32.32,0.00,0.31,-2.72
-0.05,0.31,0.04,0.07,0.04,-0.01,-0.01,310.45,32.32,0.00,0.53,-2.69
-0.05,0.32,0.04,0.08,0.05,-0.01,-0.01,306.98,32.32,0.00,0.69,-2.59
-0.05,0.33,0.03,0.09,0.06,0.01,-0.00,303.52,32.32,0.00,0.77,-2.45
-0.05,0.32,0.03,0.09,0.07,0.03,0.01,300.87,32.31,0.00,0.75,-2.28
-0.05,0.32,0.02,0.09,0.08,0.05,0.02,299.32,32.32,0.00,0.66,-2.13
-0.05,0.32,0.01,0.07,0.08,0.06,0.03,298.78,32.32,0.00,0.49,-2.06
-0.06,0.32,0.00,0.06,0.08,0.07,0.04,298.90,32.31,0.00,0.29,-2.07
-0.06,0.32,-0.01,0.04,0.09,0.07,0.05,299.07,32.31,0.00,0.07,-2.17
-0.06,0.33,-0.01,0.02,0.09,0.06,0.05,298.21,32.30,0.00,-0.15,-2.33
-0.06,0.32,-0.01,0.01,0.08,0.05,0.04,295.70,32.30,0.00,-0.36,-2.53
-0.06,0.31,-0.00,0.01,0.07,0.03,0.03,292.24,32.30,0.00,-0.53,-2.70
-0.05,0.29,0.01,0.01,0.06,0.02,0.01,289.45,32.30,0.00,-0.61,-2.79
-0.05,0.28,0.02,0.01,0.05,0.00,-0.01,288.50,32.30,0.00,-0.55,-2.73
-0.04,0.27,0.03,0.02,0.05,-0.00,-0.03,289.70,32.30,0.00,-0.42,-2.57
-0.04,0.26,0.03,0.03,0.05,-0.00,-0.04,293.20,32.30,0.00,-0.32,-2.36
-0.05,0.25,0.04,0.05,0.06,0.00,-0.04,298.72,32.31,0.00,-0.36,-2.16
