Model : ,30,,,,,,,,,,
Serial No : ,0001,,,,,,,,,,
Type : ,,,,,,,,,,,
Test Date : ,2024-08-07,,,,,,,,,,
Sampling Rate : ,100 Hz,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
-0.03,0.15,0.01,0.09,0.10,0.07,0.01,310.03,31.54,0.00,-0.39,-2.32
-0.03,0.17,-0.00,0.08,0.10,0.07,0.02,307.45,31.53,0.00,-0.41,-2.49
-0.02,0.19,-0.01,0.07,0.09,0.07,0.03,304.75,31.53,0.00,-0.47,-2.62
-0.02,0.20,-0.02,0.06,0.08,0.07,0.04,302.71,31.52,0.00,-0.48,-2.68
-0.01,0.22,-0.01,0.04,0.07,0.05,0.04,301.62,31.51,0.00,-0.42,-2.66
-0.01,0.25,-0.01,0.03,0.06,0.04,0.03,301.38,31.50,0.00,-0.35,-2.56
-0.01,0.28,-0.01,0.03,0.05,0.02,0.02,301.72,31.50,0.00,-0.33,-2.38
-0.01,0.32,0.00,0.04,0.05,0.00,0.01,302.01,31.49,0.00,-0.34,-2.17
-0.01,0.34,0.01,0.05,0.05,-0.01,-0.01,301.20,31.49,0.00,-0.37,-2.01
-0.01,0.36,0.01,0.06,0.06,-0.01,-0.02,298.64,31.49,0.00,-0.34,-1.92
-0.00,0.35,0.02,0.07,0.07,-0.01,-0.03,295.01,31.49,0.00,-0.29,-1.92
-0.00,0.33,0.02,0.08,0.08,0.00,-0.03,291.75,31.49,0.00,-0.26,-2.02
-0.00,0.30,0.03,0.09,0.09,0.02,-0.03,289.92,31.50,0.00,-0.29,-2.18
-0.01,0.26,0.03,0.10,0.10,0.03,-0.03,290.03,31.50,0.00,-0.37,-2.38
-0.01,0.22,0.02,0.10,0.10,0.05,-0.02,292.55,31.50,0.00,-0.46,-2.58
