Model : ,06,,,,,,,,,,
Serial No : ,0001,,,,,,,,,,
Type : ,,,,,,,,,,,
Test Date : ,2024-08-07,,,,,,,,,,
Sampling Rate : ,100 Hz,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
-0.04,-0.02,0.04,0.03,0.03,-0.01,-0.00,188.54,29.34,0.00,0.11,-2.88
-0.05,0.00,0.06,0.04,0.03,-0.01,-0.01,189.22,29.34,0.00,0.05,-2.79
-0.05,0.02,0.08,0.05,0.04,-0.01,-0.02,190.08,29.35,0.00,-0.05,-2.67
-0.06,0.02,0.08,0.06,0.06,0.00,-0.02,191.32,29.34,0.00,-0.13,-2.55
-0.06,0.02,0.08,0.07,0.08,0.02,-0.02,192.93,29.34,0.00,-0.16,-2.44
-0.07,-0.00,0.07,0.08,0.10,0.03,-0.01,195.02,29.33,0.00,-0.16,-2.39
-0.07,-0.03,0.05,0.08,0.11,0.05,0.00,197.62,29.33,0.00,-0.14,-2.39
-0.07,-0.06,0.04,0.07,0.12,0.07,0.01,200.35,29.33,0.00,-0.13,-2.45
-0.08,-0.08,0.03,0.05,0.12,0.08,0.02,202.76,29.33,0.00,-0.16,-2.53
-0.08,-0.10,0.02,0.04,0.11,0.09,0.03,204.54,29.33,0.00,-0.23,-2.62
-0.07,-0.10,0.01,0.02,0.10,0.08,0.04,205.57,29.33,0.00,-0.33,-2.71
-0.07,-0.10,0.00,0.01,0.09,0.07,0.04,205.79,29.33,0.00,-0.40,-2.78
-0.06,-0.08,0.01,-0.00,0.07,0.05,0.04,205.30,29.34,0.00,-0.41,-2.83
-0.06,-0.06,0.01,-0.00,0.06,0.02,0.03,204.40,29.34,0.00,-0.36,-2.86
-0.05,-0.04,0.02,0.00,0.05,-0.00,0.02,203.43,29.34,0.00,-0.26,-2.83
-0.05,-0.02,0.04,0.01,0.04,-0.01,0.01,202.63,29.34,0.00,-0.13,-2.73
-0.05,0.01,0.06,0.03,0.04,-0.02,-0.01,202.67,29.34,0.00,0.01,-2.59
-0.06,0.03,0.07,0.04,0.05,-0.02,-0.02,205.12,29.34,0.00,0.17,-2.44
-0.07,0.03,0.08,0.06,0.05,-0.01,-0.02,210.88,29.34,0.00,0.35,-2.30
-0.08,0.03,0.08,0.07,0.07,0.01,-0.02,218.79,29.34,0.00,0.51,-2.22
-0.09,0.02,0.07,0.08,0.07,0.03,-0.02,226.91,29.34,0.00,0.56,-2.21
-0.09,-0.01,0.05,0.08,0.08,0.04,-0.01,233.76,29.34,0.00,0.46,-2.28
-0.09,-0.04,0.04,0.07,0.08,0.06,0.00,238.53,29.34,0.00,0.24,-2.42
-0.09,-0.05,0.02,0.06,0.08,0.08,0.02,241.12,29.33,0.00,0.02,-2.59
-0.09,-0.06,0.01,0.04,0.08,0.08,0.02,241.98,29.33,0.00,-0.14,-2.76
-0.09,-0.04,0.00,0.02,0.07,0.07,0.03,241.76,29.33,0.00,-0.21,-2.89
-0.08,-0.02,0.00,0.00,0.06,0.06,0.03,241.08,29.33,0.00,-0.21,-2.94
-0.08,0.02,0.01,-0.00,0.05,0.04,0.03,240.39,29.33,0.00,-0.17,-2.85
-0.07,0.06,0.02,-0.00,0.04,0.02,0.03,240.07,29.33,0.00,-0.10,-2.69
-0.07,0.10,0.03,0.00,0.04,0.01,0.02,240.63,29.34,0.00,0.04,-2.49
-0.07,0.14,0.05,0.02,0.04,-0.00,0.01,242.28,29.34,0.00,0.28,-2.32
-0.06,0.18,0.07,0.03,0.05,-0.01,-0.01,244.67,29.34,0.00,0.55,-2.22
-0.07,0.21,0.08,0.04,0.05,-0.00,-0.02,247.28,29.34,0.00,0.70,-2.19
-0.07,0.24,0.09,0.06,0.06,0.01,-0.03,249.74,29.34,0.00,0.63,-2.25
-0.08,0.25,0.09,0.07,0.08,0.02,-0.03,251.59,29.34,0.00,0.39,-2.38
-0.09,0.25,0.09,0.08,0.09,0.04,-0.02,252.40,29.34,0.00,0.11,-2.54
-0.10,0.24,0.08,0.08,0.10,0.05,-0.01,252.00,29.35,0.00,-0.09,-2.71
-0.10,0.22,0.07,0.07,0.10,0.07,0.00,250.74,29.35,0.00,-0.17,-2.86
-0.10,0.20,0.06,0.06,0.10,0.08,0.02,249.05,29.34,0.00,-0.14,-2.94
