Model : ,08,,,,,,,,,,
Serial No : ,0001,,,,,,,,,,
Type : ,,,,,,,,,,,
Test Date : ,2024-08-07,,,,,,,,,,
Sampling Rate : ,100 Hz,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
-0.06,0.05,0.11,0.03,0.10,0.07,0.04,305.94,29.05,0.00,0.44,-2.93
-0.05,0.05,0.10,0.01,0.09,0.06,0.04,306.30,29.04,0.00,0.42,-3.04
-0.05,0.06,0.10,-0.00,0.08,0.05,0.04,304.56,29.04,0.00,0.35,-3.12
-0.04,0.08,0.10,-0.00,0.07,0.03,0.03,299.98,29.04,0.00,0.22,-3.12
-0.03,0.11,0.11,0.00,0.06,0.01,0.02,294.07,29.04,0.00,0.08,-3.05
-0.03,0.13,0.13,0.01,0.06,-0.01,0.01,289.87,29.04,0.00,-0.06,-2.94
-0.04,0.15,0.15,0.03,0.06,-0.02,-0.00,289.50,29.05,0.00,-0.15,-2.81
-0.04,0.16,0.16,0.04,0.06,-0.03,-0.01,292.74,29.05,0.00,-0.20,-2.69
-0.05,0.17,0.17,0.06,0.07,-0.02,-0.02,298.18,29.06,0.00,-0.20,-2.60
-0.06,0.16,0.18,0.07,0.09,-0.01,-0.02,304.27,29.06,0.00,-0.15,-2.57
-0.07,0.16,0.18,0.08,0.10,0.01,-0.02,309.46,29.06,0.00,-0.07,-2.59
-0.08,0.14,0.17,0.08,0.11,0.03,-0.01,312.44,29.07,0.00,-0.01,-2.66
-0.08,0.11,0.16,0.08,0.11,0.04,0.00,312.82,29.07,0.00,0.01,-2.77
-0.07,0.08,0.14,0.07,0.11,0.05,0.02,311.20,29.06,0.00,-0.01,-2.89
-0.07,0.06,0.14,0.06,0.10,0.05,0.03,308.65,29.06,0.00,-0.05,-2.97
-0.07,0.04,0.13,0.04,0.08,0.05,0.04,306.07,29.06,0.00,-0.11,-2.98
-0.07,0.03,0.13,0.02,0.07,0.04,0.04,304.06,29.05,0.00,-0.15,-2.93
-0.07,0.03,0.13,0.00,0.06,0.03,0.04,302.81,29.05,0.00,-0.16,-2.83
-0.06,0.04,0.14,-0.00,0.04,0.02,0.03,302.22,29.05,0.00,-0.12,-2.70
-0.05,0.07,0.16,0.00,0.03,0.01,0.02,301.88,29.05,0.00,-0.05,-2.58
-0.03,0.09,0.17,0.01,0.03,-0.00,0.00,300.99,29.05,0.00,0.01,-2.50
-0.03,0.11,0.19,0.03,0.03,-0.01,-0.01,299.02,29.04,0.00,0.03,-2.45
-0.03,0.13,0.21,0.04,0.04,-0.01,-0.03,296.09,29.04,0.00,0.00,-2.45
-0.04,0.13,0.23,0.06,0.05,-0.00,-0.03,292.37,29.04,0.00,-0.07,-2.51
-0.05,0.13,0.23,0.07,0.07,0.00,-0.03,288.12,29.04,0.00,-0.16,-2.63
-0.06,0.12,0.23,0.08,0.09,0.01,-0.03,284.61,29.04,0.00,-0.27,-2.78
-0.07,0.10,0.23,0.08,0.10,0.02,-0.02,284.30,29.04,0.00,-0.41,-2.92
-0.07,0.08,0.22,0.08,0.11,0.04,-0.00,288.57,29.04,0.00,-0.57,-3.02
-0.07,0.05,0.22,0.07,0.11,0.05,0.01,296.05,29.04,0.00,-0.73,-3.07
-0.08,0.03,0.21,0.05,0.10,0.05,0.01,303.88,29.04,0.00,-0.85,-3.05
-0.07,0.01,0.20,0.04,0.09,0.05,0.02,309.81,29.05,0.00,-0.91,-2.96
-0.07,0.01,0.20,0.02,0.07,0.05,0.02,312.87,29.05,0.00,-0.90,-2.84
-0.07,0.02,0.20,0.00,0.06,0.04,0.03,313.00,29.05,0.00,-0.85,-2.71
-0.06,0.04,0.21,-0.00,0.05,0.02,0.02,310.84,29.06,0.00,-0.78,-2.61
-0.05,0.07,0.22,0.00,0.04,0.01,0.02,307.56,29.06,0.00,-0.69,-2.57
-0.05,0.09,0.24,0.02,0.03,0.00,0.01,304.31,29.05,0.00,-0.54,-2.60
-0.04,0.11,0.26,0.03,0.03,-0.00,0.00,301.77,29.05,0.00,-0.31,-2.72
-0.04,0.13,0.28,0.05,0.04,-0.01,-0.01,300.20,29.05,0.00,-0.04,-2.90
