Model : ,08,,,,,,,,,,
Serial No : ,0001,,,,,,,,,,
Type : ,,,,,,,,,,,
Test Date : ,2024-08-07,,,,,,,,,,
Sampling Rate : ,100 Hz,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
-0.05,0.16,0.07,0.05,0.06,-0.03,-0.04,298.17,29.02,0.00,-0.17,-2.68
-0.05,0.15,0.08,0.07,0.07,-0.02,-0.04,293.08,29.02,0.00,-0.09,-2.56
-0.06,0.13,0.07,0.08,0.08,-0.01,-0.04,288.87,29.02,0.00,-0.04,-2.49
-0.06,0.10,0.07,0.09,0.09,0.01,-0.03,287.09,29.01,0.00,0.01,-2.47
-0.07,0.06,0.06,0.08,0.10,0.03,-0.02,288.07,29.01,0.00,0.08,-2.49
-0.07,0.03,0.05,0.07,0.10,0.04,-0.00,291.71,29.01,0.00,0.10,-2.57
-0.07,-0.00,0.03,0.06,0.10,0.05,0.01,297.43,29.01,0.00,0.03,-2.68
-0.07,-0.02,0.02,0.04,0.09,0.05,0.02,303.65,29.01,0.00,-0.11,-2.80
-0.07,-0.03,0.01,0.02,0.08,0.04,0.03,308.45,29.01,0.00,-0.27,-2.88
-0.07,-0.02,0.01,0.01,0.07,0.03,0.03,310.73,29.01,0.00,-0.41,-2.88
-0.06,-0.00,0.01,0.01,0.06,0.01,0.03,310.61,29.01,0.00,-0.51,-2.82
-0.05,0.02,0.02,0.00,0.05,0.00,0.02,308.86,29.01,0.00,-0.54,-2.72
-0.05,0.05,0.04,0.01,0.05,-0.01,0.01,306.39,29.01,0.00,-0.53,-2.62
-0.04,0.08,0.05,0.02,0.06,-0.01,-0.01,304.02,29.01,0.00,-0.48,-2.53
-0.04,0.10,0.06,0.03,0.07,-0.01,-0.02,302.30,29.02,0.00,-0.45,-2.49
-0.05,0.11,0.07,0.05,0.08,-0.00,-0.02,301.39,29.02,0.00,-0.45,-2.48
-0.05,0.10,0.07,0.07,0.09,0.01,-0.02,301.00,29.02,0.00,-0.49,-2.50
-0.07,0.09,0.07,0.08,0.10,0.02,-0.02,300.39,29.02,0.00,-0.55,-2.56
-0.08,0.06,0.07,0.09,0.11,0.03,-0.01,298.99,29.02,0.00,-0.62,-2.66
-0.09,0.04,0.06,0.08,0.12,0.04,-0.00,296.78,29.03,0.00,-0.67,-2.79
-0.10,0.01,0.05,0.07,0.12,0.05,0.01,293.75,29.03,0.00,-0.68,-2.92
-0.10,-0.01,0.03,0.05,0.11,0.05,0.01,290.05,29.03,0.00,-0.63,-3.03
-0.09,-0.01,0.02,0.04,0.10,0.05,0.02,286.75,29.03,0.00,-0.54,-3.11
-0.08,-0.01,0.01,0.02,0.08,0.04,0.03,285.86,29.03,0.00,-0.40,-3.12
-0.08,-0.00,0.00,0.01,0.06,0.03,0.03,288.56,29.03,0.00,-0.21,-3.03
-0.07,0.02,0.00,0.00,0.05,0.02,0.03,294.07,29.02,0.00,-0.02,-2.88
-0.07,0.04,0.01,0.00,0.04,0.01,0.02,300.84,29.02,0.00,0.14,-2.72
-0.07,0.07,0.02,0.01,0.04,-0.01,0.01,307.51,29.02,0.00,0.26,-2.62
-0.07,0.11,0.03,0.01,0.04,-0.02,-0.00,312.67,29.02,0.00,0.33,-2.57
-0.07,0.13,0.05,0.03,0.05,-0.04,-0.01,314.93,29.02,0.00,0.37,-2.58
-0.07,0.15,0.05,0.05,0.06,-0.04,-0.02,313.85,29.02,0.00,0.38,-2.65
-0.07,0.14,0.06,0.06,0.07,-0.03,-0.02,310.41,29.02,0.00,0.36,-2.74
-0.07,0.12,0.06,0.08,0.08,-0.02,-0.02,306.26,29.02,0.00,0.29,-2.85
-0.08,0.10,0.06,0.08,0.09,-0.00,-0.01,302.68,29.02,0.00,0.13,-2.98
-0.09,0.07,0.05,0.08,0.09,0.02,0.00,300.37,29.03,0.00,-0.08,-3.08
-0.10,0.04,0.04,0.07,0.09,0.04,0.01,299.47,29.03,0.00,-0.24,-3.14
-0.10,0.03,0.03,0.06,0.09,0.05,0.03,299.75,29.03,0.00,-0.30,-3.11
-0.09,0.02,0.02,0.04,0.09,0.06,0.04,300.41,29.03,0.00,-0.26,-3.03
-0.08,0.03,0.02,0.02,0.08,0.06,0.04,300.19,29.04,0.00,-0.15,-2.90
-0.07,0.05,0.02,0.01,0.06,0.05,0.04,298.28,29.04,0.00,-0.02,-2.76
-0.06,0.07,0.02,0.00,0.05,0.04,0.03,295.00,29.04,0.00,0.11,-2.64
-0.06,0.11,0.03,-0.00,0.04,0.02,0.02,291.13,29.04,0.00,0.22,-2.56
-0.05,0.14,0.04,0.01,0.03,0.00,-0.00,287.37,29.04,0.00,0.32,-2.53
-0.04,0.18,0.05,0.02,0.03,-0.02,-0.02,284.84,29.04,0.00,0.40,-2.56
-0.04,0.22,0.06,0.03,0.04,-0.03,-0.04,285.26,29.04,0.00,0.44,-2.64
-0.04,0.24,0.07,0.05,0.05,-0.03,-0.04,289.49,29.04,0.00,0.46,-2.76
-0.04,0.26,0.08,0.07,0.07,-0.02,-0.04,296.17,29.04,0.00,0.47,-2.90
-0.05,0.26,0.08,0.08,0.08,-0.01,-0.04,302.87,29.04,0.00,0.47,-2.98
-0.06,0.24,0.07,0.09,0.09,0.01,-0.03,307.77,29.03,0.00,0.48,-2.97
-0.07,0.22,0.06,0.08,0.10,0.03,-0.02,310.11,29.03,0.00,0.49,-2.89
-0.07,0.20,0.05,0.07,0.10,0.04,-0.00,309.88,29.03,0.00,0.44,-2.77
-0.07,0.18,0.04,0.06,0.10,0.05,0.01,307.60,29.03,0.00,0.31,-2.62
-0.06,0.17,0.03,0.04,0.09,0.05,0.02,304.44,29.02,0.00,0.10,-2.50
-0.05,0.17,0.02,0.03,0.08,0.05,0.03,301.71,29.02,0.00,-0.17,-2.41
-0.04,0.17,0.02,0.02,0.07,0.04,0.03,300.21,29.02,0.00,-0.47,-2.37
-0.04,0.18,0.03,0.01,0.05,0.02,0.03,300.00,29.02,0.00,-0.74,-2.38
-0.04,0.19,0.03,0.01,0.04,0.00,0.02,300.74,29.03,0.00,-0.88,-2.45
-0.04,0.20,0.05,0.01,0.03,-0.01,0.00,301.95,29.03,0.00,-0.84,-2.57
-0.04,0.21,0.06,0.02,0.04,-0.02,-0.01,302.83,29.04,0.00,-0.67,-2.71
-0.05,0.22,0.07,0.03,0.05,-0.03,-0.03,302.10,29.04,0.00,-0.44,-2.84
-0.04,0.22,0.08,0.05,0.06,-0.03,-0.04,299.05,29.04,0.00,-0.23,-2.92
-0.04,0.20,0.09,0.07,0.07,-0.02,-0.04,294.65,29.04,0.00,-0.07,-2.94
-0.04,0.18,0.09,0.08,0.08,-0.00,-0.03,290.87,29.04,0.00,0.04,-2.91
-0.04,0.15,0.08,0.09,0.09,0.02,-0.03,289.14,29.03,0.00,0.14,-2.81
-0.05,0.12,0.08,0.08,0.10,0.04,-0.02,289.82,29.03,0.00,0.22,-2.69
-0.05,0.09,0.07,0.07,0.10,0.05,-0.00,292.83,29.03,0.00,0.21,-2.57
-0.05,0.06,0.05,0.05,0.10,0.06,0.01,297.67,29.03,0.00,0.09,-2.46
-0.06,0.04,0.04,0.03,0.09,0.07,0.03,302.95,29.02,0.00,-0.12,-2.39
-0.06,0.03,0.03,0.01,0.08,0.06,0.04,306.99,29.02,0.00,-0.36,-2.38
-0.05,0.03,0.02,-0.00,0.07,0.05,0.04,308.79,29.02,0.00,-0.61,-2.44
-0.05,0.03,0.02,-0.01,0.05,0.04,0.03,308.49,29.02,0.00,-0.80,-2.55
-0.04,0.04,0.03,-0.01,0.04,0.02,0.02,306.77,29.02,0.00,-0.88,-2.68
-0.03,0.07,0.04,-0.01,0.04,0.00,0.00,304.47,29.02,0.00,-0.83,-2.79
-0.03,0.09,0.06,0.00,0.05,-0.01,-0.01,302.38,29.03,0.00,-0.69,-2.88
-0.02,0.11,0.07,0.02,0.05,-0.02,-0.03,301.21,29.03,0.00,-0.52,-2.90
-0.03,0.12,0.08,0.04,0.07,-0.02,-0.03,301.23,29.03,0.00,-0.39,-2.84
-0.03,0.12,0.09,0.06,0.08,-0.02,-0.03,301.97,29.03,0.00,-0.31,-2.74
-0.04,0.11,0.09,0.08,0.08,-0.01,-0.03,302.32,29.03,0.00,-0.30,-2.62
-0.04,0.10,0.08,0.08,0.09,0.01,-0.02,301.49,29.03,0.00,-0.36,-2.51
-0.05,0.08,0.08,0.08,0.10,0.03,-0.02,299.37,29.03,0.00,-0.45,-2.45
-0.05,0.07,0.06,0.07,0.10,0.04,-0.02,296.01,29.03,0.00,-0.52,-2.45
-0.05,0.06,0.05,0.05,0.10,0.05,-0.01,291.65,29.03,0.00,-0.51,-2.51
-0.05,0.06,0.04,0.04,0.09,0.05,0.00,287.52,29.04,0.00,-0.45,-2.63
-0.04,0.07,0.04,0.02,0.08,0.04,0.01,285.68,29.04,0.00,-0.33,-2.78
-0.04,0.08,0.04,0.01,0.06,0.03,0.01,287.33,29.05,0.00,-0.18,-2.94
-0.04,0.09,0.05,0.00,0.05,0.03,0.00,291.81,29.05,0.00,-0.02,-3.07
