시간 [s],진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
31.49,-0.19,4.69,5.15,0.08,0.11,0.17,0.19,859.07,28.54,0.0,-0.2,-2.33
31.5,-0.19,4.63,5.14,0.08,0.11,0.19,0.21,864.09,28.54,0.0,-0.5,-2.41
31.51,-0.2,4.56,5.15,0.07,0.11,0.21,0.23,868.99,28.55,0.0,-0.75,-2.51
31.52,-0.19,4.5,5.16,0.05,0.1,0.22,0.24,874.03,28.55,0.0,-0.95,-2.6
31.53,-0.16,4.48,5.18,0.03,0.08,0.22,0.24,879.54,28.55,0.0,-1.13,-2.65
31.54,-0.12,4.49,5.2,0.01,0.06,0.21,0.24,884.89,28.55,0.0,-1.26,-2.66
31.55,-0.09,4.54,5.22,-0.0,0.04,0.19,0.23,888.81,28.54,0.0,-1.25,-2.63
31.56,-0.06,4.64,5.24,-0.0,0.02,0.16,0.21,890.56,28.53,0.0,-1.05,-2.58
31.57,-0.06,4.75,5.27,0.0,0.01,0.12,0.2,890.32,28.53,0.0,-0.7,-2.51
31.58,-0.07,4.87,5.3,0.02,0.01,0.08,0.18,888.78,28.53,0.0,-0.32,-2.44
31.59,-0.09,4.97,5.33,0.03,0.01,0.07,0.16,886.71,28.53,0.0,0.01,-2.34
31.6,-0.12,5.03,5.37,0.05,0.02,0.07,0.15,884.96,28.54,0.0,0.25,-2.26
31.61,-0.15,5.07,5.41,0.07,0.04,0.09,0.14,884.47,28.55,0.0,0.34,-2.23
31.62,-0.16,5.07,5.43,0.08,0.06,0.12,0.14,885.64,28.55,0.0,0.3,-2.28
31.63,-0.15,5.06,5.45,0.08,0.08,0.14,0.15,887.34,28.56,0.0,0.18,-2.39
31.64,-0.14,5.03,5.45,0.08,0.09,0.17,0.16,886.84,28.56,0.0,0.07,-2.53
31.65,-0.14,5.01,5.45,0.08,0.1,0.2,0.19,882.31,28.56,0.0,0.03,-2.65
31.66,-0.15,5.0,5.44,0.07,0.1,0.23,0.21,875.78,28.55,0.0,0.03,-2.73
31.67,-0.16,5.01,5.44,0.05,0.1,0.25,0.23,872.62,28.54,0.0,-0.1,-2.72
31.68,-0.17,5.04,5.45,0.03,0.09,0.24,0.25,876.62,28.53,0.0,-0.44,-2.61
31.69,-0.17,5.08,5.47,0.01,0.08,0.21,0.25,886.15,28.53,0.0,-0.94,-2.45
31.7,-0.16,5.13,5.51,-0.0,0.07,0.18,0.25,895.83,28.53,0.0,-1.39,-2.29
31.71,-0.13,5.18,5.56,-0.01,0.05,0.15,0.24,901.24,28.53,0.0,-1.65,-2.18
31.72,-0.1,5.23,5.61,-0.0,0.04,0.13,0.21,901.72,28.53,0.0,-1.69,-2.15
31.73,-0.09,5.26,5.65,0.01,0.03,0.12,0.19,899.54,28.53,0.0,-1.53,-2.19
31.74,-0.1,5.28,5.69,0.02,0.02,0.11,0.16,897.35,28.54,0.0,-1.24,-2.3
31.75,-0.13,5.29,5.72,0.04,0.03,0.1,0.14,896.55,28.54,0.0,-0.94,-2.44
31.76,-0.17,5.3,5.74,0.06,0.04,0.1,0.12,897.47,28.55,0.0,-0.79,-2.59
31.77,-0.2,5.29,5.76,0.07,0.06,0.11,0.13,899.77,28.55,0.0,-0.88,-2.72
31.78,-0.21,5.27,5.78,0.08,0.09,0.12,0.14,902.89,28.55,0.0,-1.14,-2.8
31.79,-0.2,5.24,5.79,0.08,0.1,0.14,0.17,906.76,28.55,0.0,-1.41,-2.8
31.8,-0.17,5.2,5.79,0.08,0.11,0.16,0.19,911.34,28.54,0.0,-1.53,-2.7
31.81,-0.12,5.16,5.79,0.07,0.1,0.17,0.22,915.75,28.54,0.0,-1.45,-2.52
31.82,-0.08,5.14,5.79,0.05,0.09,0.19,0.23,918.49,28.54,0.0,-1.15,-2.29
31.83,-0.05,5.17,5.81,0.03,0.08,0.19,0.23,918.69,28.54,0.0,-0.65,-2.03
31.84,-0.05,5.24,5.83,0.01,0.07,0.19,0.23,916.4,28.54,0.0,-0.09,-1.81
31.85,-0.07,5.32,5.86,-0.0,0.06,0.17,0.21,911.69,28.54,0.0,0.36,-1.69
31.86,-0.09,5.42,5.88,-0.01,0.05,0.14,0.2,904.97,28.55,0.0,0.58,-1.73
31.87,-0.11,5.51,5.9,-0.01,0.04,0.11,0.2,898.09,28.55,0.0,0.58,-1.89
31.88,-0.12,5.57,5.92,0.0,0.03,0.08,0.18,893.88,28.56,0.0,0.43,-2.11
31.89,-0.13,5.6,5.94,0.02,0.03,0.09,0.16,893.98,28.56,0.0,0.25,-2.34
31.9,-0.12,5.62,5.97,0.04,0.04,0.12,0.14,896.84,28.56,0.0,0.05,-2.54
31.91,-0.11,5.62,5.99,0.06,0.05,0.16,0.12,898.14,28.56,0.0,-0.19,-2.68
31.92,-0.12,5.64,6.01,0.07,0.07,0.2,0.12,894.66,28.55,0.0,-0.53,-2.76
31.93,-0.13,5.66,6.02,0.08,0.08,0.24,0.13,887.58,28.55,0.0,-0.9,-2.78
31.94,-0.15,5.68,6.03,0.09,0.1,0.25,0.15,881.42,28.54,0.0,-1.18,-2.72
31.95,-0.16,5.68,6.03,0.08,0.1,0.25,0.18,879.79,28.54,0.0,-1.28,-2.57
31.96,-0.18,5.66,6.04,0.07,0.1,0.24,0.21,882.62,28.53,0.0,-1.2,-2.38
31.97,-0.19,5.65,6.04,0.05,0.09,0.21,0.23,887.15,28.54,0.0,-0.93,-2.24
31.98,-0.19,5.65,6.05,0.03,0.07,0.17,0.23,890.62,28.54,0.0,-0.51,-2.2
31.99,-0.18,5.68,6.06,0.01,0.05,0.13,0.23,892.5,28.55,0.0,-0.06,-2.26
32.0,-0.16,5.71,6.07,-0.0,0.04,0.1,0.21,894.6,28.56,0.0,0.33,-2.39
32.01,-0.13,5.75,6.09,-0.01,0.02,0.08,0.19,898.69,28.56,0.0,0.58,-2.54
32.02,-0.09,5.78,6.11,-0.0,0.01,0.07,0.17,904.43,28.56,0.0,0.68,-2.67
32.03,-0.07,5.8,6.13,0.01,0.01,0.07,0.15,910.07,28.55,0.0,0.58,-2.73
32.04,-0.07,5.81,6.16,0.03,0.01,0.07,0.15,914.16,28.55,0.0,0.31,-2.7
32.05,-0.08,5.81,6.19,0.05,0.02,0.07,0.15,916.39,28.54,0.0,-0.06,-2.61
32.06,-0.1,5.81,6.22,0.07,0.04,0.08,0.15,917.55,28.54,0.0,-0.39,-2.48
32.07,-0.12,5.83,6.24,0.08,0.06,0.09,0.15,918.57,28.55,0.0,-0.63,-2.35
32.08,-0.14,5.84,6.25,0.09,0.09,0.11,0.16,919.69,28.56,0.0,-0.73,-2.24
32.09,-0.14,5.84,6.25,0.09,0.11,0.14,0.17,920.38,28.56,0.0,-0.64,-2.19
32.1,-0.13,5.83,6.24,0.09,0.12,0.18,0.2,920.21,28.57,0.0,-0.38,-2.18
32.11,-0.1,5.79,6.23,0.08,0.12,0.23,0.24,918.77,28.57,0.0,-0.04,-2.23
32.12,-0.08,5.75,6.22,0.06,0.12,0.24,0.26,915.12,28.56,0.0,0.19,-2.34
32.13,-0.06,5.72,6.22,0.04,0.1,0.22,0.27,908.85,28.56,0.0,0.21,-2.5
32.14,-0.06,5.7,6.23,0.02,0.08,0.18,0.26,901.55,28.56,0.0,0.02,-2.68
32.15,-0.05,5.69,6.26,-0.0,0.06,0.12,0.24,896.05,28.55,0.0,-0.28,-2.82
32.16,-0.05,5.71,6.28,-0.01,0.04,0.08,0.21,894.24,28.54,0.0,-0.6,-2.87
32.17,-0.05,5.75,6.31,-0.0,0.02,0.06,0.18,895.7,28.54,0.0,-0.86,-2.84
32.18,-0.05,5.8,6.33,0.01,0.01,0.07,0.16,898.5,28.53,0.0,-0.96,-2.72
32.19,-0.05,5.88,6.36,0.02,0.01,0.09,0.13,900.79,28.53,0.0,-0.88,-2.55
32.2,-0.05,5.95,6.39,0.04,0.03,0.12,0.11,902.03,28.53,0.0,-0.68,-2.37
