시간 [s],진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
22.62,-0.16,0.79,0.87,0.04,0.07,0.12,0.12,857.84,32.14,0.0,-1.3,-1.99
22.63,-0.16,0.82,0.88,0.03,0.06,0.11,0.11,863.17,32.15,0.0,-0.84,-2.0
22.64,-0.17,0.85,0.89,0.03,0.06,0.1,0.1,866.44,32.15,0.0,-0.35,-2.08
22.65,-0.17,0.88,0.91,0.03,0.06,0.09,0.09,868.89,32.16,0.0,0.04,-2.25
22.66,-0.18,0.91,0.93,0.04,0.06,0.08,0.08,871.01,32.16,0.0,0.27,-2.46
22.67,-0.19,0.93,0.94,0.05,0.07,0.08,0.07,872.52,32.16,0.0,0.28,-2.65
22.68,-0.19,0.94,0.95,0.07,0.08,0.09,0.07,873.15,32.16,0.0,0.09,-2.79
22.69,-0.18,0.95,0.95,0.09,0.08,0.1,0.07,872.58,32.16,0.0,-0.2,-2.85
22.7,-0.17,0.95,0.95,0.1,0.09,0.12,0.08,870.06,32.16,0.0,-0.43,-2.8
22.71,-0.17,0.94,0.94,0.1,0.1,0.13,0.08,865.29,32.17,0.0,-0.5,-2.63
22.72,-0.17,0.92,0.94,0.1,0.1,0.15,0.09,859.93,32.17,0.0,-0.44,-2.4
22.73,-0.18,0.9,0.93,0.09,0.11,0.16,0.1,857.25,32.17,0.0,-0.42,-2.18
22.74,-0.18,0.89,0.93,0.07,0.1,0.17,0.11,859.38,32.16,0.0,-0.57,-2.04
22.75,-0.18,0.88,0.92,0.06,0.1,0.16,0.11,864.79,32.16,0.0,-0.86,-2.0
22.76,-0.17,0.89,0.92,0.04,0.09,0.15,0.11,869.17,32.16,0.0,-1.18,-2.05
22.77,-0.14,0.92,0.92,0.03,0.07,0.13,0.11,869.18,32.15,0.0,-1.43,-2.18
22.78,-0.12,0.96,0.93,0.03,0.06,0.12,0.1,865.91,32.15,0.0,-1.54,-2.33
22.79,-0.09,1.0,0.95,0.03,0.05,0.1,0.09,864.42,32.15,0.0,-1.44,-2.46
22.8,-0.09,1.04,0.96,0.04,0.04,0.09,0.08,868.7,32.15,0.0,-1.15,-2.54
22.81,-0.1,1.06,0.98,0.05,0.04,0.08,0.07,877.78,32.16,0.0,-0.74,-2.55
22.82,-0.12,1.07,0.99,0.07,0.05,0.08,0.07,887.3,32.16,0.0,-0.38,-2.5
22.83,-0.15,1.07,0.99,0.08,0.06,0.08,0.07,893.52,32.17,0.0,-0.18,-2.42
22.84,-0.18,1.05,1.0,0.1,0.08,0.09,0.08,895.63,32.17,0.0,-0.15,-2.31
22.85,-0.19,1.01,1.0,0.11,0.09,0.11,0.09,895.33,32.17,0.0,-0.27,-2.21
22.86,-0.18,0.97,0.99,0.11,0.1,0.12,0.1,894.7,32.17,0.0,-0.51,-2.12
22.87,-0.15,0.92,0.99,0.1,0.11,0.13,0.11,894.92,32.16,0.0,-0.77,-2.05
22.88,-0.13,0.88,0.98,0.09,0.11,0.14,0.12,896.36,32.15,0.0,-1.0,-2.05
22.89,-0.11,0.86,0.98,0.07,0.11,0.14,0.13,898.86,32.14,0.0,-1.14,-2.11
22.9,-0.11,0.85,0.98,0.05,0.1,0.15,0.13,902.05,32.14,0.0,-1.2,-2.21
22.91,-0.12,0.85,0.98,0.04,0.09,0.15,0.13,906.0,32.13,0.0,-1.25,-2.33
22.92,-0.14,0.87,0.99,0.03,0.08,0.13,0.13,910.76,32.14,0.0,-1.35,-2.42
22.93,-0.15,0.89,1.0,0.03,0.07,0.12,0.12,915.36,32.14,0.0,-1.45,-2.48
22.94,-0.16,0.93,1.01,0.03,0.06,0.1,0.11,918.05,32.15,0.0,-1.39,-2.51
22.95,-0.16,0.98,1.03,0.04,0.06,0.09,0.1,917.82,32.16,0.0,-1.06,-2.5
22.96,-0.15,1.05,1.05,0.05,0.06,0.08,0.08,914.7,32.17,0.0,-0.55,-2.47
22.97,-0.15,1.11,1.07,0.07,0.06,0.07,0.07,908.75,32.17,0.0,-0.06,-2.43
22.98,-0.14,1.14,1.08,0.08,0.07,0.07,0.07,900.4,32.18,0.0,0.29,-2.38
22.99,-0.14,1.14,1.08,0.09,0.08,0.08,0.07,892.01,32.18,0.0,0.43,-2.32
23.0,-0.15,1.11,1.09,0.1,0.08,0.09,0.08,887.32,32.18,0.0,0.41,-2.25
23.01,-0.16,1.06,1.08,0.1,0.09,0.11,0.1,888.57,32.18,0.0,0.3,-2.16
23.02,-0.16,1.0,1.07,0.1,0.1,0.13,0.12,893.81,32.18,0.0,0.15,-2.09
23.03,-0.16,0.95,1.06,0.09,0.1,0.15,0.13,897.95,32.17,0.0,-0.07,-2.09
23.04,-0.15,0.93,1.05,0.07,0.1,0.17,0.15,897.04,32.17,0.0,-0.37,-2.19
23.05,-0.13,0.94,1.05,0.05,0.09,0.18,0.15,891.8,32.16,0.0,-0.7,-2.37
23.06,-0.12,0.95,1.04,0.03,0.08,0.17,0.15,886.55,32.15,0.0,-0.93,-2.56
23.07,-0.1,0.97,1.04,0.02,0.07,0.17,0.15,884.97,32.14,0.0,-0.96,-2.69
23.08,-0.09,0.98,1.05,0.02,0.05,0.16,0.15,887.34,32.14,0.0,-0.79,-2.75
23.09,-0.09,0.99,1.06,0.02,0.04,0.14,0.14,891.37,32.14,0.0,-0.35,-2.72
23.1,-0.1,1.01,1.07,0.02,0.04,0.13,0.12,894.68,32.14,0.0,0.35,-2.6
23.11,-0.12,1.04,1.08,0.04,0.05,0.12,0.1,896.72,32.15,0.0,1.09,-2.44
23.12,-0.13,1.07,1.08,0.05,0.06,0.11,0.09,899.07,32.15,0.0,1.52,-2.29
23.13,-0.15,1.09,1.09,0.07,0.07,0.11,0.08,903.23,32.16,0.0,1.4,-2.18
23.14,-0.15,1.09,1.09,0.09,0.09,0.11,0.07,908.44,32.16,0.0,0.85,-2.14
23.15,-0.15,1.08,1.09,0.1,0.1,0.11,0.07,911.98,32.16,0.0,0.15,-2.18
23.16,-0.14,1.06,1.08,0.11,0.11,0.11,0.08,911.88,32.16,0.0,-0.46,-2.29
23.17,-0.14,1.02,1.08,0.1,0.11,0.12,0.08,908.79,32.16,0.0,-0.81,-2.44
23.18,-0.13,0.98,1.07,0.09,0.11,0.13,0.09,905.29,32.16,0.0,-0.81,-2.55
23.19,-0.13,0.94,1.06,0.07,0.11,0.14,0.1,903.6,32.16,0.0,-0.48,-2.6
23.2,-0.13,0.92,1.06,0.06,0.11,0.14,0.11,904.15,32.17,0.0,0.03,-2.58
23.21,-0.13,0.9,1.06,0.04,0.1,0.15,0.12,906.14,32.18,0.0,0.56,-2.52
23.22,-0.13,0.9,1.06,0.03,0.09,0.15,0.13,908.46,32.18,0.0,0.98,-2.44
23.23,-0.13,0.91,1.07,0.03,0.07,0.14,0.13,909.81,32.19,0.0,1.2,-2.35
23.24,-0.11,0.93,1.08,0.03,0.06,0.14,0.12,908.37,32.19,0.0,1.15,-2.27
23.25,-0.09,0.99,1.09,0.04,0.06,0.13,0.11,903.27,32.18,0.0,0.81,-2.17
23.26,-0.06,1.05,1.1,0.05,0.06,0.13,0.1,896.22,32.17,0.0,0.31,-2.07
23.27,-0.04,1.11,1.11,0.06,0.06,0.12,0.09,890.6,32.16,0.0,-0.17,-2.0
23.28,-0.05,1.16,1.12,0.08,0.07,0.12,0.09,888.81,32.15,0.0,-0.47,-1.99
23.29,-0.06,1.19,1.11,0.09,0.08,0.11,0.09,890.56,32.14,0.0,-0.59,-2.03
23.3,-0.09,1.18,1.11,0.11,0.1,0.12,0.1,893.65,32.14,0.0,-0.6,-2.14
