시간 [s],진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
239.52,-0.2,1.53,1.62,0.02,0.03,0.08,0.07,1140.4,31.51,0.0,620.99,-2.37
239.53,-0.2,1.53,1.64,0.03,0.03,0.06,0.06,1140.13,31.5,0.0,620.87,-2.3
239.55,-0.21,1.56,1.67,0.07,0.04,0.04,0.06,1141.68,31.5,0.0,620.62,-2.25
239.56,-0.21,1.59,1.68,0.09,0.05,0.04,0.07,1145.38,31.5,0.0,620.51,-2.23
239.57,-0.21,1.62,1.68,0.1,0.06,0.05,0.08,1149.84,31.5,0.0,620.46,-2.26
239.58,-0.21,1.67,1.68,0.11,0.07,0.06,0.09,1153.89,31.51,0.0,620.53,-2.35
239.59,-0.22,1.72,1.68,0.1,0.08,0.08,0.1,1156.49,31.51,0.0,620.68,-2.47
239.6,-0.22,1.76,1.67,0.09,0.09,0.09,0.1,1156.62,31.52,0.0,620.83,-2.59
239.61,-0.22,1.77,1.66,0.08,0.09,0.09,0.11,1154.0,31.53,0.0,620.92,-2.65
239.62,-0.22,1.76,1.66,0.06,0.09,0.08,0.12,1150.07,31.53,0.0,620.91,-2.64
239.63,-0.21,1.74,1.65,0.05,0.08,0.06,0.13,1147.58,31.54,0.0,620.74,-2.58
239.64,-0.2,1.71,1.65,0.03,0.06,0.05,0.13,1148.38,31.53,0.0,620.38,-2.48
239.65,-0.18,1.69,1.66,0.02,0.04,0.05,0.13,1151.93,31.53,0.0,619.97,-2.36
239.66,-0.16,1.67,1.68,0.01,0.03,0.05,0.12,1156.11,31.52,0.0,619.75,-2.26
239.67,-0.15,1.66,1.69,0.01,0.03,0.05,0.1,1159.06,31.52,0.0,619.91,-2.17
239.68,-0.14,1.67,1.71,0.02,0.03,0.05,0.08,1160.7,31.51,0.0,620.35,-2.12
239.69,-0.15,1.68,1.73,0.04,0.04,0.05,0.06,1162.92,31.51,0.0,620.87,-2.13
239.7,-0.16,1.71,1.75,0.06,0.05,0.04,0.06,1167.35,31.5,0.0,621.28,-2.19
239.71,-0.18,1.74,1.76,0.08,0.06,0.03,0.06,1173.74,31.5,0.0,621.49,-2.3
239.72,-0.21,1.76,1.76,0.09,0.07,0.03,0.07,1180.99,31.51,0.0,621.52,-2.44
239.73,-0.24,1.76,1.76,0.1,0.08,0.04,0.08,1188.04,31.51,0.0,621.4,-2.59
239.74,-0.28,1.74,1.76,0.1,0.09,0.06,0.09,1193.41,31.51,0.0,621.17,-2.72
239.75,-0.3,1.73,1.75,0.09,0.09,0.08,0.1,1195.16,31.51,0.0,620.8,-2.79
239.76,-0.3,1.74,1.74,0.07,0.09,0.09,0.11,1192.47,31.51,0.0,620.26,-2.77
239.77,-0.29,1.77,1.74,0.06,0.09,0.1,0.12,1186.95,31.51,0.0,619.68,-2.69
239.78,-0.26,1.81,1.74,0.04,0.08,0.1,0.12,1181.59,31.51,0.0,619.34,-2.56
239.79,-0.23,1.83,1.75,0.03,0.07,0.1,0.12,1178.67,31.51,0.0,619.4,-2.44
239.8,-0.19,1.84,1.76,0.02,0.05,0.1,0.12,1177.88,31.51,0.0,619.78,-2.33
239.81,-0.16,1.83,1.77,0.02,0.04,0.09,0.11,1176.41,31.51,0.0,620.26,-2.27
239.82,-0.14,1.83,1.79,0.02,0.04,0.07,0.09,1171.93,31.52,0.0,620.63,-2.24
239.83,-0.13,1.83,1.81,0.03,0.04,0.04,0.07,1165.83,31.52,0.0,620.85,-2.26
239.84,-0.13,1.85,1.82,0.04,0.05,0.01,0.05,1162.91,31.53,0.0,621.02,-2.33
239.85,-0.15,1.89,1.84,0.06,0.05,0.0,0.05,1166.64,31.53,0.0,621.23,-2.45
239.86,-0.17,1.95,1.84,0.08,0.06,0.0,0.05,1175.48,31.54,0.0,621.51,-2.59
239.87,-0.2,2.01,1.85,0.09,0.07,0.02,0.06,1184.4,31.54,0.0,621.76,-2.68
239.88,-0.23,2.07,1.84,0.09,0.08,0.04,0.08,1189.3,31.54,0.0,621.92,-2.69
239.89,-0.26,2.12,1.84,0.09,0.09,0.06,0.09,1189.52,31.54,0.0,621.98,-2.61
239.9,-0.28,2.14,1.84,0.08,0.09,0.08,0.11,1187.11,31.54,0.0,621.94,-2.47
239.91,-0.29,2.12,1.83,0.06,0.09,0.09,0.12,1184.48,31.53,0.0,621.82,-2.31
239.92,-0.28,2.08,1.82,0.05,0.08,0.1,0.13,1183.23,31.53,0.0,621.69,-2.16
239.93,-0.26,2.01,1.82,0.03,0.07,0.1,0.13,1184.38,31.52,0.0,621.59,-2.06
239.94,-0.23,1.93,1.82,0.03,0.06,0.09,0.12,1188.05,31.52,0.0,621.57,-2.03
239.95,-0.19,1.86,1.82,0.02,0.04,0.06,0.11,1192.21,31.51,0.0,621.62,-2.06
239.96,-0.16,1.81,1.83,0.02,0.04,0.04,0.1,1192.88,31.52,0.0,621.7,-2.14
239.97,-0.14,1.81,1.85,0.03,0.04,0.02,0.09,1187.5,31.52,0.0,621.8,-2.26
239.98,-0.13,1.84,1.87,0.04,0.04,0.01,0.07,1178.47,31.52,0.0,621.89,-2.39
239.99,-0.13,1.89,1.88,0.05,0.05,0.01,0.06,1171.91,31.52,0.0,621.96,-2.5
240.0,-0.14,1.94,1.9,0.07,0.05,0.03,0.05,1172.39,31.51,0.0,622.0,-2.58
240.01,-0.16,1.99,1.91,0.09,0.06,0.05,0.05,1178.88,31.51,0.0,622.03,-2.61
240.02,-0.19,2.03,1.92,0.1,0.07,0.07,0.06,1186.38,31.51,0.0,622.04,-2.58
240.03,-0.22,2.07,1.92,0.1,0.08,0.08,0.07,1190.48,31.51,0.0,622.04,-2.5
240.04,-0.25,2.11,1.92,0.1,0.08,0.08,0.09,1190.27,31.51,0.0,621.99,-2.39
240.05,-0.27,2.12,1.91,0.08,0.08,0.08,0.1,1187.63,31.51,0.0,621.82,-2.27
240.06,-0.28,2.11,1.9,0.07,0.08,0.08,0.11,1184.88,31.51,0.0,621.48,-2.18
240.07,-0.27,2.08,1.88,0.05,0.08,0.08,0.12,1183.53,31.52,0.0,621.06,-2.14
240.08,-0.25,2.04,1.88,0.04,0.07,0.08,0.12,1184.49,31.52,0.0,620.72,-2.17
240.09,-0.22,1.97,1.87,0.03,0.06,0.07,0.11,1187.86,31.53,0.0,620.58,-2.28
240.1,-0.18,1.91,1.88,0.03,0.05,0.05,0.1,1191.69,31.54,0.0,620.63,-2.43
240.11,-0.15,1.88,1.89,0.03,0.03,0.03,0.08,1192.16,31.54,0.0,620.85,-2.58
240.12,-0.13,1.88,1.9,0.04,0.03,0.01,0.07,1186.84,31.54,0.0,621.16,-2.68
240.13,-0.11,1.9,1.91,0.05,0.03,-0.0,0.07,1178.1,31.54,0.0,621.47,-2.72
240.14,-0.12,1.94,1.92,0.06,0.04,-0.0,0.07,1172.04,31.54,0.0,621.64,-2.66
240.15,-0.13,1.99,1.93,0.08,0.05,0.01,0.07,1173.1,31.53,0.0,621.63,-2.52
240.16,-0.15,2.02,1.94,0.09,0.06,0.02,0.07,1180.09,31.53,0.0,621.47,-2.34
240.17,-0.18,2.04,1.94,0.1,0.07,0.04,0.07,1187.6,31.52,0.0,621.31,-2.19
240.18,-0.22,2.05,1.94,0.11,0.07,0.06,0.08,1191.03,31.51,0.0,621.27,-2.09
240.19,-0.25,2.05,1.93,0.1,0.08,0.07,0.09,1189.73,31.51,0.0,621.34,-2.07
240.2,-0.27,2.04,1.92,0.09,0.08,0.08,0.09,1186.09,31.5,0.0,621.46,-2.12
240.21,-0.27,2.01,1.91,0.07,0.09,0.09,0.1,1182.81,31.5,0.0,621.56,-2.25
240.22,-0.26,1.98,1.91,0.06,0.08,0.1,0.1,1181.51,31.5,0.0,621.62,-2.41
240.23,-0.24,1.96,1.91,0.04,0.08,0.11,0.11,1183.1,31.51,0.0,621.63,-2.56
240.24,-0.2,1.94,1.91,0.03,0.07,0.1,0.11,1187.49,31.51,0.0,621.64,-2.69
240.25,-0.17,1.93,1.92,0.03,0.06,0.09,0.11,1192.51,31.51,0.0,621.66,-2.78
240.26,-0.13,1.94,1.93,0.03,0.05,0.07,0.11,1194.15,31.51,0.0,621.68,-2.79
240.27,-0.11,1.96,1.94,0.03,0.05,0.04,0.1,1189.88,31.51,0.0,621.72,-2.75
240.28,-0.1,1.99,1.95,0.04,0.06,0.01,0.09,1181.85,31.51,0.0,621.76,-2.65
240.29,-0.1,2.02,1.96,0.06,0.06,-0.01,0.08,1175.78,31.52,0.0,621.82,-2.51
240.3,-0.11,2.04,1.96,0.08,0.06,-0.02,0.08,1175.94,31.52,0.0,621.91,-2.33
240.31,-0.13,2.05,1.96,0.09,0.07,-0.02,0.08,1181.54,31.52,0.0,622.01,-2.17
240.32,-0.16,2.04,1.96,0.11,0.07,-0.01,0.08,1188.02,31.52,0.0,622.11,-2.05
240.33,-0.19,2.02,1.96,0.11,0.07,0.01,0.09,1191.37,31.52,0.0,622.17,-2.0
240.34,-0.23,1.99,1.95,0.11,0.07,0.03,0.09,1190.81,31.52,0.0,622.23,-2.04
240.35,-0.25,1.97,1.94,0.1,0.08,0.05,0.1,1188.08,31.52,0.0,622.34,-2.15
240.36,-0.26,1.95,1.93,0.08,0.08,0.07,0.11,1185.3,31.52,0.0,622.56,-2.33
240.37,-0.25,1.94,1.92,0.06,0.07,0.09,0.12,1183.94,31.52,0.0,622.84,-2.52
240.38,-0.23,1.94,1.91,0.04,0.06,0.1,0.13,1185.04,31.52,0.0,623.08,-2.65
240.39,-0.21,1.95,1.9,0.03,0.05,0.1,0.12,1188.77,31.52,0.0,623.23,-2.67
240.4,-0.17,1.96,1.9,0.02,0.04,0.08,0.11,1193.67,31.52,0.0,623.27,-2.58
240.41,-0.14,1.97,1.9,0.02,0.03,0.07,0.09,1197.22,31.52,0.0,623.28,-2.42
240.42,-0.12,1.98,1.91,0.03,0.03,0.05,0.07,1197.77,31.52,0.0,623.3,-2.24
240.43,-0.1,1.99,1.92,0.03,0.03,0.03,0.05,1195.97,31.52,0.0,623.35,-2.08
240.44,-0.1,1.99,1.93,0.04,0.04,0.02,0.05,1194.35,31.52,0.0,623.43,-2.02
240.45,-0.11,1.98,1.94,0.06,0.05,0.02,0.05,1194.96,31.52,0.0,623.53,-2.06
240.46,-0.13,1.96,1.94,0.08,0.06,0.03,0.06,1197.63,31.52,0.0,623.6,-2.2
240.47,-0.16,1.94,1.95,0.09,0.07,0.04,0.07,1200.48,31.53,0.0,623.61,-2.4
240.48,-0.19,1.93,1.95,0.09,0.08,0.05,0.07,1201.82,31.53,0.0,623.51,-2.61
240.49,-0.22,1.93,1.95,0.09,0.09,0.05,0.08,1201.67,31.54,0.0,623.32,-2.8
240.5,-0.24,1.95,1.94,0.08,0.09,0.06,0.08,1201.62,31.54,0.0,623.0,-2.9
240.51,-0.24,1.97,1.94,0.07,0.09,0.07,0.08,1203.08,31.54,0.0,622.55,-2.88
240.52,-0.23,1.99,1.92,0.05,0.08,0.09,0.08,1205.99,31.53,0.0,622.09,-2.77
240.53,-0.22,2.01,1.91,0.04,0.07,0.09,0.08,1209.27,31.53,0.0,621.88,-2.6
240.54,-0.19,2.03,1.91,0.02,0.05,0.09,0.08,1211.93,31.53,0.0,622.07,-2.43
240.55,-0.16,2.06,1.91,0.01,0.04,0.07,0.08,1213.11,31.52,0.0,622.58,-2.28
240.56,-0.13,2.07,1.92,0.01,0.03,0.04,0.08,1211.78,31.53,0.0,623.26,-2.17
240.57,-0.11,2.09,1.93,0.01,0.02,0.02,0.07,1207.6,31.53,0.0,623.93,-2.08
240.58,-0.1,2.09,1.95,0.03,0.03,0.01,0.07,1202.11,31.54,0.0,624.48,-2.05
240.59,-0.09,2.08,1.96,0.05,0.03,0.0,0.07,1198.1,31.54,0.0,624.88,-2.09
240.6,-0.1,2.05,1.97,0.07,0.04,-0.0,0.07,1197.45,31.54,0.0,625.16,-2.25
240.61,-0.13,2.0,1.98,0.09,0.05,-0.0,0.07,1199.6,31.54,0.0,625.37,-2.47
240.62,-0.15,1.96,1.98,0.11,0.06,0.0,0.07,1202.26,31.53,0.0,625.58,-2.67
240.63,-0.18,1.91,1.97,0.11,0.07,0.01,0.08,1203.38,31.53,0.0,625.85,-2.78
240.64,-0.21,1.88,1.96,0.11,0.08,0.02,0.09,1202.91,31.52,0.0,626.13,-2.8
240.65,-0.23,1.86,1.95,0.1,0.09,0.03,0.09,1202.53,31.52,0.0,626.28,-2.73
240.66,-0.23,1.87,1.94,0.08,0.09,0.04,0.09,1203.78,31.52,0.0,626.2,-2.58
240.67,-0.23,1.88,1.93,0.07,0.08,0.04,0.08,1206.59,31.52,0.0,625.96,-2.41
240.68,-0.21,1.91,1.92,0.05,0.07,0.04,0.07,1209.84,31.53,0.0,625.72,-2.26
240.69,-0.19,1.95,1.92,0.04,0.05,0.05,0.07,1212.44,31.53,0.0,625.61,-2.17
240.7,-0.17,1.99,1.92,0.03,0.04,0.07,0.08,1213.52,31.54,0.0,625.69,-2.15
240.71,-0.14,2.02,1.93,0.03,0.03,0.08,0.09,1212.07,31.55,0.0,625.99,-2.2
240.72,-0.12,2.05,1.94,0.03,0.02,0.08,0.09,1207.75,31.55,0.0,626.5,-2.32
240.73,-0.11,2.05,1.96,0.04,0.02,0.07,0.08,1202.15,31.55,0.0,627.1,-2.47
240.74,-0.11,2.04,1.97,0.05,0.03,0.04,0.07,1198.05,31.54,0.0,627.65,-2.64
240.75,-0.12,1.99,1.97,0.07,0.04,0.02,0.05,1197.33,31.54,0.0,628.07,-2.81
240.76,-0.14,1.93,1.98,0.08,0.05,0.01,0.04,1199.44,31.53,0.0,628.33,-2.94
240.77,-0.16,1.87,1.97,0.09,0.06,0.01,0.04,1202.07,31.52,0.0,628.52,-2.97
240.78,-0.19,1.84,1.97,0.1,0.07,0.02,0.05,1203.18,31.52,0.0,628.73,-2.88
240.79,-0.21,1.84,1.96,0.1,0.09,0.04,0.07,1202.71,31.52,0.0,628.95,-2.69
240.8,-0.23,1.85,1.95,0.09,0.09,0.05,0.08,1202.35,31.52,0.0,629.14,-2.49
240.81,-0.23,1.86,1.94,0.08,0.09,0.05,0.1,1203.63,31.52,0.0,629.26,-2.33
240.82,-0.23,1.88,1.94,0.06,0.08,0.05,0.11,1206.46,31.53,0.0,629.32,-2.25
240.83,-0.22,1.9,1.94,0.05,0.07,0.04,0.11,1209.62,31.53,0.0,629.43,-2.22
240.84,-0.2,1.95,1.94,0.04,0.05,0.04,0.11,1211.96,31.53,0.0,629.68,-2.25
240.85,-0.18,2.01,1.94,0.03,0.03,0.04,0.11,1212.7,31.53,0.0,630.04,-2.3
240.86,-0.16,2.06,1.95,0.02,0.02,0.04,0.1,1211.02,31.53,0.0,630.44,-2.39
240.87,-0.14,2.08,1.95,0.03,0.02,0.02,0.08,1206.75,31.53,0.0,630.83,-2.53
240.88,-0.13,2.07,1.96,0.04,0.02,0.01,0.06,1201.45,31.52,0.0,631.16,-2.68
240.89,-0.13,2.04,1.96,0.05,0.03,-0.01,0.04,1197.89,31.52,0.0,631.44,-2.75
240.9,-0.13,2.0,1.97,0.07,0.04,-0.02,0.03,1197.88,31.52,0.0,631.7,-2.71
240.91,-0.15,1.95,1.97,0.09,0.05,-0.02,0.03,1200.63,31.53,0.0,631.93,-2.57
240.92,-0.17,1.91,1.97,0.1,0.06,-0.01,0.04,1203.41,31.53,0.0,632.14,-2.4
240.93,-0.19,1.87,1.97,0.1,0.07,0.01,0.06,1203.96,31.54,0.0,632.31,-2.26
240.94,-0.21,1.84,1.97,0.1,0.08,0.04,0.08,1202.47,31.54,0.0,632.5,-2.18
240.95,-0.22,1.83,1.96,0.09,0.08,0.06,0.1,1201.24,31.55,0.0,632.81,-2.15
240.96,-0.23,1.84,1.95,0.07,0.08,0.07,0.11,1202.28,31.55,0.0,633.33,-2.17
240.97,-0.22,1.86,1.94,0.06,0.08,0.07,0.13,1205.47,31.55,0.0,633.95,-2.23
240.98,-0.21,1.9,1.93,0.05,0.07,0.07,0.13,1209.26,31.55,0.0,634.45,-2.33
240.99,-0.2,1.96,1.93,0.03,0.06,0.06,0.12,1212.19,31.54,0.0,634.7,-2.49
241.0,-0.18,2.02,1.93,0.02,0.04,0.06,0.11,1213.23,31.54,0.0,634.7,-2.67
241.01,-0.16,2.08,1.94,0.02,0.03,0.05,0.09,1211.35,31.53,0.0,634.64,-2.79
241.02,-0.15,2.1,1.95,0.02,0.03,0.03,0.08,1206.34,31.53,0.0,634.68,-2.82
241.03,-0.14,2.09,1.96,0.03,0.03,0.02,0.06,1199.98,31.53,0.0,634.87,-2.75
241.04,-0.13,2.06,1.97,0.04,0.03,0.0,0.06,1195.42,31.53,0.0,635.22,-2.61
241.05,-0.14,2.02,1.98,0.06,0.04,0.0,0.06,1194.7,31.53,0.0,635.72,-2.45
241.06,-0.15,1.98,1.98,0.08,0.05,0.01,0.06,1197.17,31.53,0.0,636.24,-2.29
241.07,-0.17,1.93,1.98,0.09,0.06,0.02,0.07,1200.2,31.53,0.0,636.66,-2.18
241.08,-0.18,1.88,1.98,0.1,0.07,0.04,0.08,1201.53,31.53,0.0,636.88,-2.15
241.09,-0.2,1.84,1.97,0.1,0.09,0.05,0.08,1200.94,31.53,0.0,636.93,-2.19
241.1,-0.21,1.8,1.96,0.09,0.1,0.07,0.08,1200.03,31.53,0.0,636.86,-2.28
241.11,-0.21,1.78,1.95,0.08,0.1,0.09,0.1,1200.32,31.53,0.0,636.75,-2.42
241.12,-0.21,1.78,1.94,0.07,0.09,0.12,0.12,1202.1,31.53,0.0,636.63,-2.56
241.13,-0.21,1.8,1.93,0.05,0.08,0.13,0.13,1204.75,31.53,0.0,636.47,-2.68
241.14,-0.2,1.85,1.93,0.04,0.06,0.13,0.14,1207.54,31.53,0.0,636.22,-2.77
241.15,-0.19,1.91,1.93,0.03,0.04,0.12,0.12,1209.48,31.53,0.0,635.96,-2.79
241.16,-0.18,1.97,1.94,0.03,0.03,0.09,0.1,1209.21,31.53,0.0,635.82,-2.74
241.17,-0.16,2.02,1.95,0.03,0.03,0.04,0.08,1206.08,31.54,0.0,635.91,-2.59
241.18,-0.15,2.05,1.95,0.04,0.03,0.0,0.06,1201.43,31.54,0.0,636.17,-2.39
241.19,-0.14,2.06,1.96,0.05,0.04,-0.02,0.04,1197.95,31.54,0.0,636.47,-2.21
241.2,-0.15,2.04,1.96,0.07,0.05,-0.02,0.03,1197.57,31.54,0.0,636.7,-2.11
241.21,-0.16,2.0,1.97,0.08,0.05,-0.0,0.03,1199.81,31.53,0.0,636.79,-2.08
241.22,-0.17,1.95,1.97,0.1,0.06,0.03,0.04,1202.42,31.53,0.0,636.79,-2.14
241.23,-0.19,1.89,1.96,0.1,0.07,0.06,0.05,1203.45,31.52,0.0,636.72,-2.24
241.24,-0.2,1.83,1.96,0.1,0.08,0.09,0.07,1202.88,31.52,0.0,636.61,-2.37
241.25,-0.21,1.79,1.95,0.09,0.08,0.1,0.09,1202.44,31.52,0.0,636.48,-2.49
241.26,-0.21,1.78,1.94,0.08,0.08,0.11,0.1,1203.68,31.52,0.0,636.3,-2.59
