시간 [s],진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
236.49,-0.23,2.64,2.52,0.08,0.08,0.06,0.1,1430.4,31.35,0.0,898.2,-2.68
236.5,-0.22,2.59,2.51,0.07,0.08,0.08,0.12,1438.17,31.35,0.0,898.02,-2.82
236.51,-0.21,2.57,2.51,0.06,0.08,0.09,0.14,1443.44,31.35,0.0,897.73,-2.88
236.52,-0.23,2.59,2.5,0.04,0.07,0.1,0.15,1446.87,31.35,0.0,897.37,-2.81
236.53,-0.26,2.64,2.5,0.02,0.07,0.1,0.16,1448.29,31.35,0.0,897.02,-2.66
236.54,-0.28,2.71,2.51,0.01,0.06,0.09,0.16,1445.96,31.34,0.0,896.83,-2.45
236.55,-0.3,2.79,2.51,0.0,0.04,0.07,0.16,1438.89,31.34,0.0,896.88,-2.22
236.56,-0.3,2.86,2.53,0.0,0.03,0.05,0.14,1429.71,31.35,0.0,897.11,-2.04
236.59,-0.27,3.05,2.58,0.04,0.02,-0.01,0.1,1431.85,31.35,0.0,898.03,-2.06
236.6,-0.27,3.06,2.6,0.06,0.03,-0.01,0.1,1441.81,31.34,0.0,898.2,-2.26
236.61,-0.27,3.02,2.6,0.07,0.05,0.0,0.1,1451.46,31.34,0.0,898.29,-2.5
236.62,-0.28,2.94,2.61,0.09,0.06,0.02,0.1,1458.89,31.33,0.0,898.3,-2.74
236.63,-0.28,2.86,2.61,0.09,0.07,0.05,0.11,1463.86,31.33,0.0,898.22,-2.9
236.64,-0.26,2.8,2.61,0.09,0.08,0.08,0.12,1467.0,31.33,0.0,898.05,-2.94
236.65,-0.23,2.77,2.6,0.08,0.08,0.1,0.14,1468.18,31.33,0.0,897.84,-2.87
236.66,-0.2,2.78,2.6,0.07,0.08,0.11,0.15,1465.75,31.34,0.0,897.68,-2.73
236.67,-0.19,2.83,2.61,0.05,0.07,0.12,0.16,1458.79,31.34,0.0,897.6,-2.55
236.68,-0.21,2.88,2.61,0.04,0.06,0.12,0.16,1449.98,31.34,0.0,897.62,-2.38
236.69,-0.23,2.9,2.61,0.02,0.05,0.1,0.16,1444.97,31.34,0.0,897.72,-2.26
236.7,-0.24,2.88,2.62,0.01,0.03,0.09,0.15,1447.55,31.34,0.0,897.89,-2.21
236.71,-0.24,2.81,2.64,0.01,0.02,0.07,0.13,1456.6,31.33,0.0,898.05,-2.23
236.72,-0.25,2.75,2.65,0.01,0.01,0.05,0.12,1468.25,31.33,0.0,898.09,-2.3
236.73,-0.27,2.71,2.67,0.02,0.01,0.02,0.11,1478.93,31.33,0.0,897.93,-2.4
236.74,-0.29,2.71,2.69,0.03,0.02,-0.01,0.11,1485.74,31.34,0.0,897.64,-2.52
236.75,-0.31,2.73,2.71,0.04,0.03,-0.02,0.11,1486.0,31.34,0.0,897.31,-2.63
236.76,-0.32,2.77,2.72,0.06,0.05,-0.01,0.11,1479.04,31.34,0.0,897.06,-2.73
236.77,-0.31,2.8,2.73,0.07,0.06,0.01,0.1,1468.5,31.34,0.0,896.91,-2.79
236.78,-0.3,2.81,2.73,0.08,0.07,0.05,0.1,1460.95,31.34,0.0,896.86,-2.81
236.79,-0.28,2.8,2.72,0.08,0.08,0.08,0.1,1460.87,31.33,0.0,896.88,-2.76
236.8,-0.28,2.77,2.72,0.07,0.08,0.11,0.12,1467.68,31.33,0.0,896.96,-2.67
236.81,-0.27,2.74,2.71,0.06,0.08,0.13,0.13,1477.73,31.32,0.0,897.1,-2.55
236.82,-0.25,2.72,2.71,0.04,0.07,0.14,0.15,1487.46,31.32,0.0,897.31,-2.4
236.83,-0.23,2.71,2.71,0.02,0.06,0.15,0.16,1494.84,31.32,0.0,897.54,-2.25
236.84,-0.22,2.73,2.71,0.01,0.05,0.14,0.17,1499.82,31.32,0.0,897.7,-2.16
236.85,-0.23,2.76,2.72,0.0,0.04,0.11,0.17,1503.24,31.32,0.0,897.71,-2.14
236.86,-0.26,2.8,2.73,0.0,0.03,0.09,0.17,1504.91,31.33,0.0,897.6,-2.2
236.87,-0.29,2.83,2.75,0.01,0.03,0.06,0.17,1502.89,31.34,0.0,897.44,-2.32
236.88,-0.3,2.84,2.77,0.03,0.02,0.05,0.15,1496.03,31.34,0.0,897.31,-2.5
236.89,-0.29,2.85,2.78,0.04,0.03,0.05,0.14,1486.74,31.34,0.0,897.25,-2.69
236.9,-0.29,2.86,2.8,0.06,0.04,0.05,0.12,1479.97,31.34,0.0,897.33,-2.8
236.91,-0.29,2.89,2.81,0.08,0.05,0.04,0.1,1479.19,31.34,0.0,897.58,-2.79
236.92,-0.29,2.92,2.81,0.09,0.06,0.02,0.1,1484.09,31.34,0.0,897.89,-2.68
236.93,-0.3,2.95,2.82,0.09,0.07,0.01,0.09,1492.27,31.34,0.0,898.12,-2.52
236.94,-0.28,2.94,2.82,0.09,0.08,0.02,0.1,1501.16,31.35,0.0,898.14,-2.34
236.95,-0.25,2.91,2.81,0.09,0.08,0.05,0.12,1508.78,31.35,0.0,898.02,-2.2
236.96,-0.24,2.88,2.81,0.08,0.08,0.08,0.14,1514.23,31.35,0.0,897.92,-2.13
236.97,-0.25,2.87,2.81,0.06,0.07,0.1,0.16,1517.59,31.33,0.0,898.0,-2.14
236.98,-0.29,2.89,2.81,0.04,0.06,0.11,0.17,1518.32,31.32,0.0,898.22,-2.22
236.99,-0.33,2.91,2.82,0.03,0.05,0.09,0.18,1514.33,31.3,0.0,898.35,-2.33
237.0,-0.34,2.92,2.83,0.02,0.04,0.06,0.19,1504.54,31.29,0.0,898.26,-2.43
237.01,-0.32,2.92,2.84,0.02,0.03,0.03,0.18,1492.1,31.3,0.0,897.98,-2.5
237.02,-0.3,2.93,2.85,0.03,0.02,0.0,0.17,1483.08,31.3,0.0,897.79,-2.54
237.03,-0.29,2.95,2.86,0.04,0.02,-0.01,0.15,1481.6,31.3,0.0,897.88,-2.54
237.04,-0.29,2.97,2.88,0.04,0.02,0.0,0.13,1487.0,31.3,0.0,898.23,-2.51
237.05,-0.29,2.99,2.89,0.06,0.03,0.02,0.12,1495.68,31.3,0.0,898.67,-2.43
237.06,-0.27,2.98,2.89,0.07,0.04,0.04,0.11,1504.1,31.29,0.0,899.04,-2.32
237.07,-0.24,2.95,2.89,0.08,0.05,0.05,0.11,1510.35,31.29,0.0,899.24,-2.19
237.08,-0.22,2.92,2.89,0.09,0.06,0.07,0.12,1514.38,31.29,0.0,899.25,-2.09
237.09,-0.24,2.92,2.89,0.1,0.07,0.1,0.14,1517.03,31.29,0.0,899.08,-2.04
237.1,-0.28,2.93,2.89,0.09,0.08,0.12,0.16,1517.87,31.29,0.0,898.83,-2.06
237.11,-0.31,2.96,2.89,0.08,0.08,0.14,0.18,1514.36,31.29,0.0,898.61,-2.14
237.12,-0.32,2.98,2.88,0.06,0.07,0.15,0.19,1504.94,31.3,0.0,898.49,-2.29
237.13,-0.31,2.99,2.87,0.04,0.07,0.14,0.19,1492.46,31.32,0.0,898.46,-2.47
237.14,-0.28,3.0,2.86,0.02,0.06,0.12,0.19,1482.72,31.32,0.0,898.36,-2.61
237.15,-0.27,3.01,2.86,0.01,0.05,0.1,0.17,1479.81,31.33,0.0,898.07,-2.68
