시간 [s],진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
25.43,-0.16,1.07,0.94,0.1,0.07,0.11,0.07,856.69,31.54,0.0,0.1,-2.22
25.44,-0.18,1.07,0.94,0.1,0.08,0.12,0.08,859.63,31.55,0.0,0.5,-2.15
25.45,-0.18,1.05,0.94,0.1,0.09,0.14,0.09,863.69,31.55,0.0,0.8,-2.13
25.46,-0.18,1.04,0.94,0.09,0.09,0.16,0.1,868.37,31.55,0.0,0.88,-2.17
25.47,-0.17,1.04,0.93,0.08,0.09,0.17,0.11,873.08,31.55,0.0,0.68,-2.27
25.48,-0.16,1.04,0.92,0.06,0.08,0.17,0.12,877.55,31.54,0.0,0.3,-2.42
25.49,-0.16,1.04,0.92,0.05,0.07,0.17,0.13,882.42,31.54,0.0,-0.1,-2.56
25.5,-0.16,1.03,0.92,0.04,0.06,0.16,0.14,888.3,31.54,0.0,-0.38,-2.64
25.51,-0.17,1.02,0.93,0.03,0.05,0.16,0.14,894.39,31.54,0.0,-0.5,-2.66
25.52,-0.19,1.02,0.94,0.03,0.03,0.15,0.14,899.0,31.54,0.0,-0.43,-2.6
25.53,-0.19,1.04,0.95,0.04,0.03,0.14,0.13,901.04,31.54,0.0,-0.19,-2.45
25.54,-0.19,1.08,0.96,0.04,0.03,0.13,0.11,900.65,31.55,0.0,0.1,-2.26
25.55,-0.18,1.13,0.97,0.06,0.03,0.13,0.1,898.72,31.56,0.0,0.33,-2.09
25.56,-0.16,1.2,0.99,0.07,0.04,0.13,0.09,896.2,31.56,0.0,0.4,-2.0
25.57,-0.14,1.26,1.0,0.09,0.05,0.13,0.08,894.25,31.56,0.0,0.34,-1.98
25.58,-0.13,1.29,1.0,0.1,0.06,0.13,0.08,894.26,31.55,0.0,0.27,-2.06
25.59,-0.12,1.28,1.01,0.1,0.07,0.14,0.08,896.9,31.53,0.0,0.28,-2.2
25.6,-0.13,1.23,1.0,0.1,0.08,0.15,0.09,900.52,31.52,0.0,0.33,-2.38
25.61,-0.13,1.17,1.0,0.09,0.08,0.15,0.1,901.34,31.52,0.0,0.2,-2.55
25.62,-0.15,1.1,0.99,0.07,0.08,0.15,0.1,896.82,31.53,0.0,-0.27,-2.68
25.63,-0.16,1.05,0.99,0.06,0.08,0.15,0.11,888.68,31.54,0.0,-0.94,-2.75
