시간 [s],진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
217.98,-0.24,5.57,5.69,0.07,0.07,-0.0,0.09,1426.26,30.26,0.0,1059.52,-2.45
217.99,-0.21,5.56,5.69,0.07,0.08,0.02,0.08,1430.21,30.26,0.0,1059.1,-2.4
218.0,-0.18,5.57,5.68,0.06,0.08,0.04,0.07,1429.73,30.26,0.0,1058.71,-2.39
218.08,-0.15,5.78,5.79,0.01,0.01,-0.01,0.08,1428.69,30.3,0.0,1059.69,-2.82
218.09,-0.22,5.82,5.82,0.03,0.02,-0.04,0.13,1436.81,30.29,0.0,1060.0,-2.74
218.1,-0.28,5.88,5.84,0.05,0.03,-0.06,0.17,1443.58,30.29,0.0,1059.9,-2.66
218.11,-0.32,5.95,5.85,0.06,0.04,-0.07,0.19,1448.14,30.28,0.0,1059.45,-2.59
218.12,-0.34,6.01,5.86,0.08,0.05,-0.08,0.2,1449.45,30.28,0.0,1058.93,-2.55
218.13,-0.34,6.04,5.87,0.08,0.06,-0.07,0.18,1447.3,30.27,0.0,1058.56,-2.55
218.14,-0.32,6.03,5.88,0.07,0.07,-0.05,0.15,1443.38,30.27,0.0,1058.44,-2.58
218.15,-0.3,5.99,5.89,0.06,0.07,-0.04,0.12,1440.73,30.26,0.0,1058.56,-2.65
218.16,-0.3,5.93,5.9,0.05,0.07,-0.03,0.12,1441.46,30.27,0.0,1058.87,-2.76
218.17,-0.29,5.86,5.89,0.03,0.07,-0.04,0.13,1445.36,30.27,0.0,1059.2,-2.87
218.18,-0.28,5.84,5.9,0.02,0.06,-0.05,0.14,1450.99,30.27,0.0,1059.33,-2.93
218.19,-0.25,5.87,5.91,0.01,0.05,-0.06,0.14,1456.83,30.28,0.0,1059.1,-2.91
218.2,-0.21,5.95,5.93,-0.0,0.04,-0.07,0.13,1461.24,30.28,0.0,1058.66,-2.81
218.21,-0.17,6.05,5.96,-0.0,0.03,-0.07,0.12,1462.32,30.29,0.0,1058.34,-2.69
218.22,-0.16,6.12,5.99,0.0,0.02,-0.07,0.1,1459.32,30.29,0.0,1058.39,-2.57
218.23,-0.16,6.16,6.03,0.01,0.02,-0.07,0.1,1453.82,30.3,0.0,1058.79,-2.48
218.24,-0.17,6.14,6.06,0.03,0.02,-0.06,0.09,1448.83,30.3,0.0,1059.38,-2.43
218.25,-0.17,6.08,6.08,0.05,0.03,-0.05,0.08,1446.53,30.3,0.0,1059.99,-2.4
218.26,-0.16,5.99,6.1,0.06,0.04,-0.03,0.06,1447.59,30.29,0.0,1060.48,-2.39
218.27,-0.17,5.92,6.1,0.08,0.04,-0.01,0.06,1452.1,30.28,0.0,1060.78,-2.43
218.28,-0.21,5.89,6.1,0.08,0.05,-0.0,0.08,1459.48,30.28,0.0,1060.91,-2.5
218.29,-0.28,5.9,6.09,0.08,0.06,0.01,0.11,1467.99,30.27,0.0,1060.87,-2.61
218.3,-0.34,5.93,6.09,0.07,0.07,0.01,0.14,1475.84,30.26,0.0,1060.69,-2.71
218.31,-0.36,5.98,6.09,0.05,0.07,0.01,0.15,1482.0,30.26,0.0,1060.36,-2.8
218.32,-0.34,6.03,6.1,0.04,0.06,0.01,0.14,1485.66,30.26,0.0,1059.99,-2.84
218.33,-0.31,6.07,6.1,0.02,0.05,-0.0,0.12,1485.85,30.27,0.0,1059.67,-2.82
218.34,-0.29,6.12,6.11,0.01,0.03,-0.02,0.1,1482.41,30.27,0.0,1059.47,-2.74
218.35,-0.29,6.16,6.11,-0.0,0.01,-0.03,0.08,1476.93,30.28,0.0,1059.42,-2.62
218.36,-0.27,6.2,6.14,-0.01,-0.01,-0.05,0.09,1471.89,30.28,0.0,1059.51,-2.49
218.37,-0.21,6.23,6.19,-0.0,-0.01,-0.07,0.1,1469.01,30.28,0.0,1059.72,-2.4
218.38,-0.15,6.26,6.26,0.01,-0.01,-0.08,0.13,1469.06,30.28,0.0,1059.97,-2.36
218.39,-0.1,6.3,6.32,0.02,0.0,-0.08,0.15,1472.65,30.28,0.0,1060.17,-2.38
218.4,-0.1,6.35,6.35,0.04,0.02,-0.07,0.16,1479.62,30.28,0.0,1060.28,-2.49
218.41,-0.15,6.39,6.37,0.06,0.04,-0.05,0.15,1488.28,30.28,0.0,1060.25,-2.63
218.42,-0.21,6.42,6.37,0.07,0.06,-0.02,0.13,1496.64,30.29,0.0,1060.01,-2.77
218.43,-0.25,6.41,6.36,0.08,0.07,0.01,0.11,1503.4,30.29,0.0,1059.57,-2.86
218.44,-0.27,6.36,6.35,0.08,0.08,0.03,0.1,1507.49,30.29,0.0,1059.03,-2.88
218.45,-0.28,6.32,6.35,0.07,0.08,0.04,0.1,1507.68,30.3,0.0,1058.62,-2.85
218.46,-0.3,6.28,6.34,0.05,0.08,0.04,0.11,1503.71,30.29,0.0,1058.47,-2.77
218.47,-0.32,6.26,6.33,0.04,0.07,0.03,0.12,1497.28,30.28,0.0,1058.55,-2.65
218.48,-0.31,6.28,6.34,0.02,0.06,0.0,0.14,1490.96,30.28,0.0,1058.66,-2.52
218.49,-0.27,6.33,6.35,0.01,0.04,-0.02,0.15,1486.61,30.28,0.0,1058.62,-2.37
218.5,-0.2,6.4,6.38,0.01,0.02,-0.06,0.16,1485.11,30.28,0.0,1058.45,-2.24
218.51,-0.14,6.47,6.4,0.0,0.01,-0.09,0.15,1486.99,30.29,0.0,1058.27,-2.18
218.52,-0.14,6.54,6.42,0.01,0.0,-0.13,0.14,1492.01,30.29,0.0,1058.22,-2.22
