시간 [s],진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
90.66,-0.18,1.64,1.62,0.01,0.03,0.11,0.17,1144.12,30.16,0.0,332.05,-2.89
90.67,-0.17,1.71,1.64,0.03,0.03,0.11,0.15,1151.23,30.16,0.0,332.01,-2.82
90.68,-0.16,1.8,1.66,0.04,0.03,0.11,0.13,1155.78,30.17,0.0,331.86,-2.67
90.69,-0.16,1.88,1.66,0.06,0.04,0.11,0.12,1157.45,30.18,0.0,331.66,-2.47
90.7,-0.17,1.93,1.66,0.08,0.05,0.11,0.11,1157.45,30.18,0.0,331.46,-2.27
90.71,-0.19,1.95,1.66,0.09,0.06,0.12,0.12,1158.41,30.18,0.0,331.35,-2.14
90.72,-0.21,1.93,1.65,0.1,0.07,0.13,0.13,1162.23,30.18,0.0,331.38,-2.11
90.73,-0.25,1.88,1.65,0.09,0.08,0.14,0.15,1167.41,30.17,0.0,331.49,-2.16
90.74,-0.27,1.82,1.65,0.08,0.09,0.15,0.16,1169.37,30.16,0.0,331.54,-2.27
90.75,-0.28,1.77,1.64,0.06,0.09,0.16,0.17,1164.87,30.15,0.0,331.44,-2.41
90.76,-0.27,1.73,1.64,0.04,0.08,0.18,0.18,1155.84,30.15,0.0,331.21,-2.54
90.77,-0.25,1.71,1.64,0.02,0.08,0.18,0.18,1148.01,30.14,0.0,331.0,-2.64
90.78,-0.21,1.72,1.65,0.01,0.06,0.17,0.17,1145.88,30.15,0.0,330.89,-2.69
90.79,-0.16,1.74,1.66,0.01,0.05,0.15,0.17,1149.11,30.15,0.0,330.94,-2.7
90.8,-0.13,1.77,1.67,0.01,0.03,0.13,0.16,1153.64,30.16,0.0,331.16,-2.65
90.81,-0.11,1.78,1.68,0.02,0.03,0.12,0.15,1155.71,30.17,0.0,331.54,-2.56
90.82,-0.11,1.77,1.69,0.03,0.03,0.11,0.14,1155.15,30.18,0.0,331.97,-2.45
90.83,-0.12,1.78,1.71,0.04,0.03,0.12,0.14,1155.24,30.18,0.0,332.29,-2.35
90.84,-0.15,1.8,1.72,0.06,0.04,0.13,0.14,1158.89,30.18,0.0,332.38,-2.28
90.85,-0.18,1.84,1.73,0.07,0.06,0.14,0.15,1166.03,30.18,0.0,332.27,-2.26
90.86,-0.22,1.88,1.73,0.08,0.08,0.16,0.15,1174.9,30.17,0.0,332.04,-2.31
90.87,-0.26,1.92,1.73,0.09,0.09,0.19,0.16,1183.69,30.17,0.0,331.74,-2.44
90.88,-0.3,1.94,1.73,0.08,0.1,0.22,0.17,1190.73,30.17,0.0,331.47,-2.6
90.89,-0.32,1.94,1.72,0.06,0.1,0.23,0.18,1194.85,30.17,0.0,331.22,-2.74
90.9,-0.32,1.91,1.72,0.05,0.1,0.23,0.18,1195.86,30.16,0.0,331.0,-2.82
90.91,-0.3,1.87,1.71,0.03,0.1,0.2,0.19,1194.82,30.16,0.0,330.84,-2.84
90.92,-0.26,1.82,1.71,0.01,0.09,0.17,0.19,1193.64,30.16,0.0,330.82,-2.77
90.93,-0.22,1.78,1.72,0.0,0.07,0.14,0.18,1193.75,30.16,0.0,330.97,-2.65
90.94,-0.19,1.75,1.73,-0.0,0.05,0.1,0.18,1194.71,30.16,0.0,331.24,-2.51
90.95,-0.16,1.76,1.74,0.0,0.03,0.08,0.17,1194.25,30.17,0.0,331.53,-2.41
90.96,-0.15,1.79,1.76,0.01,0.02,0.07,0.16,1190.62,30.18,0.0,331.75,-2.37
90.97,-0.14,1.85,1.78,0.02,0.03,0.07,0.14,1185.32,30.18,0.0,331.86,-2.4
90.98,-0.15,1.9,1.79,0.04,0.03,0.07,0.13,1182.64,30.19,0.0,331.84,-2.46
90.99,-0.17,1.92,1.8,0.06,0.05,0.07,0.13,1185.67,30.19,0.0,331.7,-2.5
91.0,-0.2,1.91,1.8,0.08,0.06,0.07,0.13,1193.5,30.19,0.0,331.49,-2.53
91.01,-0.23,1.88,1.8,0.09,0.07,0.08,0.14,1202.8,30.19,0.0,331.35,-2.57
91.02,-0.25,1.83,1.8,0.09,0.08,0.11,0.15,1210.61,30.18,0.0,331.35,-2.66
91.03,-0.28,1.78,1.8,0.09,0.09,0.14,0.16,1215.29,30.17,0.0,331.45,-2.78
91.04,-0.29,1.74,1.8,0.08,0.09,0.17,0.18,1216.3,30.16,0.0,331.57,-2.84
91.05,-0.29,1.73,1.79,0.06,0.08,0.19,0.18,1214.15,30.16,0.0,331.63,-2.81
91.06,-0.27,1.73,1.78,0.04,0.07,0.19,0.19,1210.39,30.16,0.0,331.59,-2.7
91.07,-0.25,1.74,1.78,0.03,0.06,0.18,0.19,1207.02,30.17,0.0,331.45,-2.54
91.08,-0.22,1.75,1.79,0.02,0.05,0.16,0.18,1205.34,30.17,0.0,331.21,-2.38
91.09,-0.18,1.75,1.8,0.01,0.04,0.14,0.18,1204.82,30.18,0.0,330.95,-2.25
91.1,-0.16,1.77,1.81,0.01,0.03,0.13,0.17,1203.08,30.18,0.0,330.78,-2.21
91.11,-0.14,1.81,1.83,0.01,0.03,0.12,0.17,1198.27,30.18,0.0,330.75,-2.25
91.12,-0.13,1.87,1.85,0.02,0.03,0.12,0.16,1191.83,30.18,0.0,330.87,-2.36
91.13,-0.14,1.92,1.87,0.04,0.04,0.13,0.15,1187.87,30.17,0.0,331.13,-2.51
91.14,-0.16,1.93,1.88,0.05,0.05,0.14,0.14,1189.39,30.17,0.0,331.51,-2.69
91.15,-0.19,1.91,1.88,0.07,0.06,0.15,0.14,1195.63,30.17,0.0,331.87,-2.85
91.16,-0.22,1.85,1.88,0.08,0.08,0.16,0.14,1203.53,30.17,0.0,332.03,-2.94
91.17,-0.25,1.78,1.87,0.09,0.09,0.16,0.14,1210.31,30.17,0.0,331.87,-2.93
91.18,-0.27,1.72,1.87,0.08,0.1,0.16,0.15,1214.54,30.17,0.0,331.47,-2.84
91.19,-0.28,1.68,1.86,0.07,0.1,0.16,0.16,1215.99,30.18,0.0,331.08,-2.7
91.2,-0.27,1.67,1.85,0.06,0.09,0.17,0.18,1215.28,30.18,0.0,330.87,-2.56
91.21,-0.25,1.7,1.84,0.04,0.09,0.17,0.19,1213.41,30.18,0.0,330.85,-2.43
91.22,-0.23,1.73,1.84,0.03,0.07,0.17,0.2,1211.3,30.18,0.0,330.93,-2.34
91.23,-0.19,1.76,1.84,0.02,0.06,0.16,0.2,1209.54,30.18,0.0,330.98,-2.29
91.24,-0.16,1.79,1.85,0.01,0.05,0.13,0.2,1207.79,30.18,0.0,330.97,-2.28
91.25,-0.14,1.83,1.86,0.01,0.04,0.1,0.19,1204.4,30.19,0.0,330.96,-2.31
91.26,-0.12,1.91,1.88,0.02,0.04,0.08,0.17,1198.2,30.19,0.0,331.03,-2.38
91.27,-0.11,1.99,1.89,0.03,0.04,0.06,0.15,1190.95,30.19,0.0,331.15,-2.49
91.28,-0.12,2.04,1.9,0.04,0.04,0.05,0.14,1186.77,30.18,0.0,331.29,-2.6
91.29,-0.14,2.03,1.91,0.06,0.05,0.06,0.13,1188.47,30.18,0.0,331.4,-2.71
91.3,-0.16,1.97,1.91,0.08,0.06,0.08,0.13,1195.07,30.17,0.0,331.43,-2.79
91.31,-0.19,1.89,1.91,0.09,0.07,0.11,0.14,1203.32,30.16,0.0,331.36,-2.78
91.32,-0.22,1.82,1.9,0.09,0.08,0.14,0.15,1210.36,30.16,0.0,331.18,-2.67
91.33,-0.24,1.77,1.89,0.09,0.09,0.16,0.16,1214.7,30.17,0.0,330.92,-2.49
91.34,-0.25,1.76,1.88,0.07,0.1,0.18,0.17,1216.16,30.17,0.0,330.64,-2.33
91.35,-0.25,1.77,1.87,0.05,0.1,0.19,0.19,1215.39,30.17,0.0,330.38,-2.24
91.36,-0.24,1.79,1.86,0.03,0.09,0.2,0.2,1213.45,30.17,0.0,330.19,-2.23
91.37,-0.22,1.81,1.86,0.02,0.08,0.19,0.2,1211.29,30.16,0.0,330.17,-2.3
91.38,-0.19,1.82,1.85,0.01,0.07,0.18,0.2,1209.51,30.15,0.0,330.38,-2.4
91.39,-0.16,1.83,1.86,0.01,0.05,0.15,0.19,1207.77,30.13,0.0,330.73,-2.53
91.4,-0.13,1.86,1.86,0.01,0.03,0.13,0.18,1204.4,30.13,0.0,331.09,-2.64
91.41,-0.11,1.92,1.88,0.02,0.02,0.1,0.16,1198.22,30.12,0.0,331.37,-2.72
91.42,-0.1,2.0,1.89,0.04,0.02,0.08,0.14,1190.98,30.12,0.0,331.5,-2.76
91.43,-0.1,2.06,1.9,0.06,0.03,0.08,0.13,1186.82,30.12,0.0,331.49,-2.73
91.44,-0.12,2.05,1.91,0.08,0.04,0.09,0.12,1188.55,30.12,0.0,331.34,-2.62
91.45,-0.15,1.98,1.91,0.1,0.05,0.11,0.12,1195.19,30.13,0.0,331.15,-2.45
91.46,-0.17,1.91,1.91,0.11,0.06,0.13,0.13,1203.51,30.13,0.0,331.04,-2.28
91.47,-0.2,1.85,1.9,0.11,0.07,0.14,0.15,1210.59,30.12,0.0,331.1,-2.14
91.48,-0.22,1.82,1.89,0.11,0.09,0.15,0.16,1214.97,30.12,0.0,331.26,-2.07
91.49,-0.23,1.82,1.88,0.09,0.09,0.14,0.18,1216.44,30.11,0.0,331.37,-2.08
91.5,-0.23,1.83,1.88,0.06,0.09,0.13,0.19,1215.66,30.11,0.0,331.29,-2.16
91.51,-0.22,1.84,1.87,0.04,0.08,0.12,0.2,1213.69,30.11,0.0,331.05,-2.29
