시간 [s],진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],#NAME?,외부유량 [lpm],내부유량 [lpm
53.97,-0.16,5.41,5.4,-0.02,0.02,0.09,0.23,858.21,29.16,0.0,790.57,-2.98
53.98,-0.17,5.47,5.43,-0.02,0.0,0.07,0.22,863.63,29.16,0.0,790.33,-3.14
53.99,-0.17,5.51,5.47,-0.01,-0.02,0.05,0.2,868.27,29.16,0.0,790.06,-3.19
54.0,-0.16,5.54,5.51,0.0,-0.02,0.04,0.17,870.68,29.16,0.0,789.91,-3.09
54.01,-0.14,5.56,5.54,0.02,0.0,0.04,0.14,870.97,29.16,0.0,789.89,-2.88
54.02,-0.12,5.56,5.57,0.03,0.02,0.05,0.12,870.59,29.16,0.0,789.96,-2.63
54.03,-0.12,5.52,5.59,0.05,0.04,0.06,0.1,870.92,29.17,0.0,790.05,-2.4
54.04,-0.13,5.47,5.6,0.06,0.07,0.08,0.1,872.18,29.18,0.0,790.12,-2.24
54.05,-0.15,5.43,5.62,0.07,0.09,0.11,0.1,873.69,29.18,0.0,790.14,-2.18
54.06,-0.16,5.4,5.62,0.07,0.1,0.12,0.11,874.73,29.18,0.0,790.11,-2.24
54.07,-0.17,5.4,5.63,0.07,0.1,0.13,0.11,874.71,29.18,0.0,790.03,-2.39
54.08,-0.17,5.42,5.62,0.05,0.09,0.12,0.12,872.84,29.17,0.0,789.93,-2.59
54.09,-0.16,5.47,5.62,0.04,0.08,0.09,0.14,868.83,29.17,0.0,789.81,-2.82
54.1,-0.16,5.52,5.61,0.01,0.07,0.05,0.16,864.28,29.17,0.0,789.71,-3.03
54.11,-0.17,5.57,5.61,0.0,0.05,0.01,0.17,862.44,29.17,0.0,789.7,-3.12
54.12,-0.19,5.6,5.62,-0.01,0.03,-0.01,0.18,865.4,29.17,0.0,789.81,-3.06
54.13,-0.2,5.62,5.64,-0.01,0.01,-0.03,0.18,871.57,29.18,0.0,790.0,-2.87
54.14,-0.21,5.63,5.67,0.0,0.0,-0.03,0.17,876.53,29.18,0.0,790.19,-2.64
54.15,-0.18,5.66,5.7,0.01,0.0,-0.04,0.15,876.94,29.19,0.0,790.32,-2.43
54.16,-0.14,5.7,5.73,0.03,0.01,-0.04,0.13,873.82,29.19,0.0,790.34,-2.29
54.17,-0.11,5.74,5.75,0.05,0.03,-0.04,0.12,871.99,29.18,0.0,790.15,-2.25
54.18,-0.1,5.78,5.76,0.07,0.05,-0.03,0.11,875.37,29.18,0.0,789.74,-2.31
54.19,-0.12,5.81,5.77,0.08,0.07,0.0,0.11,883.36,29.17,0.0,789.23,-2.43
