시간 [s],진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
42.67,-0.15,4.56,4.51,-0.0,0.04,0.12,0.2,861.24,28.24,0.0,-0.93,-2.29
42.68,-0.12,4.59,4.53,-0.01,0.02,0.11,0.19,871.32,28.24,0.0,-1.22,-2.33
42.69,-0.1,4.62,4.56,-0.01,0.01,0.11,0.17,879.14,28.24,0.0,-1.44,-2.41
42.7,-0.09,4.65,4.58,0.0,0.02,0.12,0.16,883.46,28.23,0.0,-1.51,-2.48
42.71,-0.08,4.66,4.61,0.02,0.02,0.12,0.14,884.06,28.22,0.0,-1.39,-2.57
42.72,-0.07,4.64,4.63,0.04,0.03,0.12,0.13,881.6,28.21,0.0,-1.06,-2.66
42.73,-0.07,4.6,4.65,0.07,0.04,0.12,0.12,877.82,28.2,0.0,-0.62,-2.75
42.74,-0.06,4.57,4.67,0.09,0.06,0.12,0.11,874.93,28.19,0.0,-0.18,-2.8
42.75,-0.06,4.58,4.69,0.09,0.07,0.15,0.11,874.31,28.19,0.0,0.18,-2.81
42.76,-0.07,4.62,4.7,0.09,0.09,0.18,0.13,875.07,28.19,0.0,0.41,-2.77
42.77,-0.09,4.66,4.71,0.08,0.1,0.22,0.15,874.15,28.19,0.0,0.48,-2.68
42.78,-0.12,4.68,4.71,0.07,0.1,0.24,0.18,869.21,28.19,0.0,0.41,-2.54
42.79,-0.15,4.67,4.72,0.05,0.1,0.26,0.21,861.96,28.2,0.0,0.22,-2.39
42.8,-0.16,4.66,4.72,0.03,0.09,0.26,0.23,857.3,28.2,0.0,-0.04,-2.31
42.81,-0.15,4.67,4.73,0.02,0.07,0.24,0.23,858.86,28.21,0.0,-0.38,-2.33
42.82,-0.13,4.7,4.75,-0.0,0.05,0.22,0.23,865.56,28.22,0.0,-0.69,-2.46
42.83,-0.1,4.76,4.78,-0.01,0.03,0.19,0.21,873.02,28.22,0.0,-0.85,-2.65
42.84,-0.07,4.84,4.81,-0.01,0.02,0.17,0.19,877.51,28.23,0.0,-0.78,-2.88
42.85,-0.07,4.93,4.85,0.0,0.02,0.15,0.18,878.89,28.22,0.0,-0.52,-3.08
42.86,-0.08,5.01,4.88,0.02,0.02,0.13,0.16,880.63,28.22,0.0,-0.2,-3.15
42.87,-0.12,5.07,4.92,0.04,0.03,0.11,0.14,885.82,28.22,0.0,0.1,-3.04
42.88,-0.17,5.09,4.95,0.06,0.04,0.08,0.13,893.5,28.21,0.0,0.29,-2.8
42.89,-0.2,5.09,4.98,0.08,0.06,0.07,0.12,899.4,28.22,0.0,0.33,-2.54
42.9,-0.21,5.06,5.0,0.09,0.08,0.08,0.13,900.21,28.22,0.0,0.21,-2.36
42.91,-0.2,5.02,5.01,0.09,0.09,0.11,0.14,896.93,28.22,0.0,-0.02,-2.28
42.92,-0.18,4.99,5.02,0.08,0.1,0.14,0.16,894.25,28.23,0.0,-0.31,-2.27
42.93,-0.16,4.98,5.02,0.07,0.1,0.15,0.18,896.03,28.23,0.0,-0.61,-2.29
42.94,-0.16,5.0,5.02,0.05,0.1,0.15,0.2,902.02,28.23,0.0,-0.88,-2.32
