시간 [s],진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
214.87,-0.24,2.7,2.58,0.03,0.05,0.02,0.08,1428.8,32.09,0.0,714.21,-2.33
214.88,-0.22,2.63,2.59,0.03,0.04,0.01,0.09,1431.76,32.09,0.0,714.21,-2.22
214.89,-0.19,2.58,2.6,0.04,0.04,-0.0,0.1,1426.76,32.09,0.0,714.4,-2.15
214.94,-0.2,2.77,2.67,0.1,0.09,0.01,0.11,1429.16,32.12,0.0,713.67,-2.45
214.95,-0.24,2.79,2.68,0.11,0.09,0.03,0.11,1440.16,32.11,0.0,713.41,-2.58
214.96,-0.27,2.76,2.68,0.11,0.1,0.05,0.1,1448.81,32.11,0.0,713.4,-2.67
214.97,-0.3,2.72,2.67,0.1,0.1,0.07,0.1,1454.71,32.1,0.0,713.62,-2.69
214.98,-0.31,2.68,2.66,0.09,0.1,0.08,0.11,1458.54,32.09,0.0,714.0,-2.62
214.99,-0.33,2.66,2.65,0.07,0.09,0.1,0.12,1459.99,32.08,0.0,714.43,-2.48
215.0,-0.33,2.67,2.64,0.06,0.07,0.1,0.13,1456.98,32.07,0.0,714.82,-2.32
215.01,-0.32,2.71,2.64,0.05,0.06,0.1,0.14,1448.33,32.08,0.0,715.13,-2.17
215.02,-0.29,2.76,2.65,0.04,0.04,0.08,0.15,1437.17,32.08,0.0,715.3,-2.06
215.03,-0.26,2.82,2.67,0.03,0.03,0.07,0.15,1429.92,32.09,0.0,715.31,-2.03
215.04,-0.25,2.88,2.69,0.03,0.03,0.04,0.13,1430.97,32.09,0.0,715.14,-2.11
215.05,-0.25,2.92,2.72,0.04,0.03,0.01,0.1,1439.38,32.09,0.0,714.88,-2.26
215.06,-0.25,2.95,2.74,0.06,0.04,-0.01,0.07,1451.26,32.09,0.0,714.7,-2.42
215.07,-0.24,2.96,2.75,0.07,0.04,-0.02,0.05,1462.83,32.09,0.0,714.71,-2.56
215.08,-0.22,2.96,2.76,0.09,0.05,-0.02,0.05,1470.73,32.09,0.0,714.87,-2.64
215.09,-0.21,2.96,2.77,0.1,0.07,-0.01,0.06,1471.68,32.09,0.0,715.06,-2.63
215.1,-0.2,2.96,2.77,0.11,0.08,0.0,0.08,1464.64,32.09,0.0,715.16,-2.55
215.11,-0.21,2.95,2.76,0.1,0.09,0.02,0.11,1453.63,32.08,0.0,715.13,-2.41
215.12,-0.23,2.95,2.76,0.09,0.09,0.04,0.14,1446.3,32.08,0.0,714.93,-2.24
215.13,-0.26,2.96,2.75,0.08,0.09,0.06,0.17,1447.94,32.08,0.0,714.59,-2.08
215.14,-0.29,2.97,2.75,0.07,0.09,0.07,0.2,1457.58,32.08,0.0,714.19,-1.96
215.15,-0.3,2.97,2.75,0.06,0.07,0.08,0.2,1470.6,32.08,0.0,713.9,-1.92
215.16,-0.3,2.95,2.76,0.04,0.06,0.08,0.18,1482.56,32.09,0.0,713.79,-1.99
215.17,-0.28,2.92,2.77,0.03,0.04,0.08,0.14,1491.14,32.1,0.0,713.84,-2.14
215.18,-0.27,2.9,2.79,0.03,0.03,0.07,0.1,1496.38,32.1,0.0,713.98,-2.32
215.19,-0.25,2.92,2.8,0.04,0.02,0.05,0.06,1499.46,32.1,0.0,714.1,-2.49
215.2,-0.24,2.96,2.82,0.05,0.03,0.03,0.03,1500.2,32.1,0.0,714.19,-2.62
215.21,-0.23,3.04,2.83,0.07,0.04,0.02,0.02,1496.02,32.09,0.0,714.23,-2.67
215.22,-0.2,3.13,2.85,0.09,0.05,0.0,0.03,1485.35,32.08,0.0,714.28,-2.65
215.23,-0.16,3.21,2.86,0.11,0.07,-0.0,0.05,1471.87,32.07,0.0,714.3,-2.57
215.24,-0.14,3.27,2.87,0.12,0.08,0.0,0.07,1463.29,32.07,0.0,714.26,-2.45
215.25,-0.15,3.29,2.88,0.13,0.1,0.02,0.09,1464.89,32.07,0.0,714.12,-2.32
215.26,-0.19,3.27,2.88,0.13,0.11,0.04,0.11,1475.33,32.07,0.0,713.95,-2.2
215.27,-0.24,3.23,2.88,0.12,0.11,0.07,0.12,1489.47,32.07,0.0,713.94,-2.13
215.28,-0.27,3.19,2.87,0.1,0.1,0.08,0.12,1502.48,32.07,0.0,714.24,-2.15
