시간 [s],진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
20.98,-0.15,0.98,0.91,0.09,0.05,0.1,0.08,855.12,31.89,0.0,-0.7,-2.25
20.99,-0.16,0.94,0.92,0.1,0.06,0.12,0.08,856.14,31.9,0.0,-0.39,-2.37
21.0,-0.17,0.88,0.92,0.11,0.08,0.14,0.08,857.23,31.9,0.0,-0.12,-2.53
21.01,-0.17,0.84,0.92,0.11,0.09,0.16,0.09,857.62,31.9,0.0,0.05,-2.69
21.02,-0.16,0.82,0.91,0.1,0.1,0.17,0.1,855.83,31.9,0.0,0.06,-2.78
21.08,-0.11,1.04,0.91,0.02,0.04,0.13,0.13,863.06,31.9,0.0,-0.39,-2.04
21.09,-0.12,1.07,0.92,0.02,0.03,0.11,0.12,871.0,31.91,0.0,0.16,-1.96
21.1,-0.12,1.1,0.93,0.02,0.03,0.09,0.11,876.45,31.91,0.0,0.78,-1.94
21.11,-0.13,1.11,0.94,0.04,0.03,0.08,0.1,880.52,31.91,0.0,1.14,-2.02
21.12,-0.14,1.1,0.95,0.05,0.04,0.08,0.09,884.69,31.91,0.0,1.05,-2.22
21.13,-0.15,1.07,0.97,0.07,0.05,0.09,0.08,888.94,31.91,0.0,0.59,-2.47
21.14,-0.16,1.05,0.97,0.08,0.06,0.1,0.08,891.92,31.91,0.0,0.04,-2.67
21.15,-0.16,1.05,0.98,0.09,0.06,0.12,0.08,892.61,31.9,0.0,-0.39,-2.75
21.16,-0.17,1.06,0.97,0.1,0.07,0.14,0.09,891.31,31.9,0.0,-0.58,-2.72
21.17,-0.17,1.08,0.96,0.09,0.08,0.15,0.09,889.15,31.9,0.0,-0.53,-2.61
21.18,-0.17,1.09,0.95,0.09,0.09,0.16,0.11,887.2,31.9,0.0,-0.32,-2.49
21.19,-0.17,1.09,0.94,0.08,0.09,0.16,0.12,886.24,31.89,0.0,-0.05,-2.38
21.2,-0.17,1.07,0.94,0.07,0.09,0.16,0.13,887.01,31.89,0.0,0.1,-2.28
21.21,-0.17,1.05,0.94,0.05,0.09,0.16,0.13,889.67,31.9,0.0,0.06,-2.19
21.22,-0.17,1.02,0.95,0.04,0.08,0.16,0.13,892.6,31.9,0.0,-0.15,-2.11
21.23,-0.17,1.0,0.96,0.04,0.07,0.15,0.13,892.33,31.9,0.0,-0.38,-2.08
21.24,-0.17,0.98,0.98,0.03,0.06,0.15,0.11,886.63,31.91,0.0,-0.54,-2.12
21.25,-0.17,0.98,0.99,0.04,0.06,0.14,0.1,877.76,31.91,0.0,-0.59,-2.22
21.26,-0.17,0.98,1.0,0.04,0.06,0.13,0.09,871.38,31.91,0.0,-0.53,-2.34
21.27,-0.17,0.99,1.01,0.06,0.06,0.12,0.08,871.6,31.91,0.0,-0.41,-2.47
21.28,-0.16,1.0,1.02,0.07,0.07,0.12,0.07,877.52,31.9,0.0,-0.3,-2.57
21.29,-0.15,1.0,1.03,0.08,0.08,0.12,0.07,884.63,31.89,0.0,-0.25,-2.6
21.3,-0.14,0.99,1.03,0.09,0.1,0.13,0.08,888.95,31.89,0.0,-0.32,-2.55
21.31,-0.13,0.97,1.04,0.09,0.11,0.14,0.08,890.01,31.89,0.0,-0.46,-2.45
21.32,-0.13,0.96,1.03,0.08,0.12,0.16,0.09,890.71,31.89,0.0,-0.64,-2.32
21.33,-0.13,0.97,1.03,0.08,0.12,0.17,0.11,893.83,31.89,0.0,-0.78,-2.22
21.34,-0.13,0.98,1.02,0.07,0.12,0.18,0.12,898.7,31.9,0.0,-0.86,-2.16
21.35,-0.14,0.99,1.01,0.05,0.11,0.18,0.13,901.63,31.9,0.0,-0.87,-2.16
21.36,-0.15,1.01,1.0,0.04,0.1,0.17,0.13,899.69,31.9,0.0,-0.81,-2.23
21.37,-0.15,1.02,1.0,0.03,0.08,0.16,0.13,894.32,31.9,0.0,-0.68,-2.34
21.38,-0.16,1.02,1.01,0.02,0.07,0.15,0.13,890.6,31.9,0.0,-0.47,-2.48
21.39,-0.16,1.01,1.02,0.02,0.06,0.13,0.12,892.48,31.9,0.0,-0.16,-2.62
21.4,-0.15,1.0,1.04,0.03,0.06,0.11,0.11,899.32,31.9,0.0,0.18,-2.73
21.41,-0.15,0.98,1.06,0.04,0.06,0.09,0.1,907.38,31.89,0.0,0.4,-2.75
21.42,-0.14,0.97,1.08,0.06,0.06,0.08,0.09,913.25,31.89,0.0,0.41,-2.67
21.43,-0.14,0.97,1.09,0.07,0.06,0.08,0.08,915.68,31.89,0.0,0.23,-2.51
21.44,-0.13,0.97,1.09,0.09,0.07,0.09,0.08,915.09,31.89,0.0,-0.08,-2.32
21.45,-0.12,0.98,1.09,0.1,0.08,0.09,0.08,912.69,31.88,0.0,-0.44,-2.14
21.46,-0.12,0.99,1.09,0.1,0.09,0.1,0.09,909.8,31.88,0.0,-0.76,-2.02
21.47,-0.11,1.01,1.08,0.1,0.09,0.11,0.1,907.48,31.87,0.0,-0.89,-2.0
21.48,-0.11,1.02,1.06,0.1,0.1,0.12,0.11,906.22,31.86,0.0,-0.76,-2.09
21.49,-0.12,1.04,1.05,0.09,0.09,0.13,0.12,906.05,31.86,0.0,-0.47,-2.26
21.5,-0.13,1.06,1.04,0.07,0.09,0.13,0.13,906.85,31.86,0.0,-0.27,-2.47
21.51,-0.15,1.08,1.03,0.06,0.07,0.13,0.13,908.36,31.87,0.0,-0.34,-2.68
21.52,-0.17,1.09,1.04,0.04,0.06,0.13,0.13,909.95,31.88,0.0,-0.64,-2.85
21.53,-0.19,1.1,1.05,0.02,0.05,0.11,0.12,910.77,31.89,0.0,-0.96,-2.93
21.54,-0.18,1.09,1.06,0.02,0.04,0.1,0.12,910.33,31.9,0.0,-1.12,-2.89
21.55,-0.17,1.07,1.08,0.03,0.04,0.09,0.11,908.08,31.89,0.0,-1.08,-2.76
21.56,-0.14,1.07,1.09,0.04,0.05,0.08,0.1,902.54,31.89,0.0,-0.83,-2.57
21.57,-0.12,1.08,1.11,0.06,0.06,0.08,0.09,892.94,31.89,0.0,-0.41,-2.35
21.58,-0.09,1.11,1.11,0.08,0.07,0.09,0.09,882.14,31.89,0.0,0.05,-2.15
21.59,-0.08,1.12,1.12,0.1,0.08,0.1,0.09,875.72,31.89,0.0,0.39,-2.04
21.6,-0.08,1.12,1.11,0.11,0.1,0.12,0.1,877.32,31.9,0.0,0.54,-2.02
21.61,-0.08,1.09,1.1,0.11,0.12,0.14,0.11,884.97,31.9,0.0,0.5,-2.08
21.62,-0.1,1.05,1.09,0.11,0.13,0.15,0.12,892.72,31.9,0.0,0.34,-2.21
21.63,-0.11,1.02,1.08,0.1,0.13,0.16,0.13,895.71,31.91,0.0,0.13,-2.37
21.64,-0.12,0.99,1.07,0.09,0.12,0.16,0.14,893.7,31.91,0.0,-0.11,-2.52
21.65,-0.12,0.99,1.06,0.08,0.1,0.16,0.14,890.18,31.9,0.0,-0.46,-2.63
21.66,-0.12,1.01,1.05,0.07,0.09,0.17,0.14,888.57,31.9,0.0,-0.97,-2.7
21.67,-0.12,1.04,1.05,0.05,0.07,0.17,0.14,889.98,31.89,0.0,-1.53,-2.72
21.68,-0.12,1.07,1.06,0.04,0.05,0.17,0.13,893.92,31.88,0.0,-1.94,-2.66
21.69,-0.12,1.11,1.06,0.03,0.04,0.16,0.12,899.27,31.88,0.0,-2.05,-2.52
21.7,-0.12,1.14,1.07,0.03,0.04,0.14,0.11,904.91,31.89,0.0,-1.87,-2.34
21.71,-0.12,1.16,1.08,0.04,0.04,0.12,0.1,910.52,31.89,0.0,-1.48,-2.2
21.72,-0.12,1.16,1.09,0.06,0.05,0.11,0.09,916.13,31.9,0.0,-1.0,-2.13
21.73,-0.11,1.16,1.1,0.08,0.06,0.11,0.09,920.93,31.91,0.0,-0.54,-2.15
21.74,-0.11,1.14,1.11,0.09,0.07,0.11,0.08,923.35,31.91,0.0,-0.16,-2.24
21.75,-0.1,1.1,1.11,0.1,0.08,0.12,0.09,922.54,31.91,0.0,0.1,-2.36
21.76,-0.1,1.06,1.11,0.11,0.09,0.13,0.09,919.32,31.91,0.0,0.25,-2.48
21.77,-0.1,1.02,1.1,0.1,0.1,0.14,0.1,915.42,31.91,0.0,0.24,-2.58
21.78,-0.1,0.99,1.1,0.09,0.1,0.15,0.11,912.25,31.91,0.0,0.06,-2.63
21.79,-0.11,0.98,1.09,0.07,0.09,0.16,0.12,910.46,31.91,0.0,-0.19,-2.64
21.8,-0.11,0.99,1.09,0.06,0.08,0.16,0.13,909.99,31.91,0.0,-0.33,-2.59
21.81,-0.12,1.01,1.08,0.04,0.07,0.16,0.13,910.42,31.92,0.0,-0.27,-2.47
21.82,-0.12,1.04,1.08,0.03,0.05,0.16,0.13,910.33,31.92,0.0,-0.02,-2.33
21.83,-0.12,1.08,1.09,0.02,0.04,0.14,0.12,906.76,31.92,0.0,0.27,-2.18
21.84,-0.12,1.1,1.09,0.02,0.03,0.13,0.11,897.95,31.91,0.0,0.51,-2.06
21.85,-0.11,1.12,1.11,0.02,0.02,0.1,0.1,886.39,31.91,0.0,0.62,-1.99
21.86,-0.11,1.13,1.12,0.03,0.03,0.09,0.09,877.52,31.91,0.0,0.53,-2.01
21.87,-0.11,1.13,1.12,0.05,0.04,0.08,0.09,875.15,31.9,0.0,0.23,-2.13
21.88,-0.11,1.11,1.12,0.06,0.05,0.08,0.08,878.57,31.9,0.0,-0.19,-2.32
21.89,-0.11,1.09,1.12,0.08,0.07,0.09,0.08,883.75,31.89,0.0,-0.61,-2.5
21.9,-0.11,1.07,1.11,0.08,0.09,0.1,0.08,887.01,31.89,0.0,-0.94,-2.63
21.91,-0.1,1.04,1.1,0.08,0.1,0.12,0.09,887.84,31.89,0.0,-1.17,-2.69
21.92,-0.1,1.03,1.09,0.08,0.11,0.14,0.1,888.9,31.89,0.0,-1.32,-2.67
21.93,-0.1,1.03,1.08,0.08,0.12,0.15,0.11,892.69,31.9,0.0,-1.47,-2.57
21.94,-0.09,1.05,1.08,0.07,0.11,0.16,0.12,898.89,31.91,0.0,-1.56,-2.44
21.95,-0.09,1.07,1.07,0.06,0.11,0.16,0.13,905.27,31.92,0.0,-1.43,-2.29
21.96,-0.09,1.1,1.07,0.05,0.09,0.16,0.14,909.87,31.93,0.0,-0.97,-2.17
