시간 [s],진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
196.6,-0.3,2.62,2.56,0.09,0.05,-0.01,0.02,1425.6,32.05,0.0,852.83,-2.47
196.61,-0.3,2.63,2.58,0.1,0.05,0.0,0.01,1426.98,32.05,0.0,852.65,-2.55
196.62,-0.29,2.64,2.59,0.1,0.06,0.02,0.01,1425.19,32.05,0.0,852.26,-2.52
196.67,-0.24,2.51,2.56,0.07,0.08,0.05,0.05,1428.89,32.05,0.0,852.7,-2.14
196.68,-0.22,2.47,2.56,0.05,0.07,0.05,0.04,1434.45,32.05,0.0,853.25,-2.16
196.69,-0.17,2.43,2.56,0.04,0.05,0.04,0.02,1438.87,32.05,0.0,853.66,-2.2
196.7,-0.12,2.42,2.58,0.04,0.03,0.02,0.0,1440.21,32.05,0.0,853.96,-2.29
196.71,-0.08,2.46,2.59,0.04,0.02,-0.0,0.0,1437.59,32.04,0.0,854.2,-2.42
196.72,-0.05,2.52,2.61,0.05,0.02,-0.02,0.01,1432.47,32.03,0.0,854.36,-2.58
196.73,-0.06,2.59,2.63,0.06,0.02,-0.04,0.02,1427.71,32.02,0.0,854.25,-2.7
196.74,-0.1,2.66,2.65,0.07,0.03,-0.03,0.04,1425.45,32.01,0.0,853.77,-2.76
196.75,-0.16,2.7,2.67,0.08,0.04,-0.02,0.04,1426.39,32.01,0.0,853.08,-2.73
196.76,-0.23,2.72,2.68,0.09,0.05,-0.0,0.04,1430.7,32.01,0.0,852.53,-2.62
196.77,-0.29,2.72,2.69,0.09,0.07,0.01,0.04,1437.89,32.01,0.0,852.37,-2.44
196.78,-0.33,2.69,2.69,0.09,0.08,0.02,0.04,1446.34,32.02,0.0,852.58,-2.25
196.79,-0.35,2.64,2.69,0.08,0.09,0.03,0.04,1454.56,32.02,0.0,852.97,-2.12
196.8,-0.36,2.58,2.68,0.07,0.09,0.02,0.05,1461.65,32.02,0.0,853.34,-2.1
196.81,-0.37,2.53,2.67,0.06,0.08,0.02,0.07,1466.51,32.01,0.0,853.6,-2.17
196.82,-0.36,2.49,2.66,0.05,0.07,0.01,0.09,1467.51,32.01,0.0,853.79,-2.31
196.83,-0.34,2.48,2.66,0.04,0.06,-0.0,0.1,1464.07,32.0,0.0,853.96,-2.47
196.84,-0.3,2.48,2.67,0.03,0.04,-0.01,0.11,1457.92,32.0,0.0,854.13,-2.6
196.85,-0.27,2.51,2.68,0.02,0.03,-0.02,0.11,1452.05,32.0,0.0,854.21,-2.69
196.86,-0.25,2.56,2.69,0.03,0.02,-0.01,0.09,1448.67,32.0,0.0,854.16,-2.73
196.87,-0.23,2.61,2.7,0.04,0.02,-0.0,0.06,1448.57,32.0,0.0,854.02,-2.71
196.88,-0.21,2.65,2.72,0.05,0.03,0.0,0.04,1451.97,32.0,0.0,853.86,-2.63
196.89,-0.19,2.68,2.73,0.07,0.04,0.01,0.04,1458.35,32.0,0.0,853.76,-2.49
196.9,-0.17,2.69,2.74,0.08,0.05,0.0,0.05,1465.58,32.01,0.0,853.73,-2.32
196.91,-0.17,2.7,2.75,0.09,0.07,0.0,0.06,1470.58,32.02,0.0,853.74,-2.17
196.92,-0.21,2.7,2.76,0.09,0.08,0.01,0.07,1471.49,32.02,0.0,853.75,-2.07
