시간 [s],진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
282.58,-0.36,5.88,5.68,0.09,0.04,-0.08,0.0,1428.88,32.36,0.0,1075.55,-1.99
282.59,-0.3,5.86,5.69,0.1,0.06,-0.06,0.04,1429.42,32.36,0.0,1075.58,-1.88
282.6,-0.25,5.86,5.69,0.1,0.07,-0.03,0.08,1426.0,32.35,0.0,1075.41,-1.88
282.67,-0.05,5.7,5.71,0.03,0.03,-0.01,0.08,1429.04,32.35,0.0,1074.13,-2.6
282.68,0.04,5.73,5.74,0.02,0.03,-0.06,0.05,1437.8,32.35,0.0,1074.35,-2.49
282.69,0.07,5.81,5.77,0.03,0.02,-0.1,0.02,1444.71,32.35,0.0,1074.7,-2.37
282.7,0.04,5.89,5.8,0.03,0.02,-0.13,0.01,1448.77,32.36,0.0,1075.11,-2.25
282.71,-0.02,5.96,5.83,0.05,0.03,-0.15,0.01,1449.19,32.36,0.0,1075.49,-2.17
282.72,-0.1,5.98,5.87,0.06,0.04,-0.16,0.04,1446.08,32.36,0.0,1075.76,-2.12
282.73,-0.18,5.97,5.91,0.08,0.05,-0.16,0.08,1441.5,32.36,0.0,1075.9,-2.11
282.74,-0.25,5.95,5.93,0.1,0.05,-0.14,0.14,1438.99,32.36,0.0,1075.88,-2.15
282.75,-0.33,5.96,5.92,0.1,0.06,-0.11,0.19,1440.91,32.36,0.0,1075.73,-2.26
282.76,-0.4,5.99,5.88,0.1,0.05,-0.07,0.24,1446.55,32.36,0.0,1075.49,-2.4
282.77,-0.44,6.01,5.87,0.08,0.05,-0.04,0.27,1453.47,32.36,0.0,1075.17,-2.52
282.78,-0.43,5.98,5.9,0.07,0.05,-0.01,0.27,1459.47,32.36,0.0,1074.8,-2.59
282.79,-0.39,5.92,5.97,0.05,0.05,0.0,0.24,1463.05,32.36,0.0,1074.45,-2.59
282.8,-0.33,5.88,6.04,0.03,0.05,0.01,0.21,1463.18,32.36,0.0,1074.26,-2.54
282.81,-0.29,5.91,6.1,0.02,0.04,0.0,0.17,1459.8,32.36,0.0,1074.29,-2.44
282.82,-0.27,6.0,6.12,0.02,0.03,-0.0,0.13,1454.56,32.36,0.0,1074.49,-2.32
282.83,-0.23,6.11,6.12,0.02,0.02,-0.01,0.1,1449.95,32.36,0.0,1074.76,-2.19
282.84,-0.17,6.21,6.09,0.03,0.02,-0.01,0.05,1447.67,32.35,0.0,1074.98,-2.08
282.85,-0.1,6.28,6.06,0.04,0.02,-0.02,0.01,1448.27,32.35,0.0,1075.12,-2.0
282.86,-0.05,6.31,6.05,0.05,0.03,-0.03,-0.02,1452.0,32.34,0.0,1075.21,-1.99
282.87,-0.04,6.32,6.07,0.07,0.03,-0.03,-0.03,1458.49,32.34,0.0,1075.27,-2.08
282.88,-0.07,6.31,6.1,0.09,0.04,-0.03,-0.03,1466.25,32.35,0.0,1075.34,-2.25
282.89,-0.14,6.3,6.12,0.1,0.05,-0.03,-0.01,1473.74,32.35,0.0,1075.4,-2.45
282.9,-0.22,6.3,6.11,0.11,0.06,-0.05,0.01,1480.03,32.34,0.0,1075.44,-2.64
282.91,-0.29,6.32,6.07,0.11,0.07,-0.07,0.03,1484.14,32.34,0.0,1075.46,-2.78
282.92,-0.34,6.34,6.03,0.1,0.07,-0.09,0.05,1484.75,32.34,0.0,1075.43,-2.81
282.93,-0.36,6.35,6.0,0.08,0.07,-0.11,0.07,1481.42,32.34,0.0,1075.36,-2.72
282.94,-0.35,6.34,6.0,0.07,0.07,-0.12,0.08,1475.81,32.34,0.0,1075.24,-2.53
282.95,-0.34,6.32,6.01,0.05,0.05,-0.12,0.08,1470.71,32.34,0.0,1075.04,-2.32
282.96,-0.32,6.29,6.05,0.04,0.03,-0.12,0.08,1468.13,32.35,0.0,1074.73,-2.13
282.97,-0.31,6.25,6.11,0.04,0.01,-0.12,0.08,1468.77,32.36,0.0,1074.42,-2.0
282.98,-0.27,6.24,6.16,0.04,0.0,-0.11,0.08,1472.93,32.37,0.0,1074.26,-1.95
282.99,-0.19,6.26,6.21,0.05,-0.0,-0.1,0.1,1480.22,32.37,0.0,1074.38,-1.98
283.0,-0.09,6.31,6.26,0.06,0.0,-0.08,0.13,1488.94,32.37,0.0,1074.7,-2.09
283.01,-0.02,6.38,6.3,0.07,0.01,-0.06,0.16,1497.37,32.37,0.0,1075.07,-2.24
283.02,-0.01,6.45,6.32,0.08,0.03,-0.04,0.18,1504.45,32.36,0.0,1075.35,-2.43
283.03,-0.06,6.51,6.34,0.1,0.05,-0.03,0.18,1509.11,32.35,0.0,1075.47,-2.62
283.04,-0.14,6.56,6.35,0.11,0.06,-0.01,0.17,1510.02,32.34,0.0,1075.45,-2.75
283.05,-0.23,6.61,6.36,0.11,0.07,0.01,0.14,1506.78,32.34,0.0,1075.33,-2.79
283.06,-0.3,6.64,6.36,0.1,0.07,0.02,0.1,1500.81,32.35,0.0,1075.15,-2.74
283.07,-0.35,6.64,6.37,0.09,0.07,0.04,0.07,1494.18,32.36,0.0,1074.96,-2.62
283.08,-0.38,6.59,6.4,0.07,0.07,0.06,0.08,1488.48,32.37,0.0,1074.75,-2.43
283.09,-0.38,6.51,6.43,0.05,0.06,0.08,0.11,1485.08,32.37,0.0,1074.58,-2.25
283.1,-0.34,6.43,6.46,0.03,0.05,0.09,0.14,1485.62,32.38,0.0,1074.56,-2.12
283.11,-0.24,6.37,6.5,0.02,0.04,0.08,0.16,1490.58,32.37,0.0,1074.72,-2.1
283.12,-0.13,6.35,6.53,0.02,0.03,0.05,0.16,1498.28,32.37,0.0,1075.02,-2.17
283.13,-0.04,6.37,6.55,0.02,0.02,0.02,0.14,1506.08,32.37,0.0,1075.34,-2.3
283.14,-0.01,6.44,6.56,0.02,0.01,-0.01,0.12,1512.07,32.36,0.0,1075.58,-2.46
283.15,-0.04,6.53,6.57,0.03,0.01,-0.04,0.09,1515.06,32.36,0.0,1075.71,-2.61
283.16,-0.11,6.62,6.57,0.05,0.02,-0.06,0.07,1514.04,32.36,0.0,1075.73,-2.7
283.17,-0.19,6.72,6.58,0.06,0.03,-0.05,0.05,1509.03,32.35,0.0,1075.67,-2.7
283.18,-0.25,6.79,6.59,0.08,0.04,-0.02,0.03,1501.7,32.35,0.0,1075.59,-2.63
283.19,-0.3,6.82,6.6,0.09,0.05,0.01,0.03,1494.26,32.36,0.0,1075.59,-2.5
283.2,-0.34,6.78,6.59,0.1,0.06,0.04,0.04,1488.2,32.36,0.0,1075.71,-2.34
283.21,-0.35,6.7,6.57,0.09,0.07,0.06,0.07,1484.79,32.37,0.0,1075.91,-2.18
283.22,-0.32,6.6,6.55,0.08,0.08,0.06,0.11,1485.49,32.37,0.0,1076.03,-2.06
283.23,-0.22,6.52,6.52,0.07,0.07,0.06,0.17,1490.68,32.37,0.0,1075.94,-2.03
283.24,-0.1,6.46,6.5,0.05,0.06,0.05,0.23,1498.49,32.37,0.0,1075.7,-2.06
283.25,-0.01,6.44,6.49,0.04,0.05,0.04,0.26,1506.01,32.36,0.0,1075.43,-2.16
283.26,0.02,6.47,6.49,0.03,0.04,0.02,0.25,1511.17,32.35,0.0,1075.24,-2.28
283.27,-0.01,6.53,6.51,0.02,0.03,0.01,0.2,1513.05,32.35,0.0,1075.17,-2.42
