시간 [s],진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
182.79,-0.26,5.38,5.48,0.04,0.02,0.07,0.18,1425.04,29.02,0.0,1098.05,-3.26
182.9,-0.16,5.66,5.56,0.0,0.03,0.04,0.18,1427.88,29.06,0.0,1098.64,-3.0
182.91,-0.22,5.71,5.58,0.0,0.02,0.04,0.17,1437.68,29.06,0.0,1098.59,-3.01
182.92,-0.3,5.79,5.6,0.01,0.02,0.03,0.16,1444.65,29.06,0.0,1098.35,-2.97
182.93,-0.37,5.86,5.63,0.02,0.02,0.03,0.15,1448.92,29.05,0.0,1098.0,-2.89
182.94,-0.41,5.89,5.65,0.04,0.02,0.03,0.15,1451.5,29.05,0.0,1097.65,-2.79
182.95,-0.42,5.86,5.68,0.06,0.02,0.02,0.15,1453.29,29.04,0.0,1097.4,-2.7
182.96,-0.4,5.81,5.7,0.07,0.03,0.03,0.16,1455.14,29.03,0.0,1097.36,-2.65
182.97,-0.38,5.76,5.71,0.08,0.04,0.03,0.16,1457.56,29.03,0.0,1097.59,-2.66
182.98,-0.35,5.73,5.72,0.08,0.05,0.05,0.18,1460.17,29.04,0.0,1097.98,-2.72
182.99,-0.34,5.69,5.73,0.07,0.06,0.06,0.19,1461.98,29.05,0.0,1098.41,-2.83
183.0,-0.33,5.64,5.73,0.06,0.06,0.08,0.23,1462.32,29.05,0.0,1098.76,-2.98
183.01,-0.33,5.57,5.74,0.04,0.05,0.09,0.26,1461.51,29.05,0.0,1098.95,-3.13
183.02,-0.3,5.5,5.74,0.03,0.04,0.1,0.29,1460.66,29.05,0.0,1098.93,-3.22
183.03,-0.22,5.45,5.76,0.01,0.03,0.11,0.29,1460.67,29.05,0.0,1098.69,-3.22
183.04,-0.12,5.43,5.77,0.0,0.02,0.1,0.26,1460.87,29.05,0.0,1098.32,-3.13
183.05,-0.04,5.45,5.79,-0.0,0.01,0.08,0.22,1458.74,29.05,0.0,1097.94,-2.98
183.06,-0.01,5.53,5.81,-0.0,0.0,0.04,0.17,1452.48,29.05,0.0,1097.65,-2.81
183.07,-0.04,5.65,5.84,0.01,-0.0,-0.02,0.13,1444.35,29.05,0.0,1097.47,-2.65
183.08,-0.11,5.75,5.86,0.03,0.0,-0.07,0.09,1439.99,29.05,0.0,1097.38,-2.52
183.09,-0.19,5.82,5.87,0.04,0.01,-0.09,0.08,1443.36,29.05,0.0,1097.34,-2.43
183.1,-0.27,5.84,5.88,0.06,0.02,-0.09,0.08,1453.19,29.06,0.0,1097.37,-2.41
183.11,-0.33,5.85,5.89,0.08,0.04,-0.08,0.1,1465.17,29.06,0.0,1097.54,-2.46
183.12,-0.39,5.86,5.89,0.08,0.06,-0.06,0.12,1475.45,29.06,0.0,1097.91,-2.59
183.13,-0.43,5.87,5.89,0.08,0.07,-0.04,0.14,1482.3,29.06,0.0,1098.38,-2.78
183.14,-0.45,5.86,5.9,0.08,0.08,-0.01,0.16,1486.2,29.05,0.0,1098.73,-2.96
183.15,-0.42,5.8,5.91,0.07,0.09,0.02,0.19,1488.51,29.04,0.0,1098.79,-3.09
183.16,-0.38,5.71,5.93,0.05,0.08,0.06,0.23,1489.31,29.03,0.0,1098.62,-3.16
183.17,-0.33,5.65,5.95,0.04,0.07,0.09,0.25,1486.7,29.02,0.0,1098.38,-3.11
183.18,-0.3,5.66,5.97,0.02,0.05,0.1,0.27,1479.45,29.02,0.0,1098.23,-2.96
183.19,-0.28,5.72,5.98,0.01,0.03,0.08,0.28,1470.15,29.03,0.0,1098.21,-2.75
183.2,-0.26,5.81,6.0,-0.0,0.02,0.05,0.28,1464.49,29.04,0.0,1098.24,-2.56
183.21,-0.22,5.87,6.01,-0.0,0.01,0.02,0.27,1466.38,29.04,0.0,1098.25,-2.44
183.22,-0.17,5.9,6.02,-0.0,0.01,-0.02,0.25,1474.78,29.03,0.0,1098.22,-2.42
183.23,-0.15,5.92,6.05,0.01,0.01,-0.03,0.23,1485.87,29.01,0.0,1098.19,-2.47
183.24,-0.2,5.94,6.08,0.03,0.02,-0.04,0.22,1496.06,29.0,0.0,1098.21,-2.59
183.25,-0.28,5.98,6.11,0.05,0.03,-0.03,0.2,1503.41,29.0,0.0,1098.29,-2.73
183.26,-0.36,5.99,6.14,0.07,0.04,-0.0,0.19,1507.83,29.0,0.0,1098.36,-2.89
183.27,-0.41,5.95,6.14,0.08,0.05,0.03,0.18,1510.23,28.99,0.0,1098.4,-3.04
183.28,-0.42,5.89,6.13,0.08,0.07,0.05,0.18,1510.51,28.99,0.0,1098.4,-3.17
183.29,-0.41,5.85,6.11,0.08,0.08,0.06,0.2,1506.7,28.98,0.0,1098.4,-3.24
183.3,-0.38,5.85,6.1,0.07,0.08,0.06,0.23,1497.62,28.97,0.0,1098.42,-3.23
183.31,-0.36,5.89,6.08,0.06,0.08,0.04,0.26,1486.28,28.97,0.0,1098.46,-3.14
183.32,-0.32,5.93,6.08,0.04,0.07,0.02,0.28,1478.86,28.97,0.0,1098.45,-2.98
183.33,-0.26,5.94,6.09,0.03,0.06,0.01,0.27,1479.56,28.97,0.0,1098.37,-2.77
183.34,-0.18,5.92,6.11,0.01,0.05,0.02,0.24,1487.3,28.98,0.0,1098.24,-2.56
183.35,-0.15,5.91,6.14,0.0,0.03,0.03,0.22,1497.8,28.99,0.0,1098.15,-2.42
183.36,-0.17,5.94,6.16,0.0,0.02,0.03,0.21,1507.12,28.99,0.0,1098.16,-2.39
183.37,-0.25,6.0,6.19,0.01,0.01,0.03,0.23,1513.24,28.98,0.0,1098.27,-2.47
183.38,-0.33,6.06,6.22,0.02,0.01,0.04,0.25,1516.14,28.97,0.0,1098.42,-2.63
183.39,-0.37,6.1,6.26,0.04,0.01,0.06,0.28,1516.82,28.97,0.0,1098.57,-2.83
183.4,-0.38,6.11,6.31,0.05,0.02,0.1,0.29,1515.45,28.97,0.0,1098.69,-3.03
183.41,-0.36,6.12,6.34,0.07,0.03,0.13,0.29,1510.31,28.98,0.0,1098.76,-3.16
183.42,-0.35,6.15,6.36,0.08,0.05,0.16,0.26,1500.36,28.98,0.0,1098.77,-3.19
183.43,-0.33,6.19,6.35,0.08,0.06,0.17,0.23,1488.58,28.99,0.0,1098.76,-3.14
183.44,-0.3,6.22,6.33,0.07,0.07,0.15,0.2,1481.08,28.99,0.0,1098.75,-3.03
183.45,-0.24,6.22,6.32,0.06,0.07,0.11,0.21,1481.91,28.99,0.0,1098.77,-2.9
183.46,-0.16,6.17,6.3,0.05,0.06,0.07,0.24,1489.88,29.0,0.0,1098.79,-2.77
183.47,-0.12,6.14,6.3,0.04,0.04,0.02,0.27,1500.69,29.0,0.0,1098.78,-2.68
183.48,-0.14,6.14,6.3,0.02,0.03,-0.01,0.3,1510.34,29.0,0.0,1098.67,-2.64
183.49,-0.21,6.18,6.3,0.01,0.02,-0.03,0.31,1516.74,28.99,0.0,1098.51,-2.66
183.5,-0.3,6.24,6.32,0.0,0.01,-0.04,0.31,1519.65,28.98,0.0,1098.33,-2.72
183.51,-0.35,6.29,6.34,0.01,0.0,-0.04,0.3,1519.96,28.98,0.0,1098.19,-2.83
183.52,-0.36,6.33,6.37,0.02,0.0,-0.04,0.28,1517.85,28.99,0.0,1098.13,-2.95
183.53,-0.36,6.36,6.4,0.03,0.0,-0.04,0.27,1511.57,28.99,0.0,1098.27,-3.06
183.54,-0.35,6.4,6.44,0.05,0.01,-0.03,0.27,1500.08,29.0,0.0,1098.65,-3.12
183.55,-0.34,6.44,6.47,0.06,0.01,-0.02,0.27,1486.63,29.01,0.0,1099.15,-3.12
183.56,-0.32,6.45,6.49,0.08,0.02,-0.0,0.28,1477.57,29.01,0.0,1099.49,-3.07
183.57,-0.25,6.41,6.5,0.08,0.03,0.01,0.28,1477.14,29.01,0.0,1099.52,-2.95
183.58,-0.17,6.33,6.49,0.09,0.05,0.03,0.28,1484.21,29.01,0.0,1099.26,-2.81
183.59,-0.12,6.26,6.47,0.08,0.07,0.02,0.28,1494.42,29.01,0.0,1098.89,-2.67
183.6,-0.14,6.22,6.44,0.08,0.08,0.0,0.26,1503.7,29.01,0.0,1098.59,-2.55
183.61,-0.23,6.22,6.42,0.06,0.08,-0.03,0.25,1509.85,29.02,0.0,1098.41,-2.48
183.62,-0.32,6.25,6.41,0.05,0.08,-0.04,0.24,1512.59,29.02,0.0,1098.31,-2.48
183.63,-0.38,6.27,6.4,0.03,0.06,-0.04,0.24,1512.75,29.03,0.0,1098.23,-2.57
183.64,-0.4,6.3,6.42,0.01,0.04,-0.01,0.24,1510.71,29.03,0.0,1098.15,-2.7
183.65,-0.39,6.34,6.44,0.0,0.03,0.01,0.25,1505.24,29.02,0.0,1098.09,-2.85
183.66,-0.36,6.4,6.47,-0.0,0.02,0.02,0.27,1495.66,29.02,0.0,1098.07,-2.97
183.67,-0.33,6.46,6.5,0.0,0.01,0.0,0.27,1484.81,29.03,0.0,1098.1,-3.04
183.68,-0.29,6.5,6.54,0.02,0.01,-0.01,0.27,1478.36,29.03,0.0,1098.18,-3.04
183.69,-0.22,6.5,6.57,0.03,0.02,0.0,0.24,1480.01,29.03,0.0,1098.3,-2.97
183.7,-0.14,6.45,6.59,0.05,0.03,0.03,0.21,1488.38,29.02,0.0,1098.44,-2.86
183.71,-0.1,6.41,6.6,0.07,0.04,0.06,0.17,1499.12,29.02,0.0,1098.56,-2.73
183.72,-0.14,6.41,6.6,0.08,0.05,0.08,0.16,1508.33,29.01,0.0,1098.67,-2.64
183.73,-0.24,6.45,6.59,0.08,0.07,0.09,0.16,1514.16,29.01,0.0,1098.75,-2.58
183.74,-0.34,6.5,6.58,0.08,0.08,0.09,0.17,1516.77,29.01,0.0,1098.83,-2.57
183.75,-0.4,6.55,6.57,0.07,0.09,0.09,0.18,1517.27,29.0,0.0,1098.91,-2.62
183.76,-0.42,6.58,6.55,0.05,0.09,0.1,0.19,1515.89,29.0,0.0,1099.0,-2.71
183.77,-0.4,6.6,6.55,0.03,0.08,0.12,0.22,1510.97,29.01,0.0,1099.07,-2.81
183.78,-0.36,6.61,6.56,0.01,0.07,0.14,0.27,1501.45,29.01,0.0,1099.11,-2.93
183.79,-0.33,6.62,6.57,-0.0,0.05,0.16,0.34,1490.03,29.02,0.0,1099.12,-3.03
183.8,-0.28,6.62,6.59,-0.01,0.04,0.17,0.38,1482.14,29.02,0.0,1099.09,-3.09
183.81,-0.2,6.6,6.62,-0.01,0.02,0.17,0.37,1481.44,29.02,0.0,1099.05,-3.1
183.82,-0.1,6.57,6.64,-0.0,0.01,0.15,0.32,1487.11,29.01,0.0,1098.97,-3.05
183.83,-0.06,6.55,6.66,0.02,-0.0,0.13,0.26,1495.57,29.01,0.0,1098.75,-2.94
183.84,-0.09,6.55,6.67,0.04,-0.0,0.11,0.21,1503.46,29.01,0.0,1098.36,-2.79
183.85,-0.17,6.57,6.67,0.06,0.01,0.09,0.19,1508.88,29.02,0.0,1097.91,-2.63
183.86,-0.27,6.61,6.66,0.07,0.03,0.08,0.18,1511.48,29.02,0.0,1097.67,-2.53
183.87,-0.34,6.66,6.66,0.08,0.05,0.08,0.19,1511.91,29.03,0.0,1097.8,-2.51
183.88,-0.37,6.7,6.66,0.09,0.07,0.09,0.2,1510.24,29.02,0.0,1098.2,-2.57
183.89,-0.37,6.73,6.67,0.09,0.08,0.1,0.2,1504.98,29.02,0.0,1098.56,-2.7
183.9,-0.36,6.74,6.68,0.08,0.08,0.11,0.21,1495.27,29.02,0.0,1098.65,-2.87
183.91,-0.34,6.72,6.69,0.06,0.08,0.11,0.21,1484.04,29.01,0.0,1098.47,-3.04
183.92,-0.3,6.69,6.7,0.05,0.06,0.09,0.22,1477.21,29.01,0.0,1098.27,-3.14
183.93,-0.21,6.66,6.69,0.03,0.04,0.05,0.24,1478.69,29.01,0.0,1098.24,-3.14
183.94,-0.12,6.63,6.68,0.01,0.02,-0.01,0.25,1487.12,29.0,0.0,1098.41,-3.05
183.95,-0.06,6.62,6.67,0.0,0.01,-0.07,0.26,1498.09,29.0,0.0,1098.66,-2.92
183.96,-0.08,6.61,6.67,-0.0,0.0,-0.11,0.24,1507.61,29.01,0.0,1098.86,-2.77
183.97,-0.16,6.62,6.67,0.0,0.0,-0.13,0.21,1513.7,29.01,0.0,1098.92,-2.65
183.98,-0.26,6.64,6.68,0.02,0.01,-0.12,0.18,1516.39,29.02,0.0,1098.8,-2.58
183.99,-0.33,6.68,6.7,0.03,0.02,-0.09,0.16,1516.73,29.02,0.0,1098.49,-2.55
184.0,-0.35,6.71,6.72,0.05,0.03,-0.06,0.14,1515.0,29.03,0.0,1098.1,-2.57
184.01,-0.34,6.74,6.75,0.07,0.05,-0.04,0.13,1509.61,29.03,0.0,1097.77,-2.64
184.02,-0.33,6.75,6.77,0.08,0.06,-0.04,0.12,1499.58,29.03,0.0,1097.59,-2.76
184.03,-0.31,6.75,6.79,0.08,0.08,-0.05,0.1,1487.88,29.03,0.0,1097.58,-2.9
184.04,-0.27,6.73,6.8,0.07,0.09,-0.06,0.09,1480.57,29.03,0.0,1097.64,-3.02
184.05,-0.2,6.71,6.79,0.06,0.09,-0.02,0.09,1481.63,29.03,0.0,1097.72,-3.09
184.06,-0.1,6.69,6.77,0.05,0.08,0.05,0.11,1489.81,29.03,0.0,1097.76,-3.11
184.07,-0.05,6.68,6.75,0.03,0.07,0.11,0.14,1500.76,29.03,0.0,1097.76,-3.08
184.08,-0.08,6.67,6.75,0.02,0.06,0.13,0.19,1510.49,29.02,0.0,1097.75,-3.01
184.09,-0.17,6.68,6.76,0.01,0.05,0.11,0.23,1516.91,29.02,0.0,1097.74,-2.93
184.1,-0.27,6.71,6.77,-0.0,0.03,0.06,0.26,1519.83,29.02,0.0,1097.8,-2.83
184.11,-0.33,6.76,6.79,-0.0,0.02,0.02,0.26,1520.14,29.02,0.0,1097.96,-2.71
