시간 [s],진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
103.34,0.09,9.57,9.46,0.09,0.1,0.13,0.18,1143.15,28.32,0.0,1122.72,-2.41
103.35,0.1,9.58,9.47,0.08,0.09,0.16,0.2,1142.87,28.31,0.0,1122.72,-2.26
103.36,0.04,9.58,9.47,0.07,0.08,0.19,0.21,1140.78,28.3,0.0,1122.95,-2.16
103.37,-0.07,9.55,9.47,0.05,0.06,0.2,0.2,1140.7,28.29,0.0,1123.2,-2.16
103.38,-0.23,9.5,9.49,0.03,0.05,0.21,0.19,1145.3,28.29,0.0,1123.27,-2.24
103.39,-0.38,9.45,9.52,0.01,0.05,0.21,0.18,1153.05,28.29,0.0,1123.17,-2.39
103.4,-0.48,9.45,9.57,-0.01,0.04,0.21,0.18,1159.33,28.29,0.0,1123.0,-2.56
103.41,-0.5,9.52,9.66,-0.01,0.03,0.22,0.18,1160.57,28.3,0.0,1122.91,-2.72
103.42,-0.44,9.65,9.76,-0.01,0.01,0.23,0.17,1157.47,28.3,0.0,1122.93,-2.85
103.43,-0.36,9.76,9.86,0.0,0.0,0.24,0.18,1154.09,28.3,0.0,1123.03,-2.89
103.44,-0.27,9.8,9.94,0.02,-0.0,0.26,0.19,1153.97,28.3,0.0,1123.15,-2.82
103.45,-0.2,9.77,9.99,0.04,0.01,0.26,0.2,1156.81,28.3,0.0,1123.26,-2.68
103.46,-0.15,9.71,10.01,0.05,0.02,0.25,0.21,1158.9,28.31,0.0,1123.36,-2.5
103.47,-0.13,9.67,10.01,0.07,0.04,0.23,0.21,1157.08,28.31,0.0,1123.46,-2.34
103.48,-0.12,9.66,9.99,0.08,0.05,0.2,0.21,1152.26,28.31,0.0,1123.54,-2.21
103.49,-0.13,9.68,9.97,0.09,0.06,0.18,0.2,1148.8,28.31,0.0,1123.54,-2.15
103.5,-0.18,9.72,9.96,0.09,0.06,0.19,0.2,1150.19,28.31,0.0,1123.43,-2.14
103.51,-0.23,9.76,9.96,0.07,0.06,0.22,0.21,1156.33,28.31,0.0,1123.25,-2.2
103.52,-0.26,9.8,9.98,0.06,0.05,0.24,0.21,1165.08,28.31,0.0,1123.09,-2.32
103.53,-0.23,9.82,10.01,0.04,0.04,0.24,0.2,1174.14,28.3,0.0,1122.99,-2.5
103.54,-0.18,9.84,10.05,0.02,0.04,0.21,0.17,1181.43,28.3,0.0,1122.97,-2.71
103.55,-0.13,9.86,10.1,0.0,0.03,0.15,0.15,1185.33,28.29,0.0,1123.03,-2.86
103.56,-0.12,9.87,10.13,-0.0,0.02,0.09,0.14,1185.48,28.29,0.0,1123.15,-2.91
103.57,-0.15,9.87,10.15,-0.0,0.01,0.04,0.14,1183.24,28.3,0.0,1123.26,-2.84
103.58,-0.2,9.89,10.16,0.01,0.0,0.0,0.15,1181.1,28.31,0.0,1123.27,-2.71
103.59,-0.23,9.92,10.16,0.03,-0.01,-0.02,0.16,1180.94,28.32,0.0,1123.15,-2.54
103.6,-0.25,9.96,10.16,0.04,-0.01,-0.02,0.16,1182.61,28.33,0.0,1122.92,-2.39
103.61,-0.27,10.0,10.16,0.06,-0.01,-0.03,0.14,1184.4,28.34,0.0,1122.68,-2.27
103.62,-0.28,10.05,10.15,0.08,0.0,-0.03,0.11,1184.76,28.34,0.0,1122.51,-2.22
103.63,-0.3,10.09,10.16,0.09,0.03,-0.03,0.08,1184.11,28.33,0.0,1122.42,-2.21
103.64,-0.31,10.12,10.18,0.09,0.05,-0.02,0.08,1184.81,28.33,0.0,1122.41,-2.27
103.65,-0.3,10.15,10.23,0.09,0.07,0.01,0.11,1188.7,28.32,0.0,1122.46,-2.38
103.66,-0.26,10.18,10.3,0.08,0.07,0.07,0.17,1195.18,28.31,0.0,1122.55,-2.51
103.67,-0.21,10.22,10.36,0.06,0.07,0.12,0.23,1202.26,28.31,0.0,1122.77,-2.65
103.68,-0.15,10.3,10.41,0.04,0.05,0.16,0.28,1208.23,28.31,0.0,1123.17,-2.76
103.69,-0.09,10.38,10.44,0.02,0.03,0.17,0.3,1211.95,28.31,0.0,1123.68,-2.84
103.7,-0.05,10.46,10.45,-0.0,0.02,0.16,0.29,1212.61,28.32,0.0,1124.17,-2.83
103.71,-0.06,10.52,10.46,-0.01,0.0,0.13,0.26,1210.27,28.32,0.0,1124.58,-2.73
103.72,-0.09,10.55,10.46,-0.01,-0.01,0.08,0.21,1206.32,28.32,0.0,1124.8,-2.58
103.73,-0.15,10.55,10.48,0.01,-0.01,0.05,0.16,1202.9,28.32,0.0,1124.68,-2.41
103.74,-0.21,10.56,10.51,0.02,-0.0,0.04,0.12,1201.47,28.32,0.0,1124.14,-2.26
103.75,-0.26,10.56,10.55,0.04,0.01,0.04,0.1,1201.69,28.31,0.0,1123.36,-2.18
103.76,-0.3,10.55,10.59,0.06,0.03,0.05,0.09,1201.62,28.31,0.0,1122.6,-2.17
