시간 [s],진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
151.25,-0.28,5.47,5.61,0.07,0.07,0.03,0.14,1427.95,29.1,0.0,1136.73,-1.97
151.26,-0.22,5.48,5.6,0.05,0.06,0.04,0.18,1433.75,29.1,0.0,1136.5,-1.9
151.27,-0.12,5.53,5.61,0.03,0.05,0.04,0.23,1437.62,29.1,0.0,1136.32,-1.9
151.28,-0.05,5.59,5.62,0.02,0.03,0.02,0.26,1437.7,29.1,0.0,1136.17,-1.98
151.29,-0.01,5.66,5.65,0.01,0.03,-0.02,0.28,1433.09,29.09,0.0,1136.03,-2.16
151.3,-0.02,5.73,5.69,0.02,0.02,-0.07,0.27,1425.92,29.08,0.0,1135.93,-2.37
151.34,-0.2,5.68,5.81,0.07,0.04,0.04,0.26,1430.32,29.08,0.0,1136.73,-2.4
151.35,-0.27,5.66,5.81,0.08,0.05,0.1,0.25,1438.29,29.08,0.0,1136.73,-2.27
151.36,-0.35,5.66,5.81,0.09,0.06,0.14,0.24,1445.02,29.09,0.0,1136.54,-2.16
151.37,-0.4,5.65,5.81,0.08,0.07,0.18,0.22,1447.94,29.09,0.0,1136.32,-2.1
151.38,-0.41,5.6,5.82,0.08,0.08,0.21,0.2,1445.94,29.09,0.0,1136.22,-2.08
151.39,-0.38,5.53,5.82,0.07,0.08,0.23,0.18,1440.78,29.09,0.0,1136.26,-2.1
151.4,-0.33,5.5,5.83,0.05,0.07,0.23,0.17,1436.15,29.09,0.0,1136.44,-2.19
151.41,-0.3,5.53,5.85,0.03,0.06,0.21,0.17,1434.8,29.09,0.0,1136.68,-2.36
151.42,-0.28,5.61,5.87,0.02,0.05,0.16,0.19,1437.21,29.08,0.0,1136.92,-2.57
151.43,-0.26,5.71,5.89,0.0,0.03,0.12,0.21,1442.79,29.08,0.0,1137.05,-2.76
151.44,-0.24,5.77,5.91,-0.0,0.02,0.09,0.23,1450.39,29.08,0.0,1137.02,-2.87
151.45,-0.2,5.8,5.94,0.0,0.01,0.08,0.25,1458.35,29.09,0.0,1136.89,-2.89
151.46,-0.16,5.85,5.97,0.01,0.01,0.08,0.27,1465.5,29.09,0.0,1136.81,-2.81
151.47,-0.12,5.96,6.0,0.03,0.01,0.09,0.29,1471.36,29.1,0.0,1136.87,-2.64
151.48,-0.09,6.1,6.02,0.06,0.02,0.09,0.32,1474.99,29.1,0.0,1137.05,-2.42
151.49,-0.1,6.2,6.04,0.07,0.03,0.11,0.34,1474.62,29.1,0.0,1137.17,-2.22
151.5,-0.13,6.2,6.04,0.09,0.05,0.14,0.35,1469.44,29.1,0.0,1137.1,-2.08
151.51,-0.19,6.13,6.04,0.09,0.07,0.18,0.35,1461.69,29.09,0.0,1136.85,-2.02
151.52,-0.25,6.03,6.03,0.09,0.09,0.21,0.34,1455.6,29.09,0.0,1136.5,-2.03
151.53,-0.29,5.96,6.03,0.08,0.09,0.22,0.32,1454.14,29.08,0.0,1136.13,-2.13
151.54,-0.31,5.94,6.03,0.07,0.09,0.22,0.3,1457.46,29.08,0.0,1135.84,-2.26
151.55,-0.33,5.97,6.04,0.05,0.07,0.19,0.28,1464.36,29.08,0.0,1135.69,-2.4
151.56,-0.34,6.05,6.05,0.04,0.06,0.16,0.27,1473.16,29.07,0.0,1135.71,-2.52
151.57,-0.35,6.14,6.06,0.02,0.04,0.13,0.27,1481.93,29.07,0.0,1135.87,-2.59
151.58,-0.34,6.19,6.07,0.01,0.02,0.12,0.27,1489.36,29.06,0.0,1136.16,-2.59
151.59,-0.28,6.18,6.08,0.01,0.01,0.12,0.25,1495.02,29.07,0.0,1136.56,-2.48
151.6,-0.2,6.12,6.09,0.01,0.0,0.15,0.24,1498.16,29.08,0.0,1136.95,-2.33
151.61,-0.13,6.06,6.1,0.03,0.01,0.17,0.22,1497.15,29.08,0.0,1137.17,-2.18
151.62,-0.1,6.04,6.12,0.05,0.01,0.17,0.2,1491.3,29.09,0.0,1137.1,-2.11
151.63,-0.12,6.06,6.15,0.07,0.02,0.16,0.2,1483.03,29.09,0.0,1136.82,-2.11
151.64,-0.16,6.07,6.18,0.09,0.04,0.14,0.2,1476.84,29.09,0.0,1136.46,-2.18
151.65,-0.21,6.07,6.22,0.1,0.06,0.13,0.21,1475.85,29.09,0.0,1136.18,-2.29
151.66,-0.24,6.03,6.26,0.1,0.08,0.12,0.22,1479.87,29.09,0.0,1136.03,-2.43
151.67,-0.28,5.98,6.29,0.09,0.09,0.13,0.23,1486.95,29.09,0.0,1135.96,-2.55
151.68,-0.33,5.93,6.3,0.08,0.09,0.15,0.23,1494.91,29.1,0.0,1135.95,-2.65
151.69,-0.37,5.91,6.29,0.06,0.09,0.17,0.23,1502.05,29.1,0.0,1135.94,-2.72
151.7,-0.39,5.93,6.28,0.05,0.08,0.19,0.22,1507.82,29.11,0.0,1135.92,-2.73
151.71,-0.36,6.02,6.27,0.03,0.07,0.2,0.24,1512.38,29.11,0.0,1135.89,-2.67
151.72,-0.3,6.14,6.27,0.02,0.05,0.21,0.26,1515.0,29.11,0.0,1135.86,-2.56
151.73,-0.23,6.27,6.28,0.01,0.03,0.21,0.27,1513.52,29.11,0.0,1135.89,-2.42
151.74,-0.19,6.38,6.29,0.01,0.02,0.21,0.26,1506.76,29.1,0.0,1136.02,-2.24
151.75,-0.17,6.45,6.31,0.02,0.01,0.22,0.22,1497.0,29.09,0.0,1136.21,-2.08
151.76,-0.18,6.46,6.33,0.03,0.01,0.22,0.17,1488.63,29.09,0.0,1136.42,-2.01
151.77,-0.19,6.42,6.36,0.05,0.02,0.21,0.1,1484.81,29.09,0.0,1136.59,-2.07
151.78,-0.21,6.35,6.4,0.07,0.03,0.2,0.03,1485.94,29.09,0.0,1136.7,-2.23
151.79,-0.24,6.29,6.42,0.08,0.04,0.18,-0.01,1490.85,29.1,0.0,1136.73,-2.43
151.8,-0.29,6.26,6.45,0.09,0.05,0.15,-0.01,1497.83,29.1,0.0,1136.67,-2.59
151.81,-0.34,6.26,6.46,0.1,0.07,0.12,0.04,1504.96,29.09,0.0,1136.56,-2.69
151.82,-0.37,6.3,6.46,0.1,0.08,0.09,0.1,1510.92,29.09,0.0,1136.41,-2.71
151.83,-0.35,6.38,6.44,0.09,0.09,0.07,0.17,1515.22,29.09,0.0,1136.24,-2.66
151.84,-0.3,6.48,6.42,0.08,0.09,0.06,0.23,1517.05,29.09,0.0,1136.06,-2.55
151.85,-0.24,6.56,6.41,0.06,0.08,0.06,0.26,1514.58,29.09,0.0,1135.88,-2.43
151.86,-0.2,6.61,6.41,0.05,0.06,0.07,0.27,1506.97,29.1,0.0,1135.7,-2.3
151.87,-0.18,6.63,6.41,0.03,0.03,0.07,0.25,1496.59,29.11,0.0,1135.57,-2.2
151.88,-0.19,6.61,6.43,0.02,0.01,0.08,0.24,1487.66,29.11,0.0,1135.6,-2.15
151.89,-0.21,6.56,6.46,0.02,-0.01,0.1,0.24,1483.12,29.11,0.0,1135.86,-2.17
151.9,-0.23,6.49,6.49,0.03,-0.02,0.12,0.24,1483.46,29.1,0.0,1136.26,-2.26
151.91,-0.27,6.43,6.52,0.04,-0.02,0.13,0.24,1487.88,29.1,0.0,1136.63,-2.38
151.92,-0.31,6.39,6.55,0.06,-0.01,0.13,0.22,1494.93,29.09,0.0,1136.83,-2.54
151.93,-0.35,6.38,6.59,0.08,0.0,0.12,0.18,1502.63,29.09,0.0,1136.86,-2.68
151.94,-0.37,6.42,6.61,0.1,0.02,0.11,0.16,1509.41,29.09,0.0,1136.8,-2.77
151.95,-0.35,6.51,6.63,0.1,0.05,0.1,0.17,1514.53,29.1,0.0,1136.72,-2.75
151.96,-0.3,6.63,6.63,0.1,0.07,0.1,0.21,1517.01,29.1,0.0,1136.66,-2.65
151.97,-0.25,6.72,6.62,0.1,0.09,0.1,0.26,1514.91,29.11,0.0,1136.57,-2.49
151.98,-0.21,6.75,6.6,0.09,0.09,0.08,0.32,1507.42,29.11,0.0,1136.41,-2.29
151.99,-0.2,6.72,6.58,0.08,0.09,0.06,0.36,1496.98,29.1,0.0,1136.19,-2.1
152.0,-0.21,6.65,6.56,0.07,0.08,0.05,0.38,1487.92,29.1,0.0,1135.97,-1.94
152.01,-0.22,6.57,6.56,0.05,0.06,0.07,0.38,1483.28,29.1,0.0,1135.8,-1.83
152.02,-0.23,6.5,6.57,0.03,0.04,0.1,0.37,1483.57,29.1,0.0,1135.68,-1.78
152.03,-0.25,6.44,6.59,0.01,0.02,0.12,0.35,1488.0,29.1,0.0,1135.61,-1.84
152.04,-0.28,6.4,6.61,0.01,0.0,0.12,0.33,1495.1,29.1,0.0,1135.54,-2.0
152.05,-0.31,6.39,6.62,0.01,-0.0,0.08,0.31,1502.84,29.11,0.0,1135.48,-2.23
152.06,-0.32,6.43,6.64,0.01,-0.01,0.03,0.3,1509.64,29.12,0.0,1135.48,-2.42
152.07,-0.29,6.53,6.66,0.03,0.0,-0.03,0.28,1514.74,29.12,0.0,1135.54,-2.51
152.08,-0.24,6.67,6.68,0.05,0.01,-0.08,0.26,1517.18,29.12,0.0,1135.67,-2.5
152.09,-0.19,6.79,6.71,0.07,0.03,-0.1,0.26,1515.03,29.12,0.0,1135.8,-2.41
152.1,-0.16,6.85,6.73,0.08,0.05,-0.08,0.29,1507.5,29.12,0.0,1135.91,-2.29
152.11,-0.16,6.86,6.74,0.09,0.07,-0.03,0.34,1497.04,29.12,0.0,1135.95,-2.18
152.12,-0.18,6.81,6.75,0.09,0.08,0.03,0.37,1487.96,29.12,0.0,1135.89,-2.1
152.13,-0.21,6.73,6.73,0.09,0.09,0.09,0.38,1483.3,29.12,0.0,1135.7,-2.06
152.14,-0.24,6.64,6.71,0.07,0.09,0.14,0.36,1483.57,29.12,0.0,1135.46,-2.05
152.15,-0.27,6.56,6.69,0.05,0.08,0.19,0.32,1487.99,29.11,0.0,1135.32,-2.09
152.16,-0.3,6.51,6.67,0.03,0.05,0.24,0.29,1495.1,29.11,0.0,1135.4,-2.15
152.17,-0.32,6.5,6.67,0.01,0.03,0.28,0.27,1502.88,29.1,0.0,1135.64,-2.24
152.18,-0.31,6.54,6.68,-0.0,0.01,0.28,0.25,1509.71,29.1,0.0,1135.89,-2.37
152.19,-0.27,6.65,6.7,-0.01,-0.01,0.23,0.25,1514.81,29.1,0.0,1136.0,-2.55
152.2,-0.2,6.79,6.73,-0.0,-0.02,0.15,0.24,1517.22,29.11,0.0,1135.98,-2.73
152.21,-0.14,6.91,6.76,0.01,-0.02,0.06,0.25,1515.03,29.11,0.0,1135.95,-2.83
152.22,-0.12,7.0,6.79,0.03,-0.01,-0.02,0.27,1507.47,29.12,0.0,1136.01,-2.81
152.23,-0.12,7.02,6.81,0.05,-0.0,-0.06,0.3,1496.98,29.12,0.0,1136.13,-2.68
152.24,-0.15,7.01,6.82,0.07,0.01,-0.07,0.32,1487.91,29.11,0.0,1136.1,-2.5
152.25,-0.19,6.97,6.82,0.08,0.03,-0.04,0.32,1483.27,29.11,0.0,1135.8,-2.3
152.26,-0.23,6.92,6.81,0.09,0.05,-0.0,0.31,1483.57,29.1,0.0,1135.29,-2.14
