시간 [s],진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
228.04,-0.23,2.6,2.54,0.1,0.09,0.06,0.06,1426.87,32.12,0.0,843.95,-2.37
228.05,-0.24,2.59,2.54,0.1,0.09,0.06,0.06,1432.95,32.12,0.0,844.29,-2.23
228.06,-0.25,2.59,2.54,0.08,0.09,0.05,0.07,1437.35,32.12,0.0,844.5,-2.11
228.07,-0.26,2.59,2.53,0.07,0.09,0.04,0.08,1439.69,32.12,0.0,844.51,-2.04
228.08,-0.25,2.6,2.53,0.06,0.09,0.04,0.08,1438.12,32.13,0.0,844.38,-2.04
228.09,-0.22,2.64,2.53,0.05,0.08,0.04,0.06,1431.62,32.14,0.0,844.2,-2.09
228.13,-0.15,2.73,2.57,0.05,0.05,0.06,0.03,1430.27,32.14,0.0,843.57,-2.64
228.14,-0.19,2.71,2.59,0.06,0.05,0.04,0.04,1445.5,32.14,0.0,843.54,-2.72
228.15,-0.22,2.66,2.61,0.07,0.06,0.03,0.04,1463.78,32.13,0.0,843.65,-2.68
228.16,-0.23,2.6,2.62,0.09,0.07,0.01,0.03,1480.1,32.13,0.0,843.84,-2.54
228.17,-0.24,2.55,2.62,0.11,0.08,0.01,0.03,1487.31,32.13,0.0,843.97,-2.38
228.18,-0.26,2.53,2.62,0.11,0.09,0.01,0.04,1481.69,32.12,0.0,843.95,-2.24
228.19,-0.27,2.52,2.62,0.11,0.09,0.02,0.07,1467.03,32.12,0.0,843.81,-2.16
228.2,-0.29,2.53,2.62,0.1,0.09,0.04,0.1,1451.67,32.12,0.0,843.66,-2.14
228.21,-0.29,2.57,2.61,0.08,0.09,0.06,0.11,1442.2,32.12,0.0,843.61,-2.14
228.22,-0.28,2.61,2.61,0.06,0.08,0.07,0.12,1440.5,32.12,0.0,843.66,-2.17
228.23,-0.27,2.64,2.61,0.04,0.06,0.08,0.11,1445.25,32.12,0.0,843.72,-2.22
228.24,-0.27,2.64,2.62,0.03,0.05,0.07,0.12,1453.8,32.12,0.0,843.71,-2.31
228.25,-0.27,2.63,2.63,0.02,0.03,0.05,0.12,1463.2,32.13,0.0,843.62,-2.42
