시간 [s],진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
258.77,-0.19,5.52,5.53,0.05,0.06,0.03,0.19,1427.26,32.02,0.0,1077.2,-2.67
258.85,-0.06,5.79,5.72,0.08,0.04,0.12,0.09,1425.78,32.05,0.0,1075.9,-2.3
258.86,-0.15,5.76,5.73,0.09,0.05,0.06,0.1,1433.21,32.04,0.0,1075.66,-2.4
258.87,-0.23,5.7,5.74,0.09,0.07,0.02,0.11,1438.87,32.04,0.0,1075.48,-2.52
258.88,-0.29,5.62,5.74,0.09,0.08,0.01,0.11,1441.96,32.03,0.0,1075.43,-2.62
258.89,-0.34,5.54,5.75,0.08,0.08,0.01,0.11,1440.66,32.03,0.0,1075.45,-2.65
258.9,-0.38,5.46,5.75,0.07,0.08,0.01,0.11,1434.19,32.03,0.0,1075.48,-2.59
258.91,-0.42,5.38,5.75,0.06,0.08,0.01,0.11,1425.31,32.03,0.0,1075.5,-2.45
258.94,-0.38,5.54,5.76,0.02,0.04,-0.07,0.09,1426.96,32.04,0.0,1075.45,-2.02
258.95,-0.33,5.69,5.77,0.02,0.03,-0.08,0.08,1437.06,32.05,0.0,1075.49,-1.99
258.96,-0.29,5.85,5.79,0.02,0.03,-0.05,0.08,1447.57,32.06,0.0,1075.64,-2.03
258.97,-0.27,5.99,5.81,0.03,0.02,0.01,0.09,1455.5,32.07,0.0,1075.88,-2.13
258.98,-0.25,6.07,5.83,0.04,0.03,0.07,0.08,1457.71,32.07,0.0,1076.25,-2.28
258.99,-0.2,6.06,5.85,0.06,0.03,0.08,0.06,1453.01,32.07,0.0,1076.76,-2.48
259.0,-0.15,6.0,5.87,0.07,0.03,0.06,0.02,1444.31,32.06,0.0,1077.28,-2.66
259.01,-0.1,5.91,5.88,0.09,0.04,0.03,-0.03,1437.24,32.05,0.0,1077.59,-2.77
