,time(sec),state
0,0.164,0
0,0.1801,0
0,0.1904,0
0,0.2006,1
0,0.2107,1
0,0.2208,1
0,0.2343,1
0,0.2447,1
0,0.2563,1
0,0.2672,0
0,0.2773,0
0,0.2875,0
0,0.2976,0
0,0.3078,0
0,0.3179,0
0,0.3281,0
0,0.3418,0
0,0.352,0
0,0.3701,0
0,0.3807,0
0,0.3913,0
0,0.4014,0
0,0.4118,0
0,0.4256,0
0,0.4358,0
0,0.4459,0
0,0.456,0
0,0.4661,0
0,0.4762,0
0,0.4863,0
0,0.4964,0
0,0.5065,0
0,0.5166,0
0,0.5267,0
0,0.5368,0
0,0.5469,0
0,0.557,0
0,0.5671,0
0,0.5772,0
0,0.5873,0
0,0.5973,0
0,0.6074,0
0,0.6175,0
0,0.6277,0
0,0.6377,0
0,0.6478,0
0,0.6579,0
0,0.668,0
0,0.6781,0
0,0.6881,0
0,0.6983,1
0,0.7084,1
0,0.7186,1
0,0.7287,1
0,0.7412,1
0,0.753,0
0,0.7631,0
0,0.7732,0
0,0.7833,0
0,0.7935,0
0,0.8044,0
0,0.8165,0
0,0.8266,0
0,0.8367,0
0,0.8469,0
0,0.857,0
0,0.8672,0
0,0.8776,0
0,0.8877,0
0,0.8978,0
0,0.9079,0
0,0.918,0
0,0.9282,0
0,0.9383,0
0,0.9484,0
0,0.9585,0
0,0.9698,0
0,0.98,0
0,0.9905,0
0,1.0006,0
0,1.0107,0
0,1.0208,0
0,1.0309,0
0,1.041,0
0,1.0511,0
0,1.0612,0
0,1.0713,0
0,1.0814,0
0,1.0915,0
0,1.1016,0
0,1.1117,0
0,1.1218,0
0,1.1318,0
0,1.1419,0
0,1.152,0
0,1.1626,0
0,1.1726,0
0,1.1827,0
0,1.1928,0
0,1.2029,1
0,1.213,1
0,1.2278,1
0,1.2379,0
0,1.2481,0
0,1.2583,0
0,1.2684,0
0,1.2785,0
0,1.2886,0
0,1.2988,0
0,1.309,0
0,1.3191,0
0,1.3292,0
0,1.3393,0
0,1.3494,0
0,1.3595,0
0,1.3696,0
0,1.3796,0
0,1.3898,0
0,1.3999,0
0,1.4099,0
0,1.42,0
0,1.4301,0
0,1.4402,0
0,1.4503,0
0,1.4605,0
0,1.4706,0
0,1.4807,0
0,1.4909,0
0,1.501,0
0,1.5111,0
0,1.5211,0
0,1.5312,0
0,1.5414,0
0,1.5514,0
0,1.5615,0
0,1.5716,0
0,1.5817,0
0,1.5918,0
0,1.6019,0
0,1.612,0
0,1.6221,0
0,1.6322,0
0,1.6423,0
0,1.6524,0
0,1.6625,0
0,1.6726,0
0,1.6827,0
0,1.6928,0
0,1.7112,1
0,1.7213,1
0,1.7314,1
0,1.7416,0
0,1.7534,0
0,1.767,0
0,1.7773,0
0,1.7874,0
0,1.7975,0
0,1.8076,0
0,1.8178,0
0,1.828,0
0,1.8381,0
0,1.8483,0
0,1.8584,0
0,1.8685,0
0,1.88,0
0,1.8937,0
0,1.9217,0
0,1.9469,0
0,1.9793,0
0,1.9895,0
0,1.9997,0
0,2.0138,0
0,2.0246,0
0,2.0365,0
0,2.0479,0
0,2.0592,0
0,2.0745,0
0,2.0901,0
0,2.1126,0
0,2.1266,0
0,2.1406,0
0,2.161,0
0,2.1715,0
0,2.2038,0
0,2.217,0
0,2.2364,1
0,2.2686,1
0,2.285,0
0,2.298,0
0,2.319,0
0,2.33,0
0,2.343,0
0,2.3552,0
0,2.3653,0
0,2.3755,0
0,2.3856,0
0,2.3963,0
0,2.4064,0
0,2.4165,0
