,time(sec),state
0,0.1394,0
0,0.1496,0
0,0.1598,1
0,0.1717,1
0,0.1847,1
0,0.1964,0
0,0.2065,0
0,0.2166,0
0,0.2268,0
0,0.2374,0
0,0.2476,0
0,0.2577,0
0,0.2678,0
0,0.278,0
0,0.2884,0
0,0.2986,0
0,0.3087,0
0,0.3189,0
0,0.329,0
0,0.3411,0
0,0.3512,0
0,0.3614,0
0,0.3715,0
0,0.3816,0
0,0.3917,0
0,0.4018,0
0,0.4119,0
0,0.422,0
0,0.4321,0
0,0.4421,0
0,0.4522,0
0,0.4623,0
0,0.4724,0
0,0.4825,0
0,0.4926,0
0,0.5027,0
0,0.5127,0
0,0.5228,0
0,0.5329,0
0,0.543,0
0,0.5531,0
0,0.5631,0
0,0.5732,0
0,0.5833,0
0,0.5934,0
0,0.6035,0
0,0.6136,0
0,0.6237,0
0,0.6337,0
0,0.6438,0
0,0.6539,0
0,0.664,1
0,0.6742,1
0,0.6843,1
0,0.6945,1
0,0.7046,0
0,0.7147,0
0,0.7251,0
0,0.7352,0
0,0.7454,0
0,0.7556,0
0,0.7657,0
0,0.7759,0
0,0.786,0
0,0.7962,0
0,0.8063,0
0,0.8169,0
0,0.827,0
0,0.8371,0
0,0.8473,0
0,0.8574,0
0,0.8675,0
0,0.8776,0
0,0.8877,0
0,0.8979,0
0,0.908,0
0,0.9182,0
0,0.9285,0
0,0.9386,0
0,0.9487,0
0,0.9591,0
0,0.9692,0
0,0.9793,0
0,0.9894,0
0,0.9995,0
0,1.0095,0
0,1.0197,0
0,1.0297,0
0,1.0398,0
0,1.0499,0
0,1.06,0
0,1.0701,0
0,1.0802,0
0,1.0902,0
0,1.1003,0
0,1.1104,0
0,1.1205,0
0,1.1306,0
0,1.1406,0
0,1.1507,0
0,1.1616,0
0,1.1726,1
0,1.1864,1
0,1.1965,1
0,1.2069,1
0,1.217,0
0,1.2271,0
0,1.2372,0
0,1.2473,0
0,1.2575,0
0,1.2676,0
0,1.2777,0
0,1.2878,0
0,1.2979,0
0,1.308,0
0,1.3181,0
0,1.3282,0
0,1.3383,0
0,1.3483,0
0,1.3584,0
0,1.3685,0
0,1.3786,0
0,1.3887,0
0,1.3987,0
0,1.4088,0
0,1.4189,0
0,1.429,0
0,1.4392,0
0,1.4493,0
0,1.4594,0
0,1.4695,0
0,1.4795,0
0,1.4896,0
0,1.4997,0
0,1.5098,0
0,1.5199,0
0,1.53,0
0,1.54,0
0,1.5502,0
0,1.5603,0
0,1.5704,0
0,1.5804,0
0,1.5906,0
0,1.6006,0
0,1.6107,0
0,1.6208,0
0,1.6309,0
0,1.641,0
0,1.6511,0
0,1.6611,0
0,1.6713,1
0,1.6827,1
0,1.6929,1
0,1.7074,0
0,1.7176,0
0,1.7276,0
0,1.7377,0
0,1.7486,0
0,1.7587,0
0,1.7688,0
0,1.779,0
0,1.7891,0
0,1.7992,0
0,1.8093,0
0,1.8194,0
0,1.8295,0
0,1.8396,0
0,1.8496,0
0,1.8597,0
0,1.8698,0
0,1.8799,0
0,1.89,0
0,1.9,0
0,1.9101,0
0,1.9202,0
0,1.9303,0
0,1.9404,0
0,1.9505,0
0,1.9605,0
0,1.9706,0
0,1.9807,0
0,1.9908,0
0,2.0009,0
0,2.011,0
0,2.0211,0
0,2.0312,0
0,2.0413,0
0,2.0513,0
0,2.0614,0
0,2.0715,0
0,2.0816,0
0,2.0917,0
0,2.1018,0
0,2.1119,0
0,2.1239,0
0,2.134,0
0,2.1448,0
0,2.1548,0
0,2.1649,0
0,2.1753,1
0,2.1854,1
0,2.1965,1
0,2.2095,0
0,2.2197,0
0,2.2298,0
0,2.2398,0
0,2.2499,0
0,2.2605,0
0,2.2707,0
0,2.2808,0
0,2.2909,0
0,2.301,0
0,2.3111,0
0,2.3212,0
0,2.3313,0
0,2.3414,0
0,2.3515,0
0,2.3615,0
0,2.3716,0
0,2.3817,0
0,2.3918,0
0,2.4019,0
0,2.412,0
0,2.422,0
0,2.4321,0
0,2.4422,0
0,2.4523,0
0,2.4624,0
0,2.4725,0
0,2.4825,0
0,2.4926,0
0,2.5027,0
0,2.5128,0
0,2.5233,0
0,2.5334,0
0,2.5435,0
0,2.5536,0
0,2.5637,0
0,2.5737,0
0,2.5838,0
0,2.5939,0
0,2.604,0
0,2.6141,0
0,2.6242,0
0,2.6343,0
0,2.6444,0
0,2.6545,0
0,2.6646,0
0,2.6746,0
0,2.6861,1
0,2.6962,1
0,2.7063,1
0,2.7168,1
0,2.7272,0
0,2.7373,0
0,2.7478,0
0,2.7579,0
0,2.768,0
0,2.7781,0
0,2.7883,0
0,2.7985,0
0,2.8086,0
0,2.8188,0
0,2.8289,0
0,2.8391,0
0,2.8492,0
0,2.8593,0
0,2.8694,0
0,2.8794,0
0,2.8895,0
0,2.8996,0
0,2.9097,0
0,2.9198,0
0,2.9298,0
0,2.9399,0
0,2.95,0
0,2.9601,0
0,2.9702,0
0,2.9803,0
0,2.9904,0
0,3.0004,0
0,3.0105,0
0,3.0206,0
0,3.0307,0
0,3.0408,0
0,3.0509,0
0,3.061,0
0,3.0711,0
0,3.0811,0
0,3.0912,0
0,3.1013,0
0,3.1114,0
0,3.1215,0
0,3.1316,0
0,3.1417,0
0,3.1518,0
0,3.1618,0
0,3.1719,0
0,3.1825,1
0,3.193,1
0,3.2048,1
0,3.2163,0
0,3.2266,0
0,3.238,0
0,3.2482,0
0,3.2583,0
0,3.2684,0
0,3.2787,0
0,3.2888,0
0,3.3006,0
0,3.3108,0
0,3.3209,0
0,3.331,0
0,3.341,0
0,3.3511,0
0,3.3612,0
0,3.3713,0
0,3.3814,0
0,3.3915,0
0,3.4015,0
0,3.4116,0
0,3.4217,0
0,3.4318,0
0,3.4419,0
0,3.4519,0
0,3.462,0
0,3.4721,0
0,3.4822,0
0,3.4923,0
0,3.5024,0
0,3.5124,0
0,3.5225,0
0,3.5326,0
0,3.5427,0
0,3.5528,0
0,3.5629,0
0,3.573,0
0,3.583,0
0,3.5931,0
0,3.6032,0
0,3.6133,0
0,3.6234,0
0,3.6335,0
0,3.6436,0
0,3.6537,0
0,3.6637,0
0,3.6738,0
0,3.6839,1
0,3.6941,1
0,3.7097,1
0,3.7202,0
0,3.7327,0
0,3.7428,0
0,3.7546,0
0,3.7646,0
0,3.775,0
0,3.7852,0
0,3.7953,0
0,3.8055,0
0,3.8156,0
0,3.8257,0
0,3.8358,0
0,3.8459,0
0,3.856,0
0,3.8661,0
0,3.8762,0
0,3.8862,0
0,3.8963,0
0,3.9064,0
0,3.9165,0
0,3.9266,0
0,3.9367,0
0,3.9467,0
0,3.9568,0
0,3.9669,0
0,3.977,0
0,3.9871,0
0,3.9971,0
0,4.0072,0
0,4.0173,0
0,4.0274,0
0,4.0375,0
0,4.0475,0
0,4.0576,0
0,4.0677,0
0,4.0778,0
0,4.0879,0
0,4.0979,0
0,4.108,0
0,4.1181,0
0,4.1282,0
0,4.1383,0
0,4.1483,0
0,4.1584,0
0,4.1685,0
0,4.1786,0
0,4.1932,1
0,4.2039,1
0,4.2139,1
0,4.2245,1
0,4.2371,0
0,4.2476,0
0,4.258,0
0,4.2681,0
0,4.2784,0
0,4.2885,0
0,4.2986,0
0,4.3087,0
0,4.3207,0
0,4.3309,0
0,4.341,0
0,4.3511,0
0,4.3612,0
0,4.3713,0
0,4.3813,0
0,4.3914,0
0,4.4015,0
0,4.4115,0
0,4.4216,0
0,4.4317,0
0,4.4418,0
0,4.4518,0
0,4.4619,0
0,4.472,0
0,4.4821,0
0,4.4922,0
0,4.5023,0
0,4.5123,0
0,4.5224,0
0,4.5325,0
0,4.5435,0
0,4.5536,0
0,4.5636,0
0,4.5737,0
0,4.5838,0
0,4.5939,0
0,4.6039,0
0,4.614,0
0,4.6241,0
0,4.6342,0
0,4.6446,0
0,4.6546,0
0,4.6647,0
0,4.6748,0
0,4.6849,0
0,4.6952,1
0,4.7054,1
0,4.7158,1
0,4.7259,0
0,4.736,0
0,4.7461,0
0,4.7578,0
0,4.768,0
0,4.7781,0
0,4.7912,0
0,4.8018,0
0,4.812,0
0,4.8222,0
0,4.8323,0
0,4.8424,0
0,4.8525,0
0,4.8626,0
0,4.8727,0
0,4.8828,0
0,4.8928,0
0,4.9029,0
0,4.913,0
0,4.9231,0
0,4.9332,0
0,4.9433,0
0,4.9534,0
0,4.9635,0
0,4.9735,0
0,4.9836,0
0,4.9937,0
0,5.0038,0
0,5.0139,0
0,5.024,0
0,5.034,0
0,5.0441,0
0,5.0543,0
0,5.0643,0
0,5.0744,0
0,5.0845,0
0,5.0946,0
0,5.1047,0
0,5.1148,0
0,5.1248,0
0,5.1349,0
0,5.145,0
0,5.1551,0
0,5.1652,0
0,5.1753,0
0,5.1853,0
0,5.1955,1
0,5.206,1
0,5.2161,1
0,5.2263,0
0,5.2364,0
0,5.2465,0
0,5.2567,0
0,5.2668,0
0,5.279,0
0,5.2893,0
0,5.2994,0
0,5.3095,0
0,5.3196,0
0,5.3297,0
0,5.3398,0
0,5.3499,0
0,5.36,0
0,5.3701,0
0,5.3802,0
0,5.3903,0
0,5.4004,0
0,5.4105,0
0,5.4205,0
0,5.4306,0
0,5.4407,0
0,5.4508,0
0,5.4609,0
0,5.471,0
0,5.481,0
0,5.4911,0
0,5.5012,0
0,5.5113,0
0,5.5214,0
0,5.5314,0
0,5.5415,0
0,5.5516,0
0,5.5617,0
0,5.5718,0
0,5.5819,0
0,5.5919,0
0,5.602,0
0,5.6121,0
0,5.6222,0
0,5.6323,0
0,5.6424,0
0,5.6525,0
0,5.6626,0
0,5.6726,0
0,5.6827,0
0,5.6932,0
0,5.7039,1
0,5.7141,1
0,5.7276,1
0,5.7381,0
0,5.7482,0
0,5.7628,0
0,5.773,0
0,5.7831,0
0,5.7932,0
0,5.8033,0
0,5.8134,0
0,5.8235,0
0,5.8336,0
0,5.8437,0
0,5.8538,0
0,5.8639,0
0,5.874,0
0,5.884,0
0,5.8941,0
0,5.9042,0
0,5.9143,0
0,5.9244,0
0,5.9344,0
0,5.9445,0
0,5.9546,0
0,5.9647,0
0,5.9748,0
0,5.9848,0
0,5.9949,0
0,6.005,0
0,6.0151,0
0,6.0252,0
0,6.0352,0
0,6.0453,0
0,6.0554,0
0,6.0655,0
0,6.0756,0
0,6.0857,0
0,6.0957,0
0,6.1058,0
0,6.1159,0
0,6.126,0
0,6.1361,0
0,6.1462,0
0,6.1563,0
0,6.1663,0
0,6.1764,0
0,6.1865,0
